Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
MBT,CZ01,cDXGF,923769344.01,0.0,522.99,348770417201.33,0.0,14696242281.12
MBT,CZ01,cDXHP,0.0,235778799.35,536.19,0.0,88838020072.74,14633006687.91
MBT,CZ01,cPTAC,0.0,0.0,523.8,0.0,0.0,32627327680.46
MBT,CZ01,cPVVG,1362754738.76,0.0,332.49,525517796977.91,0.0,21394627345.7
MBT,CZ02,cDXGF,2540940222.1,0.0,1420006770.18,228076153647.62,0.0,281040193432.25
MBT,CZ02,cDXHP,0.0,657363197.84,1428328636.99,0.0,59845752735.16,285252301348.63
MBT,CZ02,cPTAC,0.0,0.0,1418938591.78,0.0,0.0,300851216557.95
MBT,CZ02,cPVVG,4135405392.89,0.0,1023085981.41,362162208695.93,0.0,270509053072.13
MBT,CZ03,cDXGF,502790529.61,0.0,333591815.19,119750677388.55,0.0,136789487047.01
MBT,CZ03,cDXHP,0.0,123969057.89,335517319.74,0.0,29575142405.26,138671975671.1
MBT,CZ03,cPTAC,0.0,0.0,333562406.27,0.0,0.0,163228675350.05
MBT,CZ03,cPVVG,982323545.33,0.0,221578828.07,202042428790.83,0.0,146228635312.77
MBT,CZ04,cDXGF,2242023204.14,0.0,4806252220.53,177977149900.95,0.0,467192610631.11
MBT,CZ04,cDXHP,0.0,575072315.59,4743542802.62,0.0,48099050601.67,479827323778.07
MBT,CZ04,cPTAC,0.0,0.0,4805959556.95,0.0,0.0,484969330529.84
MBT,CZ04,cPVVG,4093087685.7,0.0,3673119696.0,297398166920.78,0.0,450580540522.93
MBT,CZ05,cDXGF,364818580.64,0.0,483417677.98,106885529207.78,0.0,172359507140.66
MBT,CZ05,cDXHP,0.0,93677915.1,487239801.4,0.0,27135406039.11,174587132776.7
MBT,CZ05,cPTAC,0.0,0.0,483178106.98,0.0,0.0,195956375460.27
MBT,CZ05,cPVVG,961120202.38,0.0,357700727.94,186150544684.73,0.0,173894452404.18
MBT,CZ06,cDXGF,0.0,0.0,1074782682.85,13185411526.43,0.0,372243281833.43
MBT,CZ06,cDXHP,0.0,0.0,1080864177.4,0.0,3196104066.45,368850283883.4
MBT,CZ06,cPTAC,0.0,0.0,1074757022.68,0.0,0.0,402072840988.92
MBT,CZ06,cPVVG,0.0,0.0,758296372.77,35536101061.7,0.0,374534734292.52
MBT,CZ07,cDXGF,0.0,0.0,764694135.99,7726361044.33,0.0,409975111286.17
MBT,CZ07,cDXHP,0.0,0.0,767473891.18,0.0,1880549091.47,406422742074.62
MBT,CZ07,cPTAC,0.0,0.0,765240184.87,0.0,0.0,436179034718.75
MBT,CZ07,cPVVG,0.0,0.0,466363020.54,25545074758.78,0.0,399855825886.9
MBT,CZ08,cDXGF,0.0,0.0,2714370773.74,22350153826.8,0.0,612570216848.24
MBT,CZ08,cDXHP,0.0,0.0,2713640358.98,0.0,5577452289.73,614969507300.79
MBT,CZ08,cPTAC,0.0,0.0,2713142408.9,0.0,0.0,631491848826.43
MBT,CZ08,cPVVG,0.0,0.0,1841446116.26,54116275268.45,0.0,588682938031.25
MBT,CZ09,cDXGF,0.0,0.0,3776720789.2,36542598194.2,0.0,612548893236.38
MBT,CZ09,cDXHP,0.0,0.0,3772933872.96,0.0,9245188048.93,617233788529.59
MBT,CZ09,cPTAC,0.0,0.0,3775820955.27,0.0,0.0,633001279150.17
MBT,CZ09,cPVVG,0.0,0.0,2528332463.61,78602318899.29,0.0,586339437970.38
MBT,CZ10,cDXGF,0.0,0.0,3916164802.08,33320829874.05,0.0,671284689873.47
MBT,CZ10,cDXHP,0.0,0.0,3892992354.2,0.0,8526255757.94,677544879330.87
MBT,CZ10,cPTAC,0.0,0.0,3915061820.99,0.0,0.0,688689068953.36
MBT,CZ10,cPVVG,0.0,0.0,2802089420.74,75848830447.69,0.0,641011942894.18
MBT,CZ11,cDXGF,5260885313.04,0.0,13686954686.97,207253128125.11,0.0,699387284031.93
MBT,CZ11,cDXHP,0.0,1432570449.69,13716183791.61,0.0,54632311572.72,712051930472.85
MBT,CZ11,cPTAC,0.0,0.0,13686950363.59,0.0,0.0,710192769943.65
MBT,CZ11,cPVVG,7539566399.27,0.0,10915956979.52,342855947589.41,0.0,671135096928.11
MBT,CZ12,cDXGF,2147449686.85,0.0,5425843267.8,213098961082.03,0.0,476892121763.56
MBT,CZ12,cDXHP,0.0,553361761.39,5426230268.56,0.0,55464592448.9,485981754473.69
MBT,CZ12,cPTAC,0.0,0.0,5425367311.97,0.0,0.0,494729833145.93
MBT,CZ12,cPVVG,3857783532.73,0.0,4213740742.34,345257509811.48,0.0,461961211573.09
MBT,CZ13,cDXGF,593659245.13,0.0,15123178428.22,165829582022.93,0.0,758955472007.35
