Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
MLI,CZ01,cDXGF,301514174277.63,0.0,198797263091.88,301514174277.63,0.0,198797263091.88
MLI,CZ01,cDXHP,0.0,77133273115.7,196954435374.45,0.0,77133273115.7,196954435374.45
MLI,CZ01,cPTAC,0.0,0.0,191321476699.29,0.0,0.0,191321476699.29
MLI,CZ01,cPVVG,0.0,0.0,0.0,303380608286.09,0.0,195236190999.01
MLI,CZ02,cDXGF,193754579019.11,0.0,363605373750.45,193754579019.11,0.0,363605373750.45
MLI,CZ02,cDXHP,0.0,50792437049.39,361515251132.53,0.0,50792437049.39,361515251132.53
MLI,CZ02,cPTAC,0.0,0.0,358939168507.72,0.0,0.0,358939168507.72
MLI,CZ02,cPVVG,0.0,0.0,0.0,195421184623.14,0.0,356877788410.13
MLI,CZ03,cDXGF,126273691172.76,0.0,318451533292.9,126273691172.76,0.0,318451533292.9
MLI,CZ03,cDXHP,0.0,31422784239.53,316632238221.54,0.0,31422784239.53,316632238221.54
MLI,CZ03,cPTAC,0.0,0.0,315364920547.96,0.0,0.0,315364920547.96
MLI,CZ03,cPVVG,0.0,0.0,0.0,127349634134.28,0.0,312494424966.64
MLI,CZ04,cDXGF,155356645923.52,0.0,468555698748.21,155356645923.52,0.0,468555698748.21
MLI,CZ04,cDXHP,0.0,41691104533.88,466774980164.82,0.0,41691104533.88,466774980164.82
MLI,CZ04,cPTAC,0.0,0.0,464638801846.07,0.0,0.0,464638801846.07
MLI,CZ04,cPVVG,0.0,0.0,0.0,156787081765.54,0.0,459928188280.38
MLI,CZ05,cDXGF,103215483555.03,0.0,318713471828.1,103215483555.03,0.0,318713471828.1
MLI,CZ05,cDXHP,0.0,26114460396.91,316491890210.18,0.0,26114460396.91,316491890210.18
MLI,CZ05,cPTAC,0.0,0.0,316045953709.85,0.0,0.0,316045953709.85
MLI,CZ05,cPVVG,0.0,0.0,0.0,104191396072.33,0.0,312850288022.91
MLI,CZ06,cDXGF,30853532233.49,0.0,442190232589.35,30853532233.49,0.0,442190232589.35
MLI,CZ06,cDXHP,0.0,7435572391.22,438850650787.97,0.0,7435572391.22,438850650787.97
MLI,CZ06,cPTAC,0.0,0.0,441359390007.74,0.0,0.0,441359390007.74
MLI,CZ06,cPVVG,0.0,0.0,0.0,31554612497.96,0.0,435252177763.54
MLI,CZ07,cDXGF,26015764633.9,0.0,448801866713.41,26015764633.9,0.0,448801866713.41
MLI,CZ07,cDXHP,0.0,6233496786.1,446365397688.68,0.0,6233496786.1,446365397688.68
MLI,CZ07,cPTAC,0.0,0.0,448047638189.9,0.0,0.0,448047638189.9
MLI,CZ07,cPVVG,0.0,0.0,0.0,26337852042.38,0.0,441886151215.3
MLI,CZ08,cDXGF,40713209681.34,0.0,547230738294.2,40713209681.34,0.0,547230738294.2
MLI,CZ08,cDXHP,0.0,9978138238.35,543623813381.93,0.0,9978138238.35,543623813381.93
MLI,CZ08,cPTAC,0.0,0.0,546070452745.39,0.0,0.0,546070452745.39
MLI,CZ08,cPVVG,0.0,0.0,0.0,41309844546.38,0.0,538055687181.86
MLI,CZ09,cDXGF,58828197683.68,0.0,549802631255.9,58828197683.68,0.0,549802631255.9
MLI,CZ09,cDXHP,0.0,14610485312.4,546124470085.96,0.0,14610485312.4,546124470085.96
MLI,CZ09,cPTAC,0.0,0.0,548177651441.1,0.0,0.0,548177651441.1
MLI,CZ09,cPVVG,0.0,0.0,0.0,59374850462.79,0.0,540248779850.63
MLI,CZ10,cDXGF,50013942142.91,0.0,566850854704.86,50013942142.91,0.0,566850854704.86
MLI,CZ10,cDXHP,0.0,12674008570.32,563349856615.66,0.0,12674008570.32,563349856615.66
MLI,CZ10,cPTAC,0.0,0.0,565470905084.81,0.0,0.0,565470905084.81
MLI,CZ10,cPVVG,0.0,0.0,0.0,50854152294.73,0.0,556746631191.91
MLI,CZ11,cDXGF,195516988261.92,0.0,557397968059.75,195516988261.92,0.0,557397968059.75
MLI,CZ11,cDXHP,0.0,51045080315.8,555469569221.77,0.0,51045080315.8,555469569221.77
MLI,CZ11,cPTAC,0.0,0.0,553668659383.52,0.0,0.0,553668659383.52
MLI,CZ11,cPVVG,124890882.52,0.0,0.0,198596751699.48,0.0,547163807158.35
MLI,CZ12,cDXGF,185365697728.99,0.0,477727453360.04,185365697728.99,0.0,477727453360.04
MLI,CZ12,cDXHP,0.0,48042530330.87,475724838625.79,0.0,48042530330.87,475724838625.79
MLI,CZ12,cPTAC,0.0,0.0,473592053103.48,0.0,0.0,473592053103.48
MLI,CZ12,cPVVG,0.0,0.0,0.0,187326472762.24,0.0,469215693790.44
MLI,CZ13,cDXGF,156168099023.03,0.0,618061710787.83,156168099023.03,0.0,618061710787.83
MLI,CZ13,cDXHP,0.0,40051421680.37,615809223114.14,0.0,40051421680.37,615809223114.14
MLI,CZ13,cPTAC,0.0,0.0,614897547381.96,0.0,0.0,614897547381.96
MLI,CZ13,cPVVG,0.0,0.0,0.0,158643292410.5,0.0,607484569373.98
MLI,CZ14,cDXGF,158151318514.72,0.0,569447183798.06,158151318514.72,0.0,569447183798.06
MLI,CZ14,cDXHP,0.0,43980099790.41,565935414381.78,0.0,43980099790.41,565935414381.78
MLI,CZ14,cPTAC,0.0,0.0,565799374308.86,0.0,0.0,565799374308.86
MLI,CZ14,cPVVG,174297886.29,0.0,0.0,160496564361.19,0.0,557340263702.76
MLI,CZ15,cDXGF,23671774548.87,0.0,897666317847.54,23671774548.87,0.0,897666317847.54
MLI,CZ15,cDXHP,0.0,6026059449.63,895304696943.94,0.0,6026059449.63,895304696943.94
MLI,CZ15,cPTAC,0.0,0.0,897003026642.73,0.0,0.0,897003026642.73
MLI,CZ15,cPVVG,0.0,0.0,0.0,24453128508.41,0.0,887688875891.68
MLI,CZ16,cDXGF,360907295780.63,0.0,337457196322.96,360907295780.63,0.0,337457196322.96
MLI,CZ16,cDXHP,0.0,102755716338.65,334428007081.03,0.0,102755716338.65,334428007081.03
MLI,CZ16,cPTAC,0.0,0.0,330637502133.85,0.0,0.0,330637502133.85
MLI,CZ16,cPVVG,1858911999.86,0.0,0.0,366066866938.81,0.0,329902830861.99
