Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
OfS,CZ01,cDXGF,35602454124.55,0.0,40555594746.19,35602454124.55,0.0,40680914352.64
OfS,CZ01,cDXHP,0.0,10237923846.7,40963323096.22,0.0,10519159099.7,40963323096.22
OfS,CZ01,cPTAC,0.0,0.0,39144387879.22,0.0,0.0,39254991154.75
OfS,CZ01,cPVVG,1004168453.3,0.0,548795557.95,36540504171.65,0.0,40215461193.2
OfS,CZ02,cDXGF,23690569620.7,0.0,77883923405.38,23690569620.7,0.0,78169658626.55
OfS,CZ02,cDXHP,0.0,7166037736.47,78045120530.67,0.0,7207099833.5,78147084141.27
OfS,CZ02,cPTAC,0.0,0.0,76740935071.19,0.0,0.0,77026669375.22
OfS,CZ02,cPVVG,1222244251.72,0.0,2147784894.92,24535349024.17,0.0,77365345436.44
OfS,CZ03,cDXGF,14199633859.7,0.0,72281870659.98,14199633859.7,0.0,72306169182.63
OfS,CZ03,cDXHP,0.0,4034034547.75,72271212658.06,0.0,4034034547.75,72271212658.06
OfS,CZ03,cPTAC,0.0,0.0,71496369814.91,0.0,0.0,71520668338.55
OfS,CZ03,cPVVG,586267343.68,0.0,1720681844.07,14694845595.47,0.0,71510560387.35
OfS,CZ04,cDXGF,18045810854.56,0.0,98616514743.8,18045810854.56,0.0,100386249048.24
OfS,CZ04,cDXHP,0.0,5617529534.05,98757590550.51,0.0,5617529534.05,100176839500.82
OfS,CZ04,cPTAC,0.0,0.0,97590427274.41,0.0,0.0,99325581567.78
OfS,CZ04,cPVVG,1015148305.46,0.0,3369599130.32,18735519376.54,0.0,99434370075.47
OfS,CZ05,cDXGF,10668824112.86,0.0,76521744149.29,10668824112.86,0.0,76662698419.01
OfS,CZ05,cDXHP,0.0,3119919039.0,76577014772.52,0.0,3119919039.0,76577014772.52
OfS,CZ05,cPTAC,0.0,0.0,75688574785.98,0.0,0.0,75829526393.48
OfS,CZ05,cPVVG,499919837.12,0.0,1883026639.48,11035927965.42,0.0,75825139422.27
OfS,CZ06,cDXGF,2413084913.3,0.0,93390360674.07,2413084913.3,0.0,98041714706.39
OfS,CZ06,cDXHP,0.0,669164835.72,95479407774.7,0.0,669164835.72,97880758393.78
OfS,CZ06,cPTAC,0.0,0.0,93186458520.42,0.0,0.0,97830941639.81
OfS,CZ06,cPVVG,0.0,0.0,2425507697.33,2511300448.67,0.0,97055106344.09
OfS,CZ07,cDXGF,1321292756.34,0.0,92821562799.8,1321292756.34,0.0,96434772142.09
OfS,CZ07,cDXHP,0.0,365402572.03,94394461017.76,0.0,365402572.03,96266831253.0
OfS,CZ07,cPTAC,0.0,0.0,92651592728.45,0.0,0.0,96264773194.33
OfS,CZ07,cPVVG,0.0,0.0,1858962644.8,1375318782.28,0.0,95445190886.1
OfS,CZ08,cDXGF,3201336350.64,0.0,113467082683.31,3201336350.64,0.0,116719945388.92
OfS,CZ08,cDXHP,0.0,906825119.45,114069401262.04,0.0,906825119.45,116557363282.48
OfS,CZ08,cPTAC,0.0,0.0,113142318509.48,0.0,0.0,116395130598.7
OfS,CZ08,cPVVG,1022450.81,0.0,3244406104.06,3331084576.44,0.0,115598019043.73
OfS,CZ09,cDXGF,5095161052.33,0.0,117009275455.69,5095161052.33,0.0,119176610271.49
OfS,CZ09,cDXHP,0.0,1469773904.48,117040976379.61,0.0,1469773904.48,119038385206.49
OfS,CZ09,cPTAC,0.0,0.0,116622161017.88,0.0,0.0,118789463760.17
OfS,CZ09,cPVVG,24447527.02,0.0,3640054916.39,5306820795.58,0.0,118009472152.19
OfS,CZ10,cDXGF,3801437032.2,0.0,111041828908.13,3801437032.2,0.0,111821024073.6
OfS,CZ10,cDXHP,0.0,1112165481.34,110880808005.94,0.0,1112165481.34,111660003166.39
OfS,CZ10,cPTAC,0.0,0.0,110669849094.78,0.0,0.0,111449043421.92
OfS,CZ10,cPVVG,26791201.41,0.0,2769866644.54,3954276178.11,0.0,110735410584.62
OfS,CZ11,cDXGF,26678622065.01,0.0,114778940808.18,26678622065.01,0.0,115394233516.61
OfS,CZ11,cDXHP,0.0,8060542719.52,114714872006.56,0.0,8060542719.52,115210211728.25
OfS,CZ11,cPTAC,0.0,0.0,113908075871.63,0.0,0.0,114523368580.07
OfS,CZ11,cPVVG,2102755347.28,0.0,4931464928.49,27741434047.26,0.0,114325455652.34
