Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RFF,CZ01,cDXGF,135173801.84,0.0,0.0,34329577859.41,0.0,6525836669.83
RFF,CZ01,cDXHP,0.0,38575274.41,0.0,0.0,8674564532.85,6457865108.28
RFF,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,6175959856.98
RFF,CZ01,cPVVG,186723072.91,0.0,0.0,50791007813.03,0.0,4571053968.27
RFF,CZ02,cDXGF,350204820.51,0.0,4984942.84,24449560979.67,0.0,23111097668.86
RFF,CZ02,cDXHP,0.0,102436353.3,5020668.64,0.0,6354729127.08,23149351678.89
RFF,CZ02,cPTAC,0.0,0.0,4978277.47,0.0,0.0,22755947515.83
RFF,CZ02,cPVVG,528905370.7,0.0,2426317.74,38096545256.5,0.0,19524880495.1
RFF,CZ03,cDXGF,835275.02,0.0,3939262.89,12540370416.08,0.0,18854461538.02
RFF,CZ03,cDXHP,0.0,222112.02,3961344.77,0.0,3105033191.71,18720688214.59
RFF,CZ03,cPTAC,0.0,0.0,3937330.26,0.0,0.0,18657109942.23
RFF,CZ03,cPVVG,7567693.87,0.0,1900433.14,22050446057.61,0.0,14763968173.26
RFF,CZ04,cDXGF,181826953.69,0.0,18740441.01,18933205503.01,0.0,33268139243.4
RFF,CZ04,cDXHP,0.0,53153801.13,18858394.67,0.0,5051220943.01,33652169721.35
RFF,CZ04,cPTAC,0.0,0.0,18693783.53,0.0,0.0,32887060161.65
RFF,CZ04,cPVVG,291014577.49,0.0,10357491.13,29974615529.15,0.0,29343476215.04
RFF,CZ05,cDXGF,12163860.43,0.0,3597046.29,11266422911.85,0.0,20241639942.05
RFF,CZ05,cDXHP,0.0,3196413.21,3601208.08,0.0,2856310270.22,20188904855.41
RFF,CZ05,cPTAC,0.0,0.0,3591109.12,0.0,0.0,19953677160.83
RFF,CZ05,cPVVG,32904164.11,0.0,1892698.23,21047099998.06,0.0,16129539741.63
RFF,CZ06,cDXGF,0.0,0.0,21409780.75,2325671377.03,0.0,31372406830.71
RFF,CZ06,cDXHP,0.0,0.0,21417985.51,0.0,560162481.04,30842610326.66
RFF,CZ06,cPTAC,0.0,0.0,21409389.08,0.0,0.0,31314519225.89
RFF,CZ06,cPVVG,0.0,0.0,11774865.21,5580844380.25,0.0,26179871386.73
RFF,CZ07,cDXGF,0.0,0.0,14729362.34,1796240243.83,0.0,30665264863.72
RFF,CZ07,cDXHP,0.0,0.0,14701418.14,0.0,432730362.37,30227784306.72
RFF,CZ07,cPTAC,0.0,0.0,14724705.33,0.0,0.0,30607750672.75
RFF,CZ07,cPVVG,0.0,0.0,8872439.84,4832775926.08,0.0,25137112308.72
RFF,CZ08,cDXGF,984781.52,0.0,39987075.99,3533311312.55,0.0,40760863301.37
RFF,CZ08,cDXHP,0.0,260476.49,39961541.48,0.0,874670905.26,40543284908.27
RFF,CZ08,cPTAC,0.0,0.0,39985850.68,0.0,0.0,40655012475.57
RFF,CZ08,cPVVG,3139578.95,0.0,25134719.88,7713471529.32,0.0,35142409671.48
RFF,CZ09,cDXGF,8462837.95,0.0,52468604.15,4739116511.6,0.0,42527046359.8
RFF,CZ09,cDXHP,0.0,2278935.23,52580482.87,0.0,1186161872.06,42440609243.94
RFF,CZ09,cPTAC,0.0,0.0,52466695.36,0.0,0.0,42414956670.44
RFF,CZ09,cPVVG,22974934.62,0.0,29200021.85,9836029012.86,0.0,36737175495.24
RFF,CZ10,cDXGF,10571081.6,0.0,54290993.17,5955556834.77,0.0,42920566427.2
RFF,CZ10,cDXHP,0.0,2903059.87,54486380.05,0.0,1500791454.76,42875655848.33
RFF,CZ10,cPTAC,0.0,0.0,54274523.67,0.0,0.0,42778231446.85
RFF,CZ10,cPVVG,31713059.99,0.0,32905762.08,12076336313.68,0.0,37409084633.35
RFF,CZ11,cDXGF,425931754.1,0.0,99449893.9,21675401482.04,0.0,44256299276.96
RFF,CZ11,cDXHP,0.0,128038341.52,100108544.9,0.0,5672482472.27,44464163997.55
RFF,CZ11,cPTAC,0.0,0.0,99448320.01,0.0,0.0,44015452381.69
RFF,CZ11,cPVVG,661552440.95,0.0,66717576.43,33978642193.22,0.0,39846264271.42
RFF,CZ12,cDXGF,315811562.44,0.0,27722728.03,21211476973.03,0.0,33561870612.51
