Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
Rt3,CZ01,cDXGF,2615042160.89,0.0,0.0,480751456215.41,0.0,34261203756.73
Rt3,CZ01,cDXHP,0.0,794015884.47,0.0,0.0,120966452142.42,33859930526.95
Rt3,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,33357644129.29
Rt3,CZ01,cPVVG,3979120379.2,0.0,0.0,775223290872.18,0.0,55228416171.2
Rt3,CZ02,cDXGF,11849273469.52,0.0,74799462.52,424342387403.37,0.0,588510526745.93
Rt3,CZ02,cDXHP,0.0,3481049687.69,75184539.69,0.0,110841068534.71,594849105240.39
Rt3,CZ02,cPTAC,0.0,0.0,75152023.67,0.0,0.0,584865663365.16
Rt3,CZ02,cPVVG,19334451843.1,0.0,51295740.03,693898227063.89,0.0,584908779716.74
Rt3,CZ03,cDXGF,1667088307.53,0.0,124.19,235420202549.33,0.0,280269699649.26
Rt3,CZ03,cDXHP,0.0,442827998.87,120.07,0.0,57234225273.74,278622880175.26
Rt3,CZ03,cPTAC,0.0,0.0,123.92,0.0,0.0,279298422968.96
Rt3,CZ03,cPVVG,2923880445.54,0.0,224.3,402248904157.89,0.0,313412245522.46
Rt3,CZ04,cDXGF,11611031650.11,0.0,450489750.45,351233665757.07,0.0,937900567306.42
Rt3,CZ04,cDXHP,0.0,3613124450.97,445794026.77,0.0,94691939171.94,959092063095.97
Rt3,CZ04,cPTAC,0.0,0.0,450474356.76,0.0,0.0,933655803709.96
Rt3,CZ04,cPVVG,20035034326.79,0.0,298953814.64,592356131298.38,0.0,932089390079.62
Rt3,CZ05,cDXGF,2049096720.87,0.0,0.0,220019618518.72,0.0,359814849659.03
Rt3,CZ05,cDXHP,0.0,578246586.02,0.0,0.0,54608077152.27,360479437087.78
Rt3,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,356740405570.46
Rt3,CZ05,cPVVG,3414112338.93,0.0,0.0,376137419142.33,0.0,377509656047.23
Rt3,CZ06,cDXGF,13676483.99,0.0,5346337.45,50603280951.11,0.0,685567442411.01
Rt3,CZ06,cDXHP,0.0,3427127.42,5346995.82,0.0,11902862059.07,655189444207.24
Rt3,CZ06,cPTAC,0.0,0.0,5346337.45,0.0,0.0,685011607312.92
Rt3,CZ06,cPVVG,59901783.3,0.0,1528058.03,105706157372.26,0.0,711768809482.67
Rt3,CZ07,cDXGF,7812075.82,0.0,17710490.27,42244408987.69,0.0,757975740452.39
Rt3,CZ07,cDXHP,0.0,2039765.14,17711343.59,0.0,9875575135.62,733792674136.24
Rt3,CZ07,cPTAC,0.0,0.0,17710490.27,0.0,0.0,757437441508.47
Rt3,CZ07,cPVVG,39121411.96,0.0,8093433.8,91466130325.96,0.0,757235903308.13
Rt3,CZ08,cDXGF,109808271.63,0.0,185978292.94,59296804387.73,0.0,1131398826312.89
Rt3,CZ08,cDXHP,0.0,28262847.9,186432600.24,0.0,14363148517.59,1118454848481.73
Rt3,CZ08,cPTAC,0.0,0.0,185978286.96,0.0,0.0,1130238806834.22
Rt3,CZ08,cPVVG,267739020.51,0.0,104336564.27,122968416211.13,0.0,1112599992144.86
Rt3,CZ09,cDXGF,875126230.72,0.0,327013854.52,89467239319.55,0.0,1126101353639.84
Rt3,CZ09,cDXHP,0.0,234713279.63,296999515.12,0.0,22095971869.94,1123457392877.74
Rt3,CZ09,cPTAC,0.0,0.0,327013784.84,0.0,0.0,1124697874037.97
Rt3,CZ09,cPVVG,1950712236.83,0.0,183536406.77,179912127708.43,0.0,1106109814776.95
Rt3,CZ10,cDXGF,3295222007.79,0.0,462195706.66,117005325277.01,0.0,1316623549828.83
Rt3,CZ10,cDXHP,0.0,890714542.8,450053626.41,0.0,28973992723.31,1317952318430.73
Rt3,CZ10,cPTAC,0.0,0.0,462195510.76,0.0,0.0,1314728151533.44
Rt3,CZ10,cPVVG,7152965969.53,0.0,272833704.98,228787588287.82,0.0,1292465263572.67
Rt3,CZ11,cDXGF,12610505303.71,0.0,2597138868.5,360215597962.1,0.0,1260479106737.54
Rt3,CZ11,cDXHP,0.0,3731538830.93,2570593800.74,0.0,94885906420.67,1278651612591.86
Rt3,CZ11,cPTAC,0.0,0.0,2597135608.04,0.0,0.0,1258363586686.68
Rt3,CZ11,cPVVG,21630185956.42,0.0,1787226256.88,613068584023.66,0.0,1251522307816.92
Rt3,CZ12,cDXGF,8059439481.95,0.0,613879472.06,349888707706.84,0.0,916382429806.66
Rt3,CZ12,cDXHP,0.0,2280549107.86,616358675.31,0.0,91043519445.66,928402718533.33
Rt3,CZ12,cPTAC,0.0,0.0,613872457.8,0.0,0.0,915029912101.78
Rt3,CZ12,cPVVG,14389374108.65,0.0,440539548.73,597825286419.14,0.0,913126123991.51
Rt3,CZ13,cDXGF,4267844230.61,0.0,3467006127.9,266616485689.98,0.0,1326195852493.26
Rt3,CZ13,cDXHP,0.0,1209148460.53,3467059073.51,0.0,69284004246.37,1342277834003.54
Rt3,CZ13,cPTAC,0.0,0.0,3467005451.86,0.0,0.0,1325434210474.85
Rt3,CZ13,cPVVG,8435777944.11,0.0,2378785722.95,487002757479.62,0.0,1319052861931.8
Rt3,CZ14,cDXGF,7005960568.9,0.0,654999582.93,262871586449.38,0.0,1260361588983.84
Rt3,CZ14,cDXHP,0.0,2296467976.1,629600417.35,0.0,74168158754.75,1286218981995.53
Rt3,CZ14,cPTAC,0.0,0.0,654999401.76,0.0,0.0,1257806527106.94
Rt3,CZ14,cPVVG,11466824680.62,0.0,439826426.66,452590124396.67,0.0,1252378543562.62
Rt3,CZ15,cDXGF,202977326.6,0.0,20026593126.12,28641695499.91,0.0,2305902646665.58
Rt3,CZ15,cDXHP,0.0,56271512.39,20014144729.31,0.0,7236141641.57,2306084654139.75
Rt3,CZ15,cPTAC,0.0,0.0,20026593126.12,0.0,0.0,2305402102911.27
Rt3,CZ15,cPVVG,360839610.41,0.0,14123521674.32,64207041491.43,0.0,2285764697690.98
Rt3,CZ16,cDXGF,36462929100.72,0.0,96994144.15,601276246631.82,0.0,448261248405.06
Rt3,CZ16,cDXHP,0.0,12000907237.64,97142698.71,0.0,180073687638.64,455456507096.95
Rt3,CZ16,cPTAC,0.0,0.0,96992243.65,0.0,0.0,446831080005.69
Rt3,CZ16,cPVVG,57744081495.81,0.0,64818723.76,994464682681.57,0.0,443354377847.06
