Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RtL,CZ01,cDXGF,99525597008.86,0.0,806906793463.51,99525597008.86,0.0,806906793463.51
RtL,CZ01,cDXHP,0.0,24735146353.92,799557070722.56,0.0,25001737214.56,799557070722.56
RtL,CZ01,cPTAC,0.0,0.0,801979346021.43,0.0,0.0,801979346021.43
RtL,CZ01,cPVVG,0.0,0.0,0.0,100682476793.68,0.0,798684664960.7
RtL,CZ02,cDXGF,67290225617.05,0.0,1007094163634.52,67290225617.05,0.0,1007094163634.52
RtL,CZ02,cDXHP,0.0,17364717180.42,1006612339846.59,0.0,17459949012.84,1006612339846.59
RtL,CZ02,cPTAC,0.0,0.0,1003870304384.71,0.0,0.0,1003870304384.71
RtL,CZ02,cPVVG,17150001.18,0.0,0.0,68987098520.32,0.0,998053980112.09
RtL,CZ03,cDXGF,41741771705.48,0.0,963197484705.55,41741771705.48,0.0,963197484705.55
RtL,CZ03,cDXHP,0.0,10226443759.21,960968798403.1,0.0,10226443759.21,960968798403.1
RtL,CZ03,cPTAC,0.0,0.0,961148516285.43,0.0,0.0,961148516285.43
RtL,CZ03,cPVVG,0.0,0.0,0.0,42224928429.68,0.0,954547831395.82
RtL,CZ04,cDXGF,56872514304.74,0.0,1148271518432.65,56872514304.74,0.0,1148271518432.65
RtL,CZ04,cDXHP,0.0,15091684265.56,1148892387363.49,0.0,15091684265.56,1148892387363.49
RtL,CZ04,cPTAC,0.0,0.0,1145660605799.74,0.0,0.0,1145660605799.74
RtL,CZ04,cPVVG,4347550.39,0.0,1135057.63,58751931458.04,0.0,1138295637722.54
RtL,CZ05,cDXGF,35401390203.71,0.0,969236991047.57,35401390203.71,0.0,969236991047.57
RtL,CZ05,cDXHP,0.0,8815839076.14,965849287552.77,0.0,8815839076.14,965849287552.77
RtL,CZ05,cPTAC,0.0,0.0,967363720262.07,0.0,0.0,967363720262.07
RtL,CZ05,cPVVG,0.0,0.0,0.0,35909910546.34,0.0,960279295685.55
RtL,CZ06,cDXGF,9586574445.78,0.0,1102978998965.92,9586574445.78,0.0,1102978998965.92
RtL,CZ06,cDXHP,0.0,2298841739.17,1099964116618.38,0.0,2298841739.17,1099964116618.38
RtL,CZ06,cPTAC,0.0,0.0,1102579928201.43,0.0,0.0,1102579928201.43
RtL,CZ06,cPVVG,0.0,0.0,0.0,9931722235.74,0.0,1092975633355.1
RtL,CZ07,cDXGF,7631648728.8,0.0,1106466502262.67,7631648728.8,0.0,1106466502262.67
RtL,CZ07,cDXHP,0.0,1816934433.71,1104286188903.09,0.0,1816934433.71,1104286188903.09
RtL,CZ07,cPTAC,0.0,0.0,1106129683188.22,0.0,0.0,1106129683188.22
RtL,CZ07,cPVVG,0.0,0.0,0.0,7888408568.98,0.0,1096415377756.28
RtL,CZ08,cDXGF,13161225244.12,0.0,1220456568399.05,13161225244.12,0.0,1220456568399.05
RtL,CZ08,cDXHP,0.0,3207567367.75,1220615955430.03,0.0,3207567367.75,1220615955430.03
RtL,CZ08,cPTAC,0.0,0.0,1219869636928.8,0.0,0.0,1219869636928.8
RtL,CZ08,cPVVG,0.0,0.0,0.0,13613104304.14,0.0,1209936655531.34
RtL,CZ09,cDXGF,18798456553.84,0.0,1230228723182.21,18798456553.84,0.0,1230268187340.46
RtL,CZ09,cDXHP,0.0,4673933448.46,1230322999620.27,0.0,4673933448.46,1230362463778.52
RtL,CZ09,cPTAC,0.0,0.0,1229379859140.99,0.0,0.0,1229419323299.25
RtL,CZ09,cPVVG,0.0,0.0,0.0,19494908486.57,0.0,1219499774801.04
RtL,CZ10,cDXGF,14715616543.79,0.0,1259510803242.91,14715616543.79,0.0,1259524544727.94
RtL,CZ10,cDXHP,0.0,3683722831.71,1259912298714.65,0.0,3683722831.71,1259912298714.65
RtL,CZ10,cPTAC,0.0,0.0,1258821874352.37,0.0,0.0,1258835615837.4
RtL,CZ10,cPVVG,0.0,0.0,0.0,15254287041.77,0.0,1248882354771.02
RtL,CZ11,cDXGF,65274564489.1,0.0,1241320040604.31,65274564489.1,0.0,1241320040604.31
RtL,CZ11,cDXHP,0.0,16988934285.3,1241926892154.32,0.0,16988934285.3,1241926892154.32
RtL,CZ11,cPTAC,0.0,0.0,1238676419299.8,0.0,0.0,1238676419299.8
RtL,CZ11,cPVVG,268855419.51,0.0,30457897.29,67700206245.07,0.0,1230967498497.73
RtL,CZ12,cDXGF,60577170562.19,0.0,1140058874767.35,60577170562.19,0.0,1140058874767.35
RtL,CZ12,cDXHP,0.0,15645495376.25,1140874916049.94,0.0,15645495376.25,1140874916049.94
RtL,CZ12,cPTAC,0.0,0.0,1137411248143.98,0.0,0.0,1137411248143.98
RtL,CZ12,cPVVG,0.0,0.0,6409381.51,62767097174.68,0.0,1130275185261.34
RtL,CZ13,cDXGF,48791757663.5,0.0,1305682002822.66,48791757663.5,0.0,1305682002822.66
RtL,CZ13,cDXHP,0.0,12534876416.06,1306434394834.34,0.0,12534876416.06,1306434394834.34
RtL,CZ13,cPTAC,0.0,0.0,1303732058676.59,0.0,0.0,1303732058676.59
RtL,CZ13,cPVVG,0.0,0.0,27388741.45,50623112157.8,0.0,1294972378944.93
RtL,CZ14,cDXGF,55332891816.13,0.0,1270534975221.99,55332891816.13,0.0,1270534975221.99
RtL,CZ14,cDXHP,0.0,15070345786.08,1271035095963.75,0.0,15070345786.08,1271035095963.75
RtL,CZ14,cPTAC,0.0,0.0,1268155125196.76,0.0,0.0,1268155125196.76
RtL,CZ14,cPVVG,307704845.21,0.0,0.0,57364967237.8,0.0,1259355003326.16
RtL,CZ15,cDXGF,6455844905.84,0.0,1663504860031.99,6455844905.84,0.0,1663504860031.99
RtL,CZ15,cDXHP,0.0,1643402605.72,1663504487342.07,0.0,1643402605.72,1663504487342.07
RtL,CZ15,cPTAC,0.0,0.0,1663197715762.3,0.0,0.0,1663197715762.3
RtL,CZ15,cPVVG,0.0,0.0,23956943.95,6703922985.94,0.0,1650607419015.3
RtL,CZ16,cDXGF,130471529782.21,0.0,967856704457.14,130471529782.21,0.0,967856704457.14
RtL,CZ16,cDXHP,0.0,35923319645.46,957746642234.78,0.0,36737325298.74,957746642234.78
RtL,CZ16,cPTAC,0.0,0.0,961772980318.32,0.0,0.0,961772980318.32
RtL,CZ16,cPVVG,2269497080.67,0.0,0.0,133036612411.96,0.0,956938114096.15
