Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
RtS,CZ01,cDXGF,22592321.86,0.0,0.0,92866407092.23,0.0,1354496033.04
RtS,CZ01,cDXHP,0.0,7674247.0,0.0,0.0,22630164137.96,1333927763.56
RtS,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,1287516967.83
RtS,CZ01,cPVVG,29083367.09,0.0,0.0,124516614450.21,0.0,1986679188.03
RtS,CZ02,cDXGF,998232313.4,0.0,1500650.17,68062404248.91,0.0,40977714670.2
RtS,CZ02,cDXHP,0.0,293970572.6,1503853.96,0.0,17089962795.96,41285920894.0
RtS,CZ02,cPTAC,0.0,0.0,1500650.16,0.0,0.0,40642493189.15
RtS,CZ02,cPVVG,1424121606.96,0.0,301588.77,93568867125.38,0.0,38877398029.4
RtS,CZ03,cDXGF,47510839.75,0.0,0.0,39870973384.19,0.0,17206823810.87
RtS,CZ03,cDXHP,0.0,11771788.32,0.0,0.0,9507839185.05,17229493898.01
RtS,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,17127663856.1
RtS,CZ03,cPVVG,88380332.66,0.0,0.0,57636243256.55,0.0,17932569442.92
RtS,CZ04,cDXGF,622625817.87,0.0,62441033.45,52418496990.51,0.0,69527341960.66
RtS,CZ04,cDXHP,0.0,175197291.64,62651454.28,0.0,13489092255.67,70302097135.85
RtS,CZ04,cPTAC,0.0,0.0,62441015.54,0.0,0.0,69117808010.68
RtS,CZ04,cPVVG,966353810.16,0.0,37267484.69,73166670789.0,0.0,66649330599.08
RtS,CZ05,cDXGF,100984813.86,0.0,0.0,34095351995.06,0.0,22374868026.99
RtS,CZ05,cDXHP,0.0,26112716.78,0.0,0.0,8282895263.85,22493771588.81
RtS,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,22074753926.92
RtS,CZ05,cPVVG,153990887.39,0.0,0.0,51249285166.73,0.0,22192733392.96
RtS,CZ06,cDXGF,0.0,0.0,0.0,9819540147.63,0.0,47332419637.73
RtS,CZ06,cDXHP,0.0,0.0,0.0,0.0,2281285238.36,46023281816.97
RtS,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,47263853539.72
RtS,CZ06,cPVVG,0.0,0.0,0.0,16239526161.19,0.0,47244991058.54
RtS,CZ07,cDXGF,0.0,0.0,824580.36,8556594514.33,0.0,50984976622.13
RtS,CZ07,cDXHP,0.0,0.0,787519.94,0.0,1979007084.6,50087575063.15
RtS,CZ07,cPTAC,0.0,0.0,824580.36,0.0,0.0,50913813139.89
RtS,CZ07,cPVVG,0.0,0.0,576218.67,14684388953.91,0.0,48934915545.53
RtS,CZ08,cDXGF,0.0,0.0,12876852.98,11265577528.83,0.0,82974346292.19
RtS,CZ08,cDXHP,0.0,0.0,12863185.24,0.0,2684628644.66,82728732980.57
RtS,CZ08,cPTAC,0.0,0.0,12876852.98,0.0,0.0,82798283608.08
RtS,CZ08,cPVVG,0.0,0.0,5462129.19,18733314637.19,0.0,78907530281.2
RtS,CZ09,cDXGF,0.0,0.0,62178526.61,15522304950.08,0.0,84797562466.12
RtS,CZ09,cDXHP,0.0,0.0,58566630.06,0.0,3753820610.53,84821304688.74
RtS,CZ09,cPTAC,0.0,0.0,62178527.01,0.0,0.0,84606567932.6
RtS,CZ09,cPVVG,0.0,0.0,28995540.78,25145655836.08,0.0,80520702630.48
RtS,CZ10,cDXGF,38745315.45,0.0,65439505.56,18921089592.9,0.0,96944842780.47
RtS,CZ10,cDXHP,0.0,10633729.81,65087852.93,0.0,4581342716.35,96986061878.91
RtS,CZ10,cPTAC,0.0,0.0,65439505.56,0.0,0.0,96703343725.33
RtS,CZ10,cPVVG,55633293.7,0.0,31152518.67,30455357121.34,0.0,91653128596.88
RtS,CZ11,cDXGF,1584337768.4,0.0,763971531.14,59844101839.19,0.0,99412085670.57
RtS,CZ11,cDXHP,0.0,465741566.77,755865169.72,0.0,15202573999.49,99805805726.83
RtS,CZ11,cPTAC,0.0,0.0,763969173.86,0.0,0.0,99216108096.25
RtS,CZ11,cPVVG,2292093190.65,0.0,449484969.66,84264928530.7,0.0,95281535294.02
RtS,CZ12,cDXGF,956081311.17,0.0,90710320.09,60122747485.89,0.0,68915350703.12
RtS,CZ12,cDXHP,0.0,263679913.2,90050937.98,0.0,15052488479.78,69332374097.31
RtS,CZ12,cPTAC,0.0,0.0,90705840.72,0.0,0.0,68769534017.93
RtS,CZ12,cPVVG,1369676415.32,0.0,55647107.2,82939076346.87,0.0,66350126220.27
RtS,CZ13,cDXGF,275830394.33,0.0,1168191939.75,48080237699.35,0.0,104744612498.54
RtS,CZ13,cDXHP,0.0,77408844.08,1167547790.09,0.0,12065586445.79,105115480593.42
RtS,CZ13,cPTAC,0.0,0.0,1168191939.75,0.0,0.0,104672289025.08
RtS,CZ13,cPVVG,448400447.76,0.0,723528345.17,69696488194.66,0.0,100612221273.73
