Building Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy
SCn,CZ01,cDXGF,2665211391916.77,0.0,125734844184.63,2948528265254.29,0.0,125734844184.63
SCn,CZ01,cDXHP,0.0,612137432750.01,146537975310.55,0.0,965647078981.92,146537975310.55
SCn,CZ01,cPTAC,0.0,0.0,88510984447.87,0.0,0.0,88510984447.87
SCn,CZ01,cPVVG,24433860640.17,0.0,0.0,2948596031965.02,0.0,117902951652.52
SCn,CZ02,cDXGF,1708758052734.54,0.0,784341014860.5,1890339089037.19,0.0,824442116896.44
SCn,CZ02,cDXHP,0.0,373598488112.56,783307563089.32,0.0,649759478980.65,823408665114.34
SCn,CZ02,cPTAC,0.0,0.0,735519875096.12,0.0,0.0,775131694572.55
SCn,CZ02,cPVVG,34347238221.31,0.0,0.0,1890370299003.95,0.0,757152587946.81
SCn,CZ03,cDXGF,1110828237890.59,0.0,492341454893.07,1261473032734.22,0.0,505728417379.79
SCn,CZ03,cDXHP,0.0,247960017374.92,533979165882.28,0.0,399220862484.41,540109898821.55
SCn,CZ03,cPTAC,0.0,0.0,463057407723.12,0.0,0.0,476444389382.73
SCn,CZ03,cPVVG,22495943277.59,0.0,0.0,1261502724224.69,0.0,485136181233.13
SCn,CZ04,cDXGF,1315459003766.99,0.0,1006657662619.81,1450358171221.34,0.0,1305379998503.88
SCn,CZ04,cDXHP,0.0,298363004027.05,1005563282127.44,0.0,505879835437.67,1304285617999.51
SCn,CZ04,cPTAC,0.0,0.0,965248591085.08,0.0,0.0,1263970927126.28
SCn,CZ04,cPVVG,32562163416.46,0.0,0.0,1450391908666.49,0.0,1237447698293.33
SCn,CZ05,cDXGF,850643638558.06,0.0,474558297864.37,948330104800.72,0.0,486319794912.01
SCn,CZ05,cDXHP,0.0,190179134040.58,496011622483.11,0.0,306261746984.84,502309791112.47
SCn,CZ05,cPTAC,0.0,0.0,438786663707.75,0.0,0.0,450548162689.66
SCn,CZ05,cPVVG,20891243834.57,0.0,0.0,948322054924.64,0.0,460336391665.44
SCn,CZ06,cDXGF,244543692746.88,0.0,850616111638.18,288620377386.45,0.0,1051664431679.92
SCn,CZ06,cDXHP,0.0,50370019681.86,975667855873.29,0.0,79365755866.35,1105170882243.05
SCn,CZ06,cPTAC,0.0,0.0,820195297834.62,0.0,0.0,1021243618346.95
SCn,CZ06,cPVVG,4427804218.16,0.0,0.0,288627254006.43,0.0,1045927006760.99
SCn,CZ07,cDXGF,211044646246.66,0.0,893220804954.65,236825270546.15,0.0,1076518420506.6
SCn,CZ07,cDXHP,0.0,48821746316.56,1001995504581.33,0.0,64786721801.15,1130350318307.74
