skip,case_name,:main_hvac_type,:main_cool_coil_type,:main_heat_coil_type,:main_dx_comp_speed,:main_fan_speed,:main_atu_reheat_coil_type,:dining_fine_operation_schedule,:dining_fine_fan_mode_schedule,:dining_fine_outdoor_air_schedule,:kitchen_operation_schedule,:kitchen_fan_mode_schedule,:kitchen_outdoor_air_schedule,:lobby_operation_schedule,:lobby_fan_mode_schedule,:lobby_outdoor_air_schedule,:restroom_operation_schedule,:restroom_fan_mode_schedule,:restroom_outdoor_air_schedule,:heat_sizing_factor,:cool_sizing_factor,:main_atu_reheat_control,:main_fan_rise,:main_dx_type,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac
,M1-cPTAC-Base,SZ-CAV,DX-AIR,NONE,CONSTANT,CONSTANT,RESISTANCE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,,0.8,1
,M1-cPTAC-Measure,SZ-CAV,DX-AIR,NONE,CONSTANT,CONSTANT,RESISTANCE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,,0.8,1
,M1-cDXGF-Base,SZ-CAV,DX-AIR,COMBUSTION,CONSTANT,CONSTANT,RESISTANCE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,,0.8,1
,M1-cDXGF-Measure,SZ-CAV,DX-AIR,COMBUSTION,CONSTANT,CONSTANT,RESISTANCE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,,0.8,1
,M1-cDXHP-Base,SZ-CAV,DX-AIR,DX-AIR,CONSTANT,CONSTANT,RESISTANCE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,3.738,0.8,1
,M1-cDXHP-Measure,SZ-CAV,DX-AIR,DX-AIR,CONSTANT,CONSTANT,RESISTANCE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,3.738,0.8,1
,M1-cPVVG-Base,SZ-VAV,DX-AIR,COMBUSTION,CONSTANT,VARIABLE,RESISTANCE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,0.67,FractionOfAutosizedCoolingValue,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,,0.8,1
,M1-cPVVG-Measure,SZ-VAV,DX-AIR,COMBUSTION,CONSTANT,VARIABLE,RESISTANCE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.25,1.15,nil,3.877['in H2O'],PNNL,0.67,FractionOfAutosizedCoolingValue,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.65,0.87,,0.8,1
,M2-cPTAC-Base,SZ-CAV,DX-AIR,NONE,CONSTANT,CONSTANT,RESISTANCE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,,0.8,1
,M2-cPTAC-Measure,SZ-CAV,DX-AIR,NONE,CONSTANT,CONSTANT,RESISTANCE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,,0.8,1
,M2-cDXGF-Base,SZ-CAV,DX-AIR,COMBUSTION,CONSTANT,CONSTANT,RESISTANCE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,,0.8,1
,M2-cDXGF-Measure,SZ-CAV,DX-AIR,COMBUSTION,CONSTANT,CONSTANT,RESISTANCE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,,0.8,1
,M2-cDXHP-Base,SZ-CAV,DX-AIR,DX-AIR,CONSTANT,CONSTANT,RESISTANCE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,3.738,0.8,1
,M2-cDXHP-Measure,SZ-CAV,DX-AIR,DX-AIR,CONSTANT,CONSTANT,RESISTANCE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,,,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,3.738,0.8,1
,M2-cPVVG-Base,SZ-VAV,DX-AIR,COMBUSTION,CONSTANT,VARIABLE,RESISTANCE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,0.67,FractionOfAutosizedCoolingValue,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,,0.8,1
,M2-cPVVG-Measure,SZ-VAV,DX-AIR,COMBUSTION,CONSTANT,VARIABLE,RESISTANCE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1.25,1.15,nil,3.877['in H2O'],PNNL,0.67,FractionOfAutosizedCoolingValue,FLOATING,95['F'],NONCOINCIDENT,NoEconomizer,3.65,0.87,,0.8,1
