skip,case_name,:dhw_gas_dhw_loop_configuration,:dining_fast__dhw_loop_configuration,:kitchen_dhw_loop_configuration,:office_large_dhw_loop_configuration,:health_patient_dhw_loop_configuration,:dhw_gas_case_configuration,:dhw_gas_schedule_file_path,:dhw_gas_deadband_temperature,:dhw_gas_pipe_inside_diameter,:dhw_gas_pipe_length,:dhw_gas_peak_flow_rate,:hw_pump_head,:dhw_gas_water_heater_temperature_control
,NG-WaterHtg_eq-FlowCtrl-Full-RecircLoop-Std,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.0254,122,0.000163779,0,CONSTANT
,NG-WaterHtg_eq-FlowCtrl-Full-RecircLoop-Msr,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,MEASURE,..\\..\\..\\..\\..\\schedule_Nrs.csv,0.5,0.0254,122,0.000163779,0,CONSTANT
,NG-WaterHtg_eq-TempCtrl-Full-RecircLoop-Std,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.0254,122,0.000163779,0,CONSTANT
,NG-WaterHtg_eq-TempCtrl-Full-RecircLoop-Msr,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.0254,122,0.000163779,0,SCHEDULED
,NG-WaterHtg_eq-FlowTempCtrl-Full-RecircLoop-Std,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.0254,122,0.000163779,0,CONSTANT
,NG-WaterHtg_eq-FlowTempCtrl-Full-RecircLoop-Msr,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,MEASURE,..\\..\\..\\..\\..\\schedule_Nrs.csv,0.5,0.0254,122,0.000163779,0,SCHEDULED
#,defaults,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# the first two items are for 015, the seocnd two are for 016 and the last two are for Combo",,,,,,,,,,,,,,
