Date/Time,fractional flow schedule (kg/s)
 01/01  01:00:00,0.18629620183559717
 01/01  02:00:00,0.19108748480225926
 01/01  03:00:00,0.19485456050658784
 01/01  04:00:00,0.2006936240724874
 01/01  05:00:00,0.2043455163565988
 01/01  06:00:00,0.20125985035070879
 01/01  07:00:00,0.2006821410560635
 01/01  08:00:00,0.1765001693744875
 01/01  09:00:00,0.1482168528448324
 01/01  10:00:00,0.14268156669534562
 01/01  11:00:00,0.12976690658692042
 01/01  12:00:00,0.11909342402187015
 01/01  13:00:00,0.11214905538110939
 01/01  14:00:00,0.10611280404928858
 01/01  15:00:00,0.0993788712488066
 01/01  16:00:00,0.10007891848719319
 01/01  17:00:00,0.1041705487054445
 01/01  18:00:00,0.10978149212642038
 01/01  19:00:00,0.11689624363240445
 01/01  20:00:00,0.1264545006513566
 01/01  21:00:00,0.14611777347178134
 01/01  22:00:00,0.15941349263058496
 01/01  23:00:00,0.1737730425644769
 01/01  24:00:00,0.1830393361602103
 01/02  01:00:00,0.18437819288570984
 01/02  02:00:00,0.1890556265903199
 01/02  03:00:00,0.1926886453065914
 01/02  04:00:00,0.1981431480488045
 01/02  05:00:00,0.15438683531020597
 01/02  06:00:00,0.1989839166933283
 01/02  07:00:00,0.19333446724183995
 01/02  08:00:00,0.15090632417962624
 01/02  09:00:00,0.12155258352801757
 01/02  10:00:00,0.11731297128212372
 01/02  11:00:00,0.10938977828581384
 01/02  12:00:00,0.10309012747642386
 01/02  13:00:00,0.09732866550786419
 01/02  14:00:00,0.09471738789052714
 01/02  15:00:00,0.08688876375407785
 01/02  16:00:00,0.08585199796238051
 01/02  17:00:00,0.08898277239203704
 01/02  18:00:00,0.09495906544194278
 01/02  19:00:00,0.10325227490931267
 01/02  20:00:00,0.11350544619988841
 01/02  21:00:00,0.129068130022215
 01/02  22:00:00,0.15752090330618526
 01/02  23:00:00,0.17147233820214916
 01/02  24:00:00,0.18046954337712165
 01/03  01:00:00,0.18437640195896102
 01/03  02:00:00,0.18905354633553778
 01/03  03:00:00,0.1926873836270046
 01/03  04:00:00,0.19814705430361348
 01/03  05:00:00,0.15444702968354151
 01/03  06:00:00,0.19897269029016648
 01/03  07:00:00,0.19334080650941016
 01/03  08:00:00,0.15089390622901594
 01/03  09:00:00,0.12155244658898336
 01/03  10:00:00,0.11731305264783114
 01/03  11:00:00,0.10939030529071676
 01/03  12:00:00,0.10309026323777742
 01/03  13:00:00,0.0973288313062477
 01/03  14:00:00,0.09471742430733911
 01/03  15:00:00,0.08688867599300469
 01/03  16:00:00,0.08585189215995735
 01/03  17:00:00,0.08897459839886684
 01/03  18:00:00,0.09493513324526694
 01/03  19:00:00,0.10328192186962554
 01/03  20:00:00,0.113506819248368
 01/03  21:00:00,0.12907035365755956
 01/03  22:00:00,0.15750080572097752
 01/03  23:00:00,0.17147395220940295
 01/03  24:00:00,0.18046541527753907
 01/04  01:00:00,0.1843736520219324
 01/04  02:00:00,0.1890433780110823
 01/04  03:00:00,0.19267749622724578
 01/04  04:00:00,0.19813196260134833
 01/04  05:00:00,0.20174442741207582
 01/04  06:00:00,0.1989236279831106
 01/04  07:00:00,0.19336633570607523
 01/04  08:00:00,0.15087820663046486
 01/04  09:00:00,0.12155661599029928
 01/04  10:00:00,0.11731554691231794
 01/04  11:00:00,0.10939177488796159
 01/04  12:00:00,0.10309192568468972
 01/04  13:00:00,0.09732933340007886
 01/04  14:00:00,0.09471796306857283
 01/04  15:00:00,0.08688867275050566
 01/04  16:00:00,0.08585172832427407
 01/04  17:00:00,0.08897455043421475
 01/04  18:00:00,0.09492912150428312
 01/04  19:00:00,0.10328137730744129
 01/04  20:00:00,0.11353727204398593
 01/04  21:00:00,0.12906535498669658
 01/04  22:00:00,0.1574942258277015
 01/04  23:00:00,0.17147722628892564
 01/04  24:00:00,0.18045876949327733
 01/05  01:00:00,0.1843636028666992
 01/05  02:00:00,0.18903003063406773
 01/05  03:00:00,0.19266682640345847
 01/05  04:00:00,0.1981096061026343
 01/05  05:00:00,0.2018070423873885
 01/05  06:00:00,0.1989072090558594
 01/05  07:00:00,0.19340190501473284
 01/05  08:00:00,0.15086240901976106
 01/05  09:00:00,0.12156022907976724
 01/05  10:00:00,0.11731874679381729
 01/05  11:00:00,0.10939421356969353
 01/05  12:00:00,0.10309400628309845
 01/05  13:00:00,0.0973326472731541
 01/05  14:00:00,0.09471853704075721
 01/05  15:00:00,0.08688911135009822
 01/05  16:00:00,0.08585164585865573
 01/05  17:00:00,0.08897459364000587
 01/05  18:00:00,0.0949210928084457
 01/05  19:00:00,0.10327955933494985
 01/05  20:00:00,0.11356818771964405
 01/05  21:00:00,0.12903399193449674
 01/05  22:00:00,0.15758344586950312
 01/05  23:00:00,0.1714811458548668
 01/05  24:00:00,0.1804461818936342
 01/06  01:00:00,0.1843474598663213
 01/06  02:00:00,0.18900902891846547
