Date/Time,fractional flow schedule (kg/s)
 01/01  01:00:00,0.20402425737607927
 01/01  02:00:00,0.2445981806293039
 01/01  03:00:00,0.27155289711419267
 01/01  04:00:00,0.281650625128157
 01/01  05:00:00,0.2778330104654636
 01/01  06:00:00,0.24954761635571004
 01/01  07:00:00,0.2004744803075408
 01/01  08:00:00,0.15957294132007052
 01/01  09:00:00,0.13394992096260858
 01/01  10:00:00,0.12836794941982163
 01/01  11:00:00,0.12217146518672126
 01/01  12:00:00,0.11717973110290213
 01/01  13:00:00,0.11281995014517712
 01/01  14:00:00,0.11234110904454643
 01/01  15:00:00,0.10514524405539427
 01/01  16:00:00,0.10383732631440518
 01/01  17:00:00,0.11186801932515834
 01/01  18:00:00,0.11360363941330295
 01/01  19:00:00,0.11525303108704803
 01/01  20:00:00,0.12022034848590782
 01/01  21:00:00,0.13652714973476365
 01/01  22:00:00,0.15483547403729825
 01/01  23:00:00,0.16723005923785
 01/01  24:00:00,0.18272601970445998
 01/02  01:00:00,0.20453198014156015
 01/02  02:00:00,0.24492803496103724
 01/02  03:00:00,0.2712641098472435
 01/02  04:00:00,0.28106823357619815
 01/02  05:00:00,0.2764779170694969
 01/02  06:00:00,0.2499996047163495
 01/02  07:00:00,0.2001445407546417
 01/02  08:00:00,0.15957833024267515
 01/02  09:00:00,0.13352370223283416
 01/02  10:00:00,0.12845277965051882
 01/02  11:00:00,0.1214447778523821
 01/02  12:00:00,0.116329231259756
 01/02  13:00:00,0.11192667335464711
 01/02  14:00:00,0.10947538612907488
 01/02  15:00:00,0.10307597616614138
 01/02  16:00:00,0.10255947511360329
 01/02  17:00:00,0.10956631834360828
 01/02  18:00:00,0.11213587015239335
 01/02  19:00:00,0.11453962736818597
 01/02  20:00:00,0.11970669832260827
 01/02  21:00:00,0.1356805315301925
 01/02  22:00:00,0.15407228162172254
 01/02  23:00:00,0.16751269200060392
 01/02  24:00:00,0.18249044163120878
 01/03  01:00:00,0.20410302279524056
 01/03  02:00:00,0.24466232071365263
 01/03  03:00:00,0.27036170853705893
 01/03  04:00:00,0.2812235740773736
 01/03  05:00:00,0.2775351595260867
 01/03  06:00:00,0.24973868079141703
 01/03  07:00:00,0.20016004701111148
 01/03  08:00:00,0.1593885590429071
 01/03  09:00:00,0.13399468946703752
 01/03  10:00:00,0.12811197340510908
 01/03  11:00:00,0.12161175500552805
 01/03  12:00:00,0.11585134506396358
 01/03  13:00:00,0.11197714091440243
 01/03  14:00:00,0.10985706180098713
 01/03  15:00:00,0.10313435741127305
 01/03  16:00:00,0.10247099653005563
 01/03  17:00:00,0.10972604143629801
 01/03  18:00:00,0.11178962755022749
 01/03  19:00:00,0.11464179560510505
 01/03  20:00:00,0.1197099924955302
 01/03  21:00:00,0.13561963686596062
 01/03  22:00:00,0.15455879817413753
 01/03  23:00:00,0.16733537964027398
 01/03  24:00:00,0.1826425176849336
 01/04  01:00:00,0.2026953801449869
 01/04  02:00:00,0.24444370383013456
 01/04  03:00:00,0.27144048971559676
 01/04  04:00:00,0.281226513551282
 01/04  05:00:00,0.2769996632565123
 01/04  06:00:00,0.25078330954112643
 01/04  07:00:00,0.20026097909162754
 01/04  08:00:00,0.15896768464310257
 01/04  09:00:00,0.13403784613795608
 01/04  10:00:00,0.12802853594847413
 01/04  11:00:00,0.12144258393614037
 01/04  12:00:00,0.1165006423158042
 01/04  13:00:00,0.1116137044398309
 01/04  14:00:00,0.11000125277562944
 01/04  15:00:00,0.10268537990637273
 01/04  16:00:00,0.10301857600853156
 01/04  17:00:00,0.10979854979182634
 01/04  18:00:00,0.11120801389451423
 01/04  19:00:00,0.11460813470682309
 01/04  20:00:00,0.11973771434677595
 01/04  21:00:00,0.13541520103806776
 01/04  22:00:00,0.15504314387366122
 01/04  23:00:00,0.16695326334113578
 01/04  24:00:00,0.1830760913603856
 01/05  01:00:00,0.20363577866801552
 01/05  02:00:00,0.24421505555684883
 01/05  03:00:00,0.2709636965077638
 01/05  04:00:00,0.28118923770893944
 01/05  05:00:00,0.2769128856673846
 01/05  06:00:00,0.251034880794884
 01/05  07:00:00,0.1999341530569543
 01/05  08:00:00,0.1590285922595891
 01/05  09:00:00,0.1339845310737847
 01/05  10:00:00,0.12775531248909153
 01/05  11:00:00,0.12150148859514308
 01/05  12:00:00,0.11704172877606984
 01/05  13:00:00,0.11166961165794463
 01/05  14:00:00,0.10995792204120931
 01/05  15:00:00,0.10217710205177091
 01/05  16:00:00,0.1033845032593762
 01/05  17:00:00,0.10969792879498325
 01/05  18:00:00,0.11109065146486384
 01/05  19:00:00,0.11452672991692436
 01/05  20:00:00,0.11974355896889775
 01/05  21:00:00,0.1359514670036547
 01/05  22:00:00,0.15452295650815356
 01/05  23:00:00,0.16690267207932344
 01/05  24:00:00,0.1830264220454444
 01/06  01:00:00,0.20407489548988225
 01/06  02:00:00,0.24462027792558322
 01/06  03:00:00,0.27134540437051813
 01/06  04:00:00,0.2812244721942105
 01/06  05:00:00,0.276114404258953
 01/06  06:00:00,0.2507284971006921
 01/06  07:00:00,0.1999831174452855
 01/06  08:00:00,0.15919223424491544
 01/06  09:00:00,0.13386796405201878
 01/06  10:00:00,0.12791627713797893
 01/06  11:00:00,0.12152988876271643
 01/06  12:00:00,0.11681513232422991
