Date/Time,fractional flow schedule (kg/s)
 01/01  01:00:00,0.13863381411251802
 01/01  02:00:00,0.15040588390984608
 01/01  03:00:00,0.15811852757630662
 01/01  04:00:00,0.16278673103607053
 01/01  05:00:00,0.16404748568116667
 01/01  06:00:00,0.15722130146976396
 01/01  07:00:00,0.13861186403325823
 01/01  08:00:00,0.11617669635804119
 01/01  09:00:00,0.09812832750466408
 01/01  10:00:00,0.09442390870684061
 01/01  11:00:00,0.08866943836298087
 01/01  12:00:00,0.08497572761021338
 01/01  13:00:00,0.08000827164475174
 01/01  14:00:00,0.0801772360855298
 01/01  15:00:00,0.07464286164791012
 01/01  16:00:00,0.07332402957919075
 01/01  17:00:00,0.07521584611573878
 01/01  18:00:00,0.0785622132422842
 01/01  19:00:00,0.08212447026614893
 01/01  20:00:00,0.08682675867509973
 01/01  21:00:00,0.09333853857413757
 01/01  22:00:00,0.10805391165537581
 01/01  23:00:00,0.11932229923924362
 01/01  24:00:00,0.128909237437648
 01/02  01:00:00,0.1386513495262182
 01/02  02:00:00,0.15039336932104577
 01/02  03:00:00,0.15818049569480228
 01/02  04:00:00,0.16290463225894372
 01/02  05:00:00,0.1642001138428811
 01/02  06:00:00,0.15764282599574955
 01/02  07:00:00,0.13853819977279894
 01/02  08:00:00,0.11600826453704371
 01/02  09:00:00,0.0980521249603088
 01/02  10:00:00,0.09433111383993327
 01/02  11:00:00,0.08859107352173587
 01/02  12:00:00,0.0850200656697255
 01/02  13:00:00,0.07779027887536309
 01/02  14:00:00,0.07941852301648587
 01/02  15:00:00,0.07352577043960502
 01/02  16:00:00,0.07272111646129588
 01/02  17:00:00,0.07461049745674528
 01/02  18:00:00,0.07791664002646624
 01/02  19:00:00,0.0820749694471808
 01/02  20:00:00,0.08635395413803107
 01/02  21:00:00,0.09866289442157987
 01/02  22:00:00,0.1115302436756818
 01/02  23:00:00,0.11930734574540587
 01/02  24:00:00,0.12869247453892826
 01/03  01:00:00,0.1390681827177257
 01/03  02:00:00,0.15037818372061054
 01/03  03:00:00,0.15839658782496796
 01/03  04:00:00,0.16287375056578252
 01/03  05:00:00,0.1638855187709953
 01/03  06:00:00,0.15748211256392003
 01/03  07:00:00,0.13867641844873677
 01/03  08:00:00,0.11611027792087365
 01/03  09:00:00,0.09831385505939137
 01/03  10:00:00,0.0942550666420939
 01/03  11:00:00,0.0885394984237107
 01/03  12:00:00,0.08497472625730519
 01/03  13:00:00,0.07788406887273196
 01/03  14:00:00,0.07891157905500075
 01/03  15:00:00,0.0740176708782926
 01/03  16:00:00,0.07250824258092797
 01/03  17:00:00,0.0748861416785688
 01/03  18:00:00,0.07793067051165993
 01/03  19:00:00,0.08157813419259378
 01/03  20:00:00,0.08680727612764295
 01/03  21:00:00,0.0984227204610355
 01/03  22:00:00,0.11145189744382834
 01/03  23:00:00,0.11970038034371334
 01/03  24:00:00,0.1287211174350187
 01/04  01:00:00,0.13861272048743695
