Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Asm,M1,CZ01,cDXGF,0,0,0,1316378579061.98,0,10835496089.54,,,,
Asm,M1,CZ02,cDXGF,0,0,0,932606103557.55,0,297744868706.32,,,,
Asm,M1,CZ03,cDXGF,0,0,0,586627181260.78,0,132669000672.58,,,,
Asm,M1,CZ04,cDXGF,0,0,184384.24,750611774697.85,0,519447796286.85,,,,
Asm,M1,CZ05,cDXGF,0,0,0,570614711840.27,0,166999345839,,,,
Asm,M1,CZ06,cDXGF,0,0,0,145343820051.58,0,313184488055.9,,,,
Asm,M1,CZ07,cDXGF,0,0,934447.55,127267270852.93,0,337776429936.24,,,,
Asm,M1,CZ08,cDXGF,0,0,2119366.81,187605250148.67,0,552989854459.53,,,,
Asm,M1,CZ09,cDXGF,0,0,8372214.8,250927110580.56,0,572492738342.92,,,,
Asm,M1,CZ10,cDXGF,0,0,5077624.85,275609432398.9,0,664927900148.83,,,,
Asm,M1,CZ11,cDXGF,0,0,97267740.07,766086494970.29,0,729912537855.35,,,,
Asm,M1,CZ12,cDXGF,0,0,310486.98,780070325283.74,0,499847934549.45,,,,
Asm,M1,CZ13,cDXGF,0,0,157232997.8,658328194397.97,0,769798024756.5,,,,
Asm,M1,CZ14,cDXGF,0,0,93750803.94,647273878697.94,0,739551192002.25,,,,
Asm,M1,CZ15,cDXGF,0,0,11217254147.43,132368236394.16,0,1353299927768.26,,,,
Asm,M1,CZ16,cDXGF,11959107.48,0,4650821.46,1230480829016.63,0,220325879086.74,2.1108829699342856e-05,,,
Asm,M1,CZ01,cDXHP,0,0,0,0,316818631740.97,10804424306.96,,,,
Asm,M1,CZ02,cDXHP,0,0,0,0,227400394295.07,299517736733.92,,,,
Asm,M1,CZ03,cDXHP,0,0,0,0,139412479750.72,133188881648.75,,,,
Asm,M1,CZ04,cDXHP,0,0,188691.71,0,185717361519.88,520543581280.19,,,,
Asm,M1,CZ05,cDXHP,0,0,0,0,136560656148.01,168333382295.46,,,,
Asm,M1,CZ06,cDXHP,0,0,0,0,33840124941.61,300431501188.97,,,,
Asm,M1,CZ07,cDXHP,0,0,0,0,29569113292.63,326930331247.36,,,,
Asm,M1,CZ08,cDXHP,0,0,2072987.38,0,44173086693.04,552227391145.07,,,,
Asm,M1,CZ09,cDXHP,0,0,7727046.76,0,59910867200.6,572685362706.88,,,,
