Measure (general name),EnergyImpactID,MeasureID,PreTechID,StdTechID,MeasTechID,Common_PreTechID,Common_StdTechID,Common_MeasTechID,Measure Group Name,BldgType,Story-flag,BldgHVAC,BldgVint,base-specific Tech names required?,TechGroup__TechType(ee),TechGroup__TechType(base),TechGroup_ee,TechType_ee,TechGroup_base,TechType_base,Size (if applicable),Normunit,End-use Output:Variables affected by measure,Notes,file name length check
Wall Furnace,Res-GravFurnace-AFUE70-Replacing65,Res-GravFurnace-AFUE70-Replacing65,Pre-Res-WallFurnace-AFUE65,Std-Res-WallFurnace-AFUE65-baseline,Msr-Res-GravFurnace-AFUE70,AFUE_65_baseline,AFUE_65_baseline,Msr-Res-GravFurnace-AFUE70,MFm&0&rDXGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rDXGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-GravFurnace-AFUE70-Replacing65,Res-GravFurnace-AFUE70-Replacing65,Pre-Res-WallFurnace-AFUE65,Std-Res-WallFurnace-AFUE65-baseline,Msr-Res-GravFurnace-AFUE70,AFUE_65_baseline,AFUE_65_baseline,Msr-Res-GravFurnace-AFUE70,MFm&0&rNCGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rNCGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-GravFurnace-AFUE70-Replacing66,Res-GravFurnace-AFUE70-Replacing66,Pre-Res-WallFurnace-AFUE66,Std-Res-WallFurnace-AFUE66-baseline,Msr-Res-GravFurnace-AFUE70,AFUE_66_baseline,AFUE_66_baseline,Msr-Res-GravFurnace-AFUE70,MFm&0&rDXGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rDXGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-GravFurnace-AFUE70-Replacing66,Res-GravFurnace-AFUE70-Replacing66,Pre-Res-WallFurnace-AFUE66,Std-Res-WallFurnace-AFUE66-baseline,Msr-Res-GravFurnace-AFUE70,AFUE_66_baseline,AFUE_66_baseline,Msr-Res-GravFurnace-AFUE70,MFm&0&rNCGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rNCGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-GravFurnace-AFUE70-Replacing67,Res-GravFurnace-AFUE70-Replacing67,Pre-Res-WallFurnace-AFUE67,Std-Res-WallFurnace-AFUE67-baseline,Msr-Res-GravFurnace-AFUE70,AFUE_67_baseline,AFUE_67_baseline,Msr-Res-GravFurnace-AFUE70,MFm&0&rDXGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rDXGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-GravFurnace-AFUE70-Replacing67,Res-GravFurnace-AFUE70-Replacing67,Pre-Res-WallFurnace-AFUE67,Std-Res-WallFurnace-AFUE67-baseline,Msr-Res-GravFurnace-AFUE70,AFUE_67_baseline,AFUE_67_baseline,Msr-Res-GravFurnace-AFUE70,MFm&0&rNCGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rNCGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-UpdraftFurnace-AFUE82-Replacing66,Res-UpdraftFurnace-AFUE82-Replacing66,Pre-Res-WallFurnace-AFUE66-fan,Std-Res-WallFurnace-AFUE66-baseline-fan,Msr-Res-UpdraftFurnace-AFUE82,AFUE_66_baseline_fan,AFUE_66_baseline_fan,Msr-Res-UpdraftFurnace-AFUE82,MFm&0&rDXGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rDXGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-UpdraftFurnace-AFUE82-Replacing66,Res-UpdraftFurnace-AFUE82-Replacing66,Pre-Res-WallFurnace-AFUE66-fan,Std-Res-WallFurnace-AFUE66-baseline-fan,Msr-Res-UpdraftFurnace-AFUE82,AFUE_66_baseline_fan,AFUE_66_baseline_fan,Msr-Res-UpdraftFurnace-AFUE82,MFm&0&rNCGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rNCGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-UpdraftFurnace-AFUE82-Replacing75,Res-UpdraftFurnace-AFUE82-Replacing75,Pre-Res-WallFurnace-AFUE75-fan,Std-Res-WallFurnace-AFUE75-baseline-fan,Msr-Res-UpdraftFurnace-AFUE82,AFUE_75_baseline_fan,AFUE_75_baseline_fan,Msr-Res-UpdraftFurnace-AFUE82,MFm&0&rDXGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rDXGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
Wall Furnace,Res-UpdraftFurnace-AFUE82-Replacing75,Res-UpdraftFurnace-AFUE82-Replacing75,Pre-Res-WallFurnace-AFUE75-fan,Std-Res-WallFurnace-AFUE75-baseline-fan,Msr-Res-UpdraftFurnace-AFUE82,AFUE_75_baseline_fan,AFUE_75_baseline_fan,Msr-Res-UpdraftFurnace-AFUE82,MFm&0&rNCGF&Ex&SpaceHtg_eq__GasFurnace,MFm,0,rNCGF,Ex,No,SpaceHtg_eq__GasFurnace,SpaceHtg_eq__GasFurnace,SpaceHtg_eq,GasFurnace,SpaceHtg_eq,GasFurnace,,Area-ft2-BA,Heating therms,,
