Date/Time,kW
01/01  01:00:00,3.081634
01/01  02:00:00,4.216605
01/01  03:00:00,4.331110
01/01  04:00:00,4.015085
01/01  05:00:00,3.824994
01/01  06:00:00,4.414548
01/01  07:00:00,4.913006
01/01  08:00:00,4.842364
01/01  09:00:00,2.113200
01/01  10:00:00,1.236117
01/01  11:00:00,1.492528
01/01  12:00:00,1.736682
01/01  13:00:00,1.804576
01/01  14:00:00,1.902648
01/01  15:00:00,1.971271
01/01  16:00:00,1.964659
01/01  17:00:00,2.207796
01/01  18:00:00,2.336936
01/01  19:00:00,2.480838
01/01  20:00:00,2.752018
01/01  21:00:00,2.933658
01/01  22:00:00,3.002108
01/01  23:00:00,3.048577
01/01  24:00:00,3.040713
01/02  01:00:00,3.005572
01/02  02:00:00,3.004466
01/02  03:00:00,2.989533
01/02  04:00:00,2.937953
01/02  05:00:00,3.154902
01/02  06:00:00,3.412418
01/02  07:00:00,3.371964
01/02  08:00:00,2.972157
01/02  09:00:00,2.430388
01/02  10:00:00,2.056235
01/02  11:00:00,1.784769
01/02  12:00:00,1.394436
01/02  13:00:00,1.082410
01/02  14:00:00,1.127998
01/02  15:00:00,1.161558
01/02  16:00:00,1.213853
01/02  17:00:00,1.424618
01/02  18:00:00,1.836564
01/02  19:00:00,2.064439
01/02  20:00:00,2.356842
01/02  21:00:00,2.600350
01/02  22:00:00,3.140497
01/02  23:00:00,3.954315
01/02  24:00:00,4.213166
01/03  01:00:00,4.666454
01/03  02:00:00,5.007915
01/03  03:00:00,5.098787
01/03  04:00:00,5.330770
01/03  05:00:00,5.494115
01/03  06:00:00,5.544307
01/03  07:00:00,5.620146
01/03  08:00:00,5.371276
01/03  09:00:00,3.689311
01/03  10:00:00,1.440022
01/03  11:00:00,0.939517
01/03  12:00:00,0.871244
01/03  13:00:00,0.806947
01/03  14:00:00,0.827220
01/03  15:00:00,0.843662
01/03  16:00:00,0.858516
01/03  17:00:00,0.952468
01/03  18:00:00,1.148467
01/03  19:00:00,1.429752
01/03  20:00:00,1.717638
01/03  21:00:00,1.853664
01/03  22:00:00,1.738839
01/03  23:00:00,1.539647
01/03  24:00:00,2.762380
01/04  01:00:00,3.969866
01/04  02:00:00,4.710281
01/04  03:00:00,5.245590
01/04  04:00:00,5.665607
01/04  05:00:00,5.775583
01/04  06:00:00,5.865382
01/04  07:00:00,5.956822
01/04  08:00:00,5.746203
01/04  09:00:00,3.677419
01/04  10:00:00,1.635682
01/04  11:00:00,1.004987
01/04  12:00:00,0.911244
01/04  13:00:00,0.820281
01/04  14:00:00,0.827220
01/04  15:00:00,0.843662
01/04  16:00:00,0.858516
01/04  17:00:00,0.952468
01/04  18:00:00,1.161801
01/04  19:00:00,1.429752
01/04  20:00:00,1.717638
01/04  21:00:00,1.853664
01/04  22:00:00,1.738839
01/04  23:00:00,1.627158
01/04  24:00:00,2.942969
01/05  01:00:00,4.237526
