Date/Time,kW
01/01  01:00:00,2.002475
01/01  02:00:00,2.392554
01/01  03:00:00,2.566535
01/01  04:00:00,2.658006
01/01  05:00:00,2.752578
01/01  06:00:00,3.328364
01/01  07:00:00,3.526039
01/01  08:00:00,3.137233
01/01  09:00:00,2.851332
01/01  10:00:00,2.302794
01/01  11:00:00,1.892823
01/01  12:00:00,1.586037
01/01  13:00:00,1.302017
01/01  14:00:00,1.151348
01/01  15:00:00,1.163792
01/01  16:00:00,1.136054
01/01  17:00:00,1.240492
01/01  18:00:00,1.358641
01/01  19:00:00,1.524347
01/01  20:00:00,1.728376
01/01  21:00:00,1.892316
01/01  22:00:00,1.989933
01/01  23:00:00,1.997318
01/01  24:00:00,1.951977
01/02  01:00:00,1.922466
01/02  02:00:00,2.027751
01/02  03:00:00,2.253635
01/02  04:00:00,2.294555
01/02  05:00:00,2.308181
01/02  06:00:00,2.517737
01/02  07:00:00,2.750415
01/02  08:00:00,2.747639
01/02  09:00:00,2.838666
01/02  10:00:00,2.487521
01/02  11:00:00,2.581363
01/02  12:00:00,2.523608
01/02  13:00:00,2.121130
01/02  14:00:00,1.895024
01/02  15:00:00,1.944371
01/02  16:00:00,2.125374
01/02  17:00:00,2.286285
01/02  18:00:00,2.332465
01/02  19:00:00,2.362753
01/02  20:00:00,2.549531
01/02  21:00:00,2.697466
01/02  22:00:00,2.728943
01/02  23:00:00,2.698654
01/02  24:00:00,2.692717
01/03  01:00:00,2.668127
01/03  02:00:00,2.859405
01/03  03:00:00,2.993039
01/03  04:00:00,3.022367
01/03  05:00:00,3.054781
01/03  06:00:00,3.127454
01/03  07:00:00,3.264689
01/03  08:00:00,3.056219
01/03  09:00:00,2.441851
01/03  10:00:00,1.373669
01/03  11:00:00,0.860593
01/03  12:00:00,0.831244
01/03  13:00:00,0.806947
01/03  14:00:00,0.827220
01/03  15:00:00,0.843662
01/03  16:00:00,0.858516
01/03  17:00:00,0.952468
01/03  18:00:00,1.148467
01/03  19:00:00,1.429752
01/03  20:00:00,1.717638
01/03  21:00:00,1.853664
01/03  22:00:00,1.865982
01/03  23:00:00,2.356603
01/03  24:00:00,2.774176
01/04  01:00:00,3.217816
01/04  02:00:00,4.506427
01/04  03:00:00,4.857150
01/04  04:00:00,5.131106
01/04  05:00:00,5.134539
01/04  06:00:00,5.276450
01/04  07:00:00,5.385433
01/04  08:00:00,4.566983
01/04  09:00:00,1.952679
01/04  10:00:00,0.988754
01/04  11:00:00,0.867270
01/04  12:00:00,0.831244
01/04  13:00:00,0.806947
01/04  14:00:00,0.941746
01/04  15:00:00,1.092623
01/04  16:00:00,1.105218
01/04  17:00:00,1.328371
01/04  18:00:00,1.172601
01/04  19:00:00,1.429752
01/04  20:00:00,1.717638
01/04  21:00:00,1.853664
01/04  22:00:00,1.738839
01/04  23:00:00,1.437229
01/04  24:00:00,2.115424
01/05  01:00:00,3.398125
01/05  02:00:00,4.307220
01/05  03:00:00,4.852292
01/05  04:00:00,5.057001
01/05  05:00:00,5.191751
01/05  06:00:00,5.307543
01/05  07:00:00,5.449524
01/05  08:00:00,4.815860
01/05  09:00:00,2.144861
01/05  10:00:00,1.051468
01/05  11:00:00,0.913459
01/05  12:00:00,0.905814
01/05  13:00:00,0.881517
01/05  14:00:00,0.900076
01/05  15:00:00,0.924233
01/05  16:00:00,0.936515
01/05  17:00:00,1.020182
01/05  18:00:00,1.186562
01/05  19:00:00,1.464037
01/05  20:00:00,1.730495
01/05  21:00:00,1.854521
01/05  22:00:00,1.750839
01/05  23:00:00,1.715937
01/05  24:00:00,2.508901
01/06  01:00:00,2.977018
01/06  02:00:00,4.298708
01/06  03:00:00,4.751247
01/06  04:00:00,4.918844
01/06  05:00:00,4.906194
01/06  06:00:00,4.959916
01/06  07:00:00,4.984395
01/06  08:00:00,4.712022
01/06  09:00:00,2.624899
01/06  10:00:00,1.285515
01/06  11:00:00,0.923300
01/06  12:00:00,0.905814
01/06  13:00:00,0.881517
01/06  14:00:00,0.900076
01/06  15:00:00,0.924233
01/06  16:00:00,0.936515
01/06  17:00:00,1.020182
01/06  18:00:00,1.159895
01/06  19:00:00,1.384037
01/06  20:00:00,1.650495
01/06  21:00:00,1.854521
01/06  22:00:00,1.750839
01/06  23:00:00,1.447896
01/06  24:00:00,1.283428
01/07  01:00:00,1.780140
01/07  02:00:00,2.223738
01/07  03:00:00,2.469610
01/07  04:00:00,2.447455
01/07  05:00:00,2.277336
01/07  06:00:00,2.255650
01/07  07:00:00,2.441179
01/07  08:00:00,2.257781
01/07  09:00:00,1.161403
01/07  10:00:00,0.878258
01/07  11:00:00,0.913459
01/07  12:00:00,0.905814
01/07  13:00:00,0.881517
01/07  14:00:00,0.900076
01/07  15:00:00,0.924233
01/07  16:00:00,0.936515
01/07  17:00:00,1.020182
01/07  18:00:00,1.213228
01/07  19:00:00,1.464037
01/07  20:00:00,1.730495
01/07  21:00:00,1.854521
01/07  22:00:00,1.750839
01/07  23:00:00,1.461229
01/07  24:00:00,1.278182
01/08  01:00:00,1.818724
01/08  02:00:00,2.342084
01/08  03:00:00,2.644808
01/08  04:00:00,2.755914
01/08  05:00:00,2.824344
01/08  06:00:00,3.011699
01/08  07:00:00,3.177558
01/08  08:00:00,2.877534
01/08  09:00:00,1.450260
01/08  10:00:00,0.984952
01/08  11:00:00,0.940126
01/08  12:00:00,0.905814
01/08  13:00:00,0.881517
01/08  14:00:00,0.900076
01/08  15:00:00,0.924233
01/08  16:00:00,0.936515
01/08  17:00:00,1.020182
01/08  18:00:00,1.239895
01/08  19:00:00,1.464037
01/08  20:00:00,1.730495
01/08  21:00:00,1.854521
01/08  22:00:00,1.750839
01/08  23:00:00,1.628741
01/08  24:00:00,2.807640
01/09  01:00:00,3.900306
01/09  02:00:00,3.630899
01/09  03:00:00,4.250475
01/09  04:00:00,4.916435
01/09  05:00:00,4.993903
01/09  06:00:00,5.195356
01/09  07:00:00,5.371841
01/09  08:00:00,4.856882
01/09  09:00:00,2.588418
01/09  10:00:00,1.264514
01/09  11:00:00,1.010638
01/09  12:00:00,0.945814
01/09  13:00:00,0.881517
01/09  14:00:00,0.900076
01/09  15:00:00,0.924233
01/09  16:00:00,0.936515
01/09  17:00:00,1.060182
01/09  18:00:00,1.239895
01/09  19:00:00,1.464037
01/09  20:00:00,1.730495
01/09  21:00:00,1.854521
01/09  22:00:00,1.750839
01/09  23:00:00,1.947902
01/09  24:00:00,2.641603
01/10  01:00:00,3.060033
01/10  02:00:00,3.283351
01/10  03:00:00,3.398954
01/10  04:00:00,3.986622
01/10  05:00:00,4.559063
01/10  06:00:00,4.738471
01/10  07:00:00,4.822703
01/10  08:00:00,4.319604
01/10  09:00:00,2.152437
01/10  10:00:00,1.102916
01/10  11:00:00,0.893936
01/10  12:00:00,0.831244
01/10  13:00:00,0.806947
01/10  14:00:00,0.834458
01/10  15:00:00,0.843662
01/10  16:00:00,0.858516
01/10  17:00:00,0.952468
01/10  18:00:00,1.188467
01/10  19:00:00,1.429752
01/10  20:00:00,1.717638
01/10  21:00:00,1.853664
01/10  22:00:00,1.738839
01/10  23:00:00,1.437229
01/10  24:00:00,1.737537
01/11  01:00:00,2.422713
01/11  02:00:00,2.869597
01/11  03:00:00,3.084777
01/11  04:00:00,3.146759
01/11  05:00:00,3.109228
01/11  06:00:00,3.160546
01/11  07:00:00,3.201514
01/11  08:00:00,3.058291
01/11  09:00:00,2.706342
01/11  10:00:00,1.938992
01/11  11:00:00,1.354942
01/11  12:00:00,0.909212
01/11  13:00:00,0.806947
01/11  14:00:00,0.827220
01/11  15:00:00,0.843662
01/11  16:00:00,0.858516
01/11  17:00:00,0.952468
01/11  18:00:00,1.108467
01/11  19:00:00,1.349752
01/11  20:00:00,1.637638
01/11  21:00:00,1.853664
01/11  22:00:00,1.753508
01/11  23:00:00,2.089706
01/11  24:00:00,2.556713
01/12  01:00:00,2.896083
01/12  02:00:00,3.170737
01/12  03:00:00,4.059148
01/12  04:00:00,3.785372
01/12  05:00:00,3.320691
01/12  06:00:00,3.308340
01/12  07:00:00,3.260601
01/12  08:00:00,3.122447
01/12  09:00:00,1.669025
01/12  10:00:00,0.895545
01/12  11:00:00,0.913459
01/12  12:00:00,0.905814
01/12  13:00:00,0.881517
01/12  14:00:00,0.956306
01/12  15:00:00,0.942039
01/12  16:00:00,0.936515
01/12  17:00:00,1.020182
01/12  18:00:00,1.159895
01/12  19:00:00,1.384037
01/12  20:00:00,1.730495
01/12  21:00:00,1.854521
01/12  22:00:00,1.750839
01/12  23:00:00,1.461229
01/12  24:00:00,1.261918
01/13  01:00:00,1.846875
01/13  02:00:00,2.739266
01/13  03:00:00,4.182463
01/13  04:00:00,4.495785
01/13  05:00:00,4.641380
01/13  06:00:00,4.816424
01/13  07:00:00,4.908405
01/13  08:00:00,4.104006
01/13  09:00:00,1.852157
01/13  10:00:00,0.933113
01/13  11:00:00,0.913459
01/13  12:00:00,0.905814
01/13  13:00:00,0.881517
01/13  14:00:00,0.900076
01/13  15:00:00,0.932560
01/13  16:00:00,0.956565
01/13  17:00:00,1.020182
01/13  18:00:00,1.159895
01/13  19:00:00,1.384037
01/13  20:00:00,1.650495
01/13  21:00:00,1.774521
01/13  22:00:00,1.670839
01/13  23:00:00,1.381229
01/13  24:00:00,1.071338
01/14  01:00:00,0.799094
01/14  02:00:00,0.717150
01/14  03:00:00,1.005841
01/14  04:00:00,1.222311
01/14  05:00:00,1.256719
01/14  06:00:00,1.371976
01/14  07:00:00,1.425294
01/14  08:00:00,1.113500
01/14  09:00:00,0.876454
01/14  10:00:00,0.878258
01/14  11:00:00,0.913459
01/14  12:00:00,0.905814
01/14  13:00:00,0.881517
01/14  14:00:00,0.900076
01/14  15:00:00,0.924233
01/14  16:00:00,0.936515
01/14  17:00:00,1.020182
01/14  18:00:00,1.159895
01/14  19:00:00,1.384037
01/14  20:00:00,1.650495
01/14  21:00:00,1.814521
01/14  22:00:00,1.750839
01/14  23:00:00,1.461229
01/14  24:00:00,1.151338
01/15  01:00:00,1.284917
01/15  02:00:00,1.982486
01/15  03:00:00,2.567566
01/15  04:00:00,2.995788
01/15  05:00:00,3.180306
01/15  06:00:00,3.340721
01/15  07:00:00,3.408329
01/15  08:00:00,2.872134
01/15  09:00:00,1.253414
01/15  10:00:00,0.878258
01/15  11:00:00,0.913459
01/15  12:00:00,0.905814
01/15  13:00:00,1.099776
01/15  14:00:00,1.703928
01/15  15:00:00,2.634126
01/15  16:00:00,3.799009
01/15  17:00:00,3.565163
01/15  18:00:00,1.959467
01/15  19:00:00,1.494766
01/15  20:00:00,1.650495
01/15  21:00:00,1.774521
01/15  22:00:00,1.670839
01/15  23:00:00,1.381229
01/15  24:00:00,1.071338
01/16  01:00:00,0.799094
01/16  02:00:00,0.665358
01/16  03:00:00,0.601194
01/16  04:00:00,0.582708
01/16  05:00:00,0.546579
01/16  06:00:00,0.625997
01/16  07:00:00,0.797242
01/16  08:00:00,0.932313
01/16  09:00:00,0.876454
01/16  10:00:00,0.878258
01/16  11:00:00,0.913459
01/16  12:00:00,0.905814
01/16  13:00:00,0.881517
01/16  14:00:00,1.034722
01/16  15:00:00,1.184954
01/16  16:00:00,1.043398
01/16  17:00:00,1.020182
01/16  18:00:00,1.159895
01/16  19:00:00,1.384037
01/16  20:00:00,1.650495
01/16  21:00:00,1.774521
01/16  22:00:00,1.670839
01/16  23:00:00,1.381229
01/16  24:00:00,1.071338
01/17  01:00:00,0.741666
01/17  02:00:00,0.618216
01/17  03:00:00,0.565194
01/17  04:00:00,0.559566
01/17  05:00:00,0.548293
01/17  06:00:00,0.767215
01/17  07:00:00,1.162851
01/17  08:00:00,1.057308
01/17  09:00:00,0.849883
01/17  10:00:00,0.813116
01/17  11:00:00,0.840603
01/17  12:00:00,0.993298
01/17  13:00:00,1.787895
01/17  14:00:00,2.880789
01/17  15:00:00,2.957100
01/17  16:00:00,2.662000
01/17  17:00:00,2.393243
01/17  18:00:00,1.168126
01/17  19:00:00,1.349752
01/17  20:00:00,1.637638
01/17  21:00:00,1.773664
01/17  22:00:00,1.658839
01/17  23:00:00,1.357229
01/17  24:00:00,1.034482
01/18  01:00:00,0.741666
01/18  02:00:00,0.618216
01/18  03:00:00,0.565194
01/18  04:00:00,0.559566
01/18  05:00:00,0.548293
01/18  06:00:00,0.689495
01/18  07:00:00,0.959998
01/18  08:00:00,1.003189
01/18  09:00:00,0.849883
01/18  10:00:00,0.813116
01/18  11:00:00,0.840603
01/18  12:00:00,0.916001
01/18  13:00:00,1.318561
01/18  14:00:00,1.542114
01/18  15:00:00,2.087424
01/18  16:00:00,2.770527
01/18  17:00:00,2.414732
01/18  18:00:00,1.199408
01/18  19:00:00,1.349752
01/18  20:00:00,1.637638
01/18  21:00:00,1.773664
01/18  22:00:00,1.658839
01/18  23:00:00,1.357229
01/18  24:00:00,1.034482
01/19  01:00:00,0.821666
01/19  02:00:00,0.831310
01/19  03:00:00,1.415792
01/19  04:00:00,2.043229
01/19  05:00:00,2.502505
01/19  06:00:00,2.806350
01/19  07:00:00,2.994846
01/19  08:00:00,2.472873
01/19  09:00:00,1.082850
01/19  10:00:00,0.813116
01/19  11:00:00,0.840603
01/19  12:00:00,0.831244
01/19  13:00:00,0.806947
01/19  14:00:00,0.827220
01/19  15:00:00,0.843662
01/19  16:00:00,0.858516
01/19  17:00:00,0.952468
01/19  18:00:00,1.108467
01/19  19:00:00,1.349752
01/19  20:00:00,1.637638
01/19  21:00:00,1.773664
01/19  22:00:00,1.658839
01/19  23:00:00,1.357229
01/19  24:00:00,1.034482
01/20  01:00:00,0.839094
01/20  02:00:00,0.841865
01/20  03:00:00,1.367104
01/20  04:00:00,2.050417
01/20  05:00:00,2.506552
01/20  06:00:00,3.359601
01/20  07:00:00,4.317301
01/20  08:00:00,3.522413
01/20  09:00:00,1.265885
01/20  10:00:00,0.878258
01/20  11:00:00,0.913459
01/20  12:00:00,0.942320
01/20  13:00:00,1.307162
01/20  14:00:00,1.578459
01/20  15:00:00,2.055124
01/20  16:00:00,2.673789
01/20  17:00:00,2.664599
01/20  18:00:00,1.888936
01/20  19:00:00,1.477686
01/20  20:00:00,1.717162
01/20  21:00:00,1.854521
01/20  22:00:00,1.750839
01/20  23:00:00,1.461229
01/20  24:00:00,1.151338
01/21  01:00:00,1.345452
01/21  02:00:00,2.192196
01/21  03:00:00,3.549829
01/21  04:00:00,4.175256
