Date/Time,kW
01/01  01:00:00,1.997951
01/01  02:00:00,2.630411
01/01  03:00:00,2.987182
01/01  04:00:00,3.242202
01/01  05:00:00,3.354299
01/01  06:00:00,3.457691
01/01  07:00:00,3.571716
01/01  08:00:00,3.072036
01/01  09:00:00,1.960318
01/01  10:00:00,1.086196
01/01  11:00:00,0.878415
01/01  12:00:00,0.831244
01/01  13:00:00,0.861279
01/01  14:00:00,1.198025
01/01  15:00:00,1.429702
01/01  16:00:00,1.400060
01/01  17:00:00,1.083728
01/01  18:00:00,1.108467
01/01  19:00:00,1.349752
01/01  20:00:00,1.637638
01/01  21:00:00,1.773664
01/01  22:00:00,1.658839
01/01  23:00:00,1.357229
01/01  24:00:00,1.620321
01/02  01:00:00,2.160139
01/02  02:00:00,2.783543
01/02  03:00:00,3.230403
01/02  04:00:00,3.505967
01/02  05:00:00,3.685085
01/02  06:00:00,3.857913
01/02  07:00:00,3.889205
01/02  08:00:00,2.927650
01/02  09:00:00,1.916462
01/02  10:00:00,1.253477
01/02  11:00:00,0.973366
01/02  12:00:00,0.905814
01/02  13:00:00,0.881517
01/02  14:00:00,0.900076
01/02  15:00:00,0.924233
01/02  16:00:00,0.936515
01/02  17:00:00,1.020182
01/02  18:00:00,1.159895
01/02  19:00:00,1.384037
01/02  20:00:00,1.650495
01/02  21:00:00,1.774521
01/02  22:00:00,1.755980
01/02  23:00:00,1.825984
01/02  24:00:00,1.978372
01/03  01:00:00,2.023415
01/03  02:00:00,2.218251
01/03  03:00:00,2.366804
01/03  04:00:00,2.308648
01/03  05:00:00,2.381750
01/03  06:00:00,2.520869
01/03  07:00:00,2.575707
01/03  08:00:00,2.409186
01/03  09:00:00,2.050199
01/03  10:00:00,1.613888
01/03  11:00:00,1.361957
01/03  12:00:00,1.008701
01/03  13:00:00,0.806947
01/03  14:00:00,0.827220
01/03  15:00:00,0.843662
01/03  16:00:00,0.858516
01/03  17:00:00,0.952468
01/03  18:00:00,1.108467
01/03  19:00:00,1.349752
01/03  20:00:00,1.637638
01/03  21:00:00,1.773664
01/03  22:00:00,1.658839
01/03  23:00:00,1.357229
01/03  24:00:00,1.344391
01/04  01:00:00,1.730203
01/04  02:00:00,2.076251
01/04  03:00:00,2.387785
01/04  04:00:00,2.635548
01/04  05:00:00,2.775940
01/04  06:00:00,2.955081
01/04  07:00:00,2.983147
01/04  08:00:00,2.030850
01/04  09:00:00,1.174719
01/04  10:00:00,0.819774
01/04  11:00:00,0.840603
01/04  12:00:00,1.135410
01/04  13:00:00,1.409779
01/04  14:00:00,1.409898
01/04  15:00:00,1.679304
01/04  16:00:00,2.144289
01/04  17:00:00,1.869374
01/04  18:00:00,1.214159
01/04  19:00:00,1.349752
01/04  20:00:00,1.637638
01/04  21:00:00,1.773664
01/04  22:00:00,1.658839
01/04  23:00:00,1.357229
01/04  24:00:00,1.046830
01/05  01:00:00,1.385181
01/05  02:00:00,1.998396
01/05  03:00:00,2.595337
01/05  04:00:00,3.071619
01/05  05:00:00,3.176370
01/05  06:00:00,3.122302
01/05  07:00:00,3.192192
01/05  08:00:00,2.712760
01/05  09:00:00,2.013443
01/05  10:00:00,1.122627
01/05  11:00:00,0.913459
01/05  12:00:00,0.936699
01/05  13:00:00,1.212598
01/05  14:00:00,1.354716
01/05  15:00:00,1.705080
01/05  16:00:00,2.174127
01/05  17:00:00,1.813303
01/05  18:00:00,1.286652
01/05  19:00:00,1.405235
01/05  20:00:00,1.650495
01/05  21:00:00,1.774521
01/05  22:00:00,1.670839
01/05  23:00:00,1.381229
01/05  24:00:00,1.071338
01/06  01:00:00,1.318341
01/06  02:00:00,1.931789
01/06  03:00:00,2.490749
01/06  04:00:00,2.897462
01/06  05:00:00,3.025350
01/06  06:00:00,2.882517
01/06  07:00:00,2.890183
01/06  08:00:00,2.766875
01/06  09:00:00,1.498197
01/06  10:00:00,0.981317
01/06  11:00:00,0.913459
01/06  12:00:00,0.905814
01/06  13:00:00,1.217324
01/06  14:00:00,1.567344
01/06  15:00:00,1.950386
01/06  16:00:00,2.102529
01/06  17:00:00,1.873109
01/06  18:00:00,1.289016
01/06  19:00:00,1.405491
01/06  20:00:00,1.650495
01/06  21:00:00,1.774521
01/06  22:00:00,1.670839
01/06  23:00:00,1.381229
01/06  24:00:00,1.071338
01/07  01:00:00,0.799094
01/07  02:00:00,0.913349
01/07  03:00:00,1.393523
01/07  04:00:00,1.868800
01/07  05:00:00,2.159311
01/07  06:00:00,2.343569
01/07  07:00:00,2.448815
01/07  08:00:00,1.519435
01/07  09:00:00,1.061904
01/07  10:00:00,0.913317
01/07  11:00:00,0.913459
01/07  12:00:00,0.905814
01/07  13:00:00,0.881517
01/07  14:00:00,0.916779
01/07  15:00:00,0.934704
01/07  16:00:00,0.936515
01/07  17:00:00,1.020182
01/07  18:00:00,1.159895
01/07  19:00:00,1.384037
01/07  20:00:00,1.650495
01/07  21:00:00,1.774521
01/07  22:00:00,1.670839
01/07  23:00:00,1.387801
01/07  24:00:00,1.622963
01/08  01:00:00,2.015151
01/08  02:00:00,2.509052
01/08  03:00:00,2.810024
01/08  04:00:00,2.877761
01/08  05:00:00,2.889843
01/08  06:00:00,2.933668
01/08  07:00:00,2.931577
01/08  08:00:00,2.790940
01/08  09:00:00,2.385133
01/08  10:00:00,1.802484
01/08  11:00:00,1.177498
01/08  12:00:00,1.023555
01/08  13:00:00,0.892854
01/08  14:00:00,0.900076
01/08  15:00:00,0.924233
01/08  16:00:00,0.936515
01/08  17:00:00,1.020182
01/08  18:00:00,1.159895
01/08  19:00:00,1.384037
01/08  20:00:00,1.650495
01/08  21:00:00,1.774521
01/08  22:00:00,1.670839
01/08  23:00:00,1.557906
01/08  24:00:00,1.772339
01/09  01:00:00,1.905694
01/09  02:00:00,2.024149
01/09  03:00:00,2.085770
01/09  04:00:00,2.152551
01/09  05:00:00,2.289686
01/09  06:00:00,2.471935
01/09  07:00:00,2.514780
01/09  08:00:00,2.434216
01/09  09:00:00,1.893613
01/09  10:00:00,1.126585
01/09  11:00:00,0.948546
01/09  12:00:00,0.905814
01/09  13:00:00,0.881517
01/09  14:00:00,0.900076
01/09  15:00:00,1.106320
01/09  16:00:00,1.803691
01/09  17:00:00,1.398122
01/09  18:00:00,1.159895
01/09  19:00:00,1.384037
01/09  20:00:00,1.650495
01/09  21:00:00,1.774521
01/09  22:00:00,1.670839
01/09  23:00:00,1.381229
01/09  24:00:00,1.071338
01/10  01:00:00,1.268730
01/10  02:00:00,1.731062
01/10  03:00:00,2.092738
01/10  04:00:00,2.318265
01/10  05:00:00,2.415400
01/10  06:00:00,2.618293
01/10  07:00:00,2.812425
01/10  08:00:00,2.407212
01/10  09:00:00,1.423599
01/10  10:00:00,0.885391
01/10  11:00:00,0.840603
01/10  12:00:00,0.841735
01/10  13:00:00,1.044573
01/10  14:00:00,1.241417
01/10  15:00:00,1.650840
01/10  16:00:00,2.308846
01/10  17:00:00,1.696677
01/10  18:00:00,1.114099
01/10  19:00:00,1.349752
01/10  20:00:00,1.637638
01/10  21:00:00,1.773664
01/10  22:00:00,1.658839
01/10  23:00:00,1.357229
01/10  24:00:00,1.258146
01/11  01:00:00,1.847098
01/11  02:00:00,2.346892
01/11  03:00:00,2.634917
01/11  04:00:00,2.937473
01/11  05:00:00,3.243845
01/11  06:00:00,3.344699
01/11  07:00:00,3.416754
01/11  08:00:00,2.951137
01/11  09:00:00,1.659246
01/11  10:00:00,0.975412
01/11  11:00:00,0.840603
01/11  12:00:00,0.843881
01/11  13:00:00,1.193620
01/11  14:00:00,1.400685
01/11  15:00:00,1.651551
01/11  16:00:00,1.688438
01/11  17:00:00,1.354427
01/11  18:00:00,1.174160
01/11  19:00:00,1.360246
01/11  20:00:00,1.637638
01/11  21:00:00,1.773664
01/11  22:00:00,1.658839
01/11  23:00:00,1.357229
01/11  24:00:00,1.034482
01/12  01:00:00,0.800798
01/12  02:00:00,1.145194
01/12  03:00:00,1.714016
01/12  04:00:00,2.234512
01/12  05:00:00,2.560986
01/12  06:00:00,2.728669
01/12  07:00:00,2.834496
01/12  08:00:00,1.627646
01/12  09:00:00,0.899098
01/12  10:00:00,0.878258
01/12  11:00:00,0.980284
01/12  12:00:00,1.449689
01/12  13:00:00,1.861224
01/12  14:00:00,2.297993
01/12  15:00:00,2.341677
01/12  16:00:00,2.995491
01/12  17:00:00,2.550570
01/12  18:00:00,1.688862
01/12  19:00:00,1.669104
01/12  20:00:00,1.722818
01/12  21:00:00,1.774521
01/12  22:00:00,1.670839
01/12  23:00:00,1.381229
01/12  24:00:00,1.071338
01/13  01:00:00,0.867770
01/13  02:00:00,1.423301
01/13  03:00:00,1.993955
01/13  04:00:00,2.488804
01/13  05:00:00,2.658322
01/13  06:00:00,2.758383
01/13  07:00:00,2.815780
01/13  08:00:00,1.651948
01/13  09:00:00,0.900848
01/13  10:00:00,0.878258
01/13  11:00:00,0.974255
01/13  12:00:00,1.431841
01/13  13:00:00,1.690316
01/13  14:00:00,2.471940
01/13  15:00:00,3.301996
01/13  16:00:00,3.911395
01/13  17:00:00,3.254295
01/13  18:00:00,2.143361
01/13  19:00:00,1.949922
01/13  20:00:00,1.956569
01/13  21:00:00,1.885694
01/13  22:00:00,1.670839
01/13  23:00:00,1.381229
01/13  24:00:00,1.071338
01/14  01:00:00,0.799094
01/14  02:00:00,0.877947
01/14  03:00:00,1.423778
01/14  04:00:00,1.928871
01/14  05:00:00,2.267959
01/14  06:00:00,2.513046
01/14  07:00:00,2.688461
01/14  08:00:00,1.479633
01/14  09:00:00,0.878364
01/14  10:00:00,0.878258
01/14  11:00:00,1.261285
01/14  12:00:00,1.856377
01/14  13:00:00,2.182633
01/14  14:00:00,2.800790
01/14  15:00:00,3.057702
01/14  16:00:00,3.182455
01/14  17:00:00,2.591062
01/14  18:00:00,1.918702
01/14  19:00:00,1.969697
01/14  20:00:00,1.992766
01/14  21:00:00,1.853365
01/14  22:00:00,1.670839
01/14  23:00:00,1.381229
01/14  24:00:00,1.071338
01/15  01:00:00,0.799094
01/15  02:00:00,0.720962
01/15  03:00:00,1.221146
01/15  04:00:00,1.698216
01/15  05:00:00,2.062950
01/15  06:00:00,2.173732
01/15  07:00:00,2.220335
01/15  08:00:00,1.943013
01/15  09:00:00,1.074871
01/15  10:00:00,0.878258
01/15  11:00:00,1.010816
01/15  12:00:00,1.745336
01/15  13:00:00,2.403190
01/15  14:00:00,3.506536
01/15  15:00:00,4.264893
01/15  16:00:00,4.402502
01/15  17:00:00,3.826764
01/15  18:00:00,2.717603
01/15  19:00:00,2.509924
01/15  20:00:00,2.431491
01/15  21:00:00,2.218860
01/15  22:00:00,1.765730
01/15  23:00:00,1.381229
01/15  24:00:00,1.071338
01/16  01:00:00,0.799094
01/16  02:00:00,0.665358
01/16  03:00:00,0.644235
01/16  04:00:00,1.117316
01/16  05:00:00,1.516046
01/16  06:00:00,1.976787
01/16  07:00:00,2.249185
01/16  08:00:00,1.771810
01/16  09:00:00,0.905718
01/16  10:00:00,0.878258
01/16  11:00:00,0.952808
01/16  12:00:00,1.520481
01/16  13:00:00,2.198275
01/16  14:00:00,2.921457
01/16  15:00:00,3.215817
01/16  16:00:00,3.674119
01/16  17:00:00,3.400648
01/16  18:00:00,2.410202
01/16  19:00:00,2.315443
01/16  20:00:00,2.342374
01/16  21:00:00,2.197607
01/16  22:00:00,1.798216
01/16  23:00:00,1.381229
01/16  24:00:00,1.071338
01/17  01:00:00,0.741666
01/17  02:00:00,0.618216
01/17  03:00:00,0.565194
01/17  04:00:00,0.834975
01/17  05:00:00,1.270980
01/17  06:00:00,1.607897
01/17  07:00:00,1.811071
01/17  08:00:00,1.029845
01/17  09:00:00,0.849883
01/17  10:00:00,0.986861
01/17  11:00:00,1.734083
01/17  12:00:00,2.753338
01/17  13:00:00,3.566432
01/17  14:00:00,4.389906
01/17  15:00:00,4.815721
01/17  16:00:00,5.065115
01/17  17:00:00,4.033211
01/17  18:00:00,2.883655
01/17  19:00:00,2.688090
01/17  20:00:00,2.612471
01/17  21:00:00,2.418926
01/17  22:00:00,1.932105
01/17  23:00:00,1.361811
01/17  24:00:00,1.034482
01/18  01:00:00,0.741666
01/18  02:00:00,0.618216
01/18  03:00:00,0.565194
01/18  04:00:00,0.563421
01/18  05:00:00,0.850719
01/18  06:00:00,1.239794
01/18  07:00:00,1.485024
01/18  08:00:00,0.938881
01/18  09:00:00,0.849883
01/18  10:00:00,1.029026
01/18  11:00:00,1.668607
01/18  12:00:00,2.385283
01/18  13:00:00,3.054271
01/18  14:00:00,3.714134
