Date/Time,kW
01/01  01:00:00,1.684344
01/01  02:00:00,2.265184
01/01  03:00:00,2.774519
01/01  04:00:00,3.120590
01/01  05:00:00,3.339627
01/01  06:00:00,3.519317
01/01  07:00:00,3.590016
01/01  08:00:00,4.048052
01/01  09:00:00,1.849627
01/01  10:00:00,1.139448
01/01  11:00:00,0.860805
01/01  12:00:00,0.831244
01/01  13:00:00,0.833718
01/01  14:00:00,1.051873
01/01  15:00:00,1.185958
01/01  16:00:00,1.702612
01/01  17:00:00,1.076368
01/01  18:00:00,1.108467
01/01  19:00:00,1.389752
01/01  20:00:00,1.717638
01/01  21:00:00,1.853664
01/01  22:00:00,1.738839
01/01  23:00:00,1.788193
01/01  24:00:00,1.235549
01/02  01:00:00,1.919269
01/02  02:00:00,2.540450
01/02  03:00:00,3.002495
01/02  04:00:00,3.247759
01/02  05:00:00,3.348373
01/02  06:00:00,3.338593
01/02  07:00:00,3.284331
01/02  08:00:00,4.852043
01/02  09:00:00,4.005136
01/02  10:00:00,3.247957
01/02  11:00:00,2.546947
01/02  12:00:00,2.038695
01/02  13:00:00,1.861127
01/02  14:00:00,1.872705
01/02  15:00:00,2.167882
01/02  16:00:00,2.081708
01/02  17:00:00,1.955595
01/02  18:00:00,2.626124
01/02  19:00:00,2.756897
01/02  20:00:00,3.063291
01/02  21:00:00,3.285973
01/02  22:00:00,3.465565
01/02  23:00:00,3.518743
01/02  24:00:00,2.060751
01/03  01:00:00,2.424185
01/03  02:00:00,2.781696
01/03  03:00:00,2.957530
01/03  04:00:00,3.092806
01/03  05:00:00,3.075675
01/03  06:00:00,3.025054
01/03  07:00:00,2.992920
01/03  08:00:00,4.738974
01/03  09:00:00,4.070941
01/03  10:00:00,3.276168
01/03  11:00:00,2.471028
01/03  12:00:00,1.798737
01/03  13:00:00,1.136208
01/03  14:00:00,0.840880
01/03  15:00:00,0.843662
01/03  16:00:00,0.858516
01/03  17:00:00,0.952468
01/03  18:00:00,1.108467
01/03  19:00:00,1.349752
01/03  20:00:00,1.643204
01/03  21:00:00,1.872934
01/03  22:00:00,2.278795
01/03  23:00:00,2.623108
01/03  24:00:00,1.183804
01/04  01:00:00,1.902620
01/04  02:00:00,2.387416
01/04  03:00:00,2.630400
01/04  04:00:00,2.740328
01/04  05:00:00,2.864314
01/04  06:00:00,3.087116
01/04  07:00:00,3.187533
01/04  08:00:00,3.519402
01/04  09:00:00,1.373455
01/04  10:00:00,0.838928
01/04  11:00:00,0.840603
01/04  12:00:00,0.870973
01/04  13:00:00,0.996292
01/04  14:00:00,0.974322
01/04  15:00:00,1.445847
01/04  16:00:00,1.960839
01/04  17:00:00,1.600969
01/04  18:00:00,1.214987
01/04  19:00:00,1.349752
01/04  20:00:00,1.637638
01/04  21:00:00,1.773664
01/04  22:00:00,1.658839
01/04  23:00:00,1.357229
01/04  24:00:00,1.114482
01/05  01:00:00,0.913912
01/05  02:00:00,1.608159
01/05  03:00:00,2.292260
01/05  04:00:00,2.773897
01/05  05:00:00,3.179364
01/05  06:00:00,3.144275
01/05  07:00:00,2.880033
01/05  08:00:00,3.810308
01/05  09:00:00,1.804571
01/05  10:00:00,1.166748
01/05  11:00:00,0.917907
01/05  12:00:00,0.905814
01/05  13:00:00,0.881517
01/05  14:00:00,0.973461
01/05  15:00:00,1.296578
01/05  16:00:00,1.997127
01/05  17:00:00,1.621076
01/05  18:00:00,1.316680
01/05  19:00:00,1.449960
01/05  20:00:00,1.683052
01/05  21:00:00,1.774521
01/05  22:00:00,1.670839
01/05  23:00:00,1.381229
01/05  24:00:00,1.071338
01/06  01:00:00,0.825761
01/06  02:00:00,0.745358
01/06  03:00:00,0.849872
01/06  04:00:00,1.585939
01/06  05:00:00,2.183224
01/06  06:00:00,2.654435
01/06  07:00:00,2.993117
01/06  08:00:00,4.428162
01/06  09:00:00,1.940829
01/06  10:00:00,0.933743
01/06  11:00:00,0.913459
01/06  12:00:00,0.905814
01/06  13:00:00,0.891238
01/06  14:00:00,1.127244
01/06  15:00:00,0.966965
01/06  16:00:00,1.230194
01/06  17:00:00,1.127678
01/06  18:00:00,1.159895
01/06  19:00:00,1.384037
01/06  20:00:00,1.650495
01/06  21:00:00,1.774521
01/06  22:00:00,1.670839
01/06  23:00:00,1.381229
