Date/Time,kW
01/01  01:00:00,2.177572
01/01  02:00:00,2.633965
01/01  03:00:00,2.950887
01/01  04:00:00,3.553644
01/01  05:00:00,3.937020
01/01  06:00:00,4.138189
01/01  07:00:00,4.439878
01/01  08:00:00,4.995300
01/01  09:00:00,2.319828
01/01  10:00:00,1.397128
01/01  11:00:00,1.112171
01/01  12:00:00,0.874677
01/01  13:00:00,0.806947
01/01  14:00:00,0.828061
01/01  15:00:00,0.872032
01/01  16:00:00,0.874058
01/01  17:00:00,0.952468
01/01  18:00:00,1.108467
01/01  19:00:00,1.403085
01/01  20:00:00,1.717638
01/01  21:00:00,1.967760
01/01  22:00:00,2.428522
01/01  23:00:00,2.787037
01/01  24:00:00,1.947592
01/02  01:00:00,2.267659
01/02  02:00:00,2.536668
01/02  03:00:00,2.730322
01/02  04:00:00,2.915033
01/02  05:00:00,3.004220
01/02  06:00:00,3.053640
01/02  07:00:00,3.079457
01/02  08:00:00,4.425117
01/02  09:00:00,3.694022
01/02  10:00:00,3.218935
01/02  11:00:00,2.928753
01/02  12:00:00,2.613318
01/02  13:00:00,2.465514
01/02  14:00:00,2.557465
01/02  15:00:00,2.646416
01/02  16:00:00,2.521652
01/02  17:00:00,2.984250
01/02  18:00:00,4.137424
01/02  19:00:00,4.700322
01/02  20:00:00,4.925539
01/02  21:00:00,5.206700
01/02  22:00:00,5.152350
01/02  23:00:00,5.112160
01/02  24:00:00,3.528978
01/03  01:00:00,3.897453
01/03  02:00:00,4.224037
01/03  03:00:00,4.376228
01/03  04:00:00,4.628742
01/03  05:00:00,4.765792
01/03  06:00:00,4.734932
01/03  07:00:00,4.662293
01/03  08:00:00,4.818708
01/03  09:00:00,4.243469
01/03  10:00:00,3.632004
01/03  11:00:00,2.986103
01/03  12:00:00,2.377851
01/03  13:00:00,1.572717
01/03  14:00:00,0.900417
01/03  15:00:00,0.843662
01/03  16:00:00,0.891929
01/03  17:00:00,1.257604
01/03  18:00:00,1.724268
01/03  19:00:00,2.240077
01/03  20:00:00,2.629629
01/03  21:00:00,3.075139
01/03  22:00:00,3.427108
01/03  23:00:00,3.545903
01/03  24:00:00,2.494069
01/04  01:00:00,2.862137
01/04  02:00:00,4.003308
01/04  03:00:00,4.263624
01/04  04:00:00,4.423091
01/04  05:00:00,4.591439
01/04  06:00:00,4.913528
01/04  07:00:00,5.057774
01/04  08:00:00,5.460794
01/04  09:00:00,2.374317
01/04  10:00:00,1.402156
01/04  11:00:00,1.025554
01/04  12:00:00,0.838868
01/04  13:00:00,0.896458
01/04  14:00:00,1.136932
01/04  15:00:00,1.380689
01/04  16:00:00,1.926583
01/04  17:00:00,1.501261
01/04  18:00:00,1.108467
01/04  19:00:00,1.349752
01/04  20:00:00,1.717638
01/04  21:00:00,1.853664
01/04  22:00:00,1.872311
01/04  23:00:00,2.325399
01/04  24:00:00,1.648183
01/05  01:00:00,2.147344
01/05  02:00:00,2.574508
01/05  03:00:00,3.005271
01/05  04:00:00,4.128833
01/05  05:00:00,4.187803
01/05  06:00:00,4.324770
01/05  07:00:00,4.676407
01/05  08:00:00,5.143511
01/05  09:00:00,2.769475
01/05  10:00:00,1.542436
01/05  11:00:00,1.047421
01/05  12:00:00,0.905814
01/05  13:00:00,0.881517
01/05  14:00:00,0.913601
01/05  15:00:00,1.051175
01/05  16:00:00,0.953494
01/05  17:00:00,1.020182
01/05  18:00:00,1.159895
01/05  19:00:00,1.384037
01/05  20:00:00,1.650495
01/05  21:00:00,1.774521
01/05  22:00:00,1.859214
01/05  23:00:00,2.283214
01/05  24:00:00,1.544482
01/06  01:00:00,1.885034
01/06  02:00:00,2.374076
01/06  03:00:00,2.652670
01/06  04:00:00,2.671905
01/06  05:00:00,2.712543
01/06  06:00:00,2.896012
01/06  07:00:00,3.137256
01/06  08:00:00,3.834187
01/06  09:00:00,2.246826
01/06  10:00:00,1.138735
01/06  11:00:00,0.913459
01/06  12:00:00,0.936855
01/06  13:00:00,1.022026
01/06  14:00:00,1.090874
01/06  15:00:00,1.490811
01/06  16:00:00,1.304850
01/06  17:00:00,1.058660
01/06  18:00:00,1.159895
01/06  19:00:00,1.384037
01/06  20:00:00,1.650495
01/06  21:00:00,1.774521
01/06  22:00:00,1.670839
01/06  23:00:00,1.381229
01/06  24:00:00,1.071338
01/07  01:00:00,0.804781
01/07  02:00:00,1.017564
01/07  03:00:00,1.372051
01/07  04:00:00,2.060628
01/07  05:00:00,2.634654
01/07  06:00:00,2.696118
01/07  07:00:00,2.445161
01/07  08:00:00,3.464160
01/07  09:00:00,2.342518
01/07  10:00:00,1.354398
01/07  11:00:00,1.071765
01/07  12:00:00,0.921748
01/07  13:00:00,0.881517
01/07  14:00:00,0.900076
01/07  15:00:00,0.924233
01/07  16:00:00,0.992817
01/07  17:00:00,1.025482
01/07  18:00:00,1.159895
01/07  19:00:00,1.384037
01/07  20:00:00,1.650495
01/07  21:00:00,1.774521
01/07  22:00:00,1.912801
01/07  23:00:00,2.193923
01/07  24:00:00,1.216039
01/08  01:00:00,1.556578
01/08  02:00:00,2.000050
01/08  03:00:00,2.230338
01/08  04:00:00,2.360377
01/08  05:00:00,2.426576
01/08  06:00:00,2.511246
01/08  07:00:00,2.557922
01/08  08:00:00,3.466062
01/08  09:00:00,3.026903
01/08  10:00:00,2.491706
01/08  11:00:00,1.636143
01/08  12:00:00,1.137313
01/08  13:00:00,1.007641
01/08  14:00:00,0.950485
01/08  15:00:00,0.958226
01/08  16:00:00,0.960594
01/08  17:00:00,1.067675
01/08  18:00:00,1.570308
01/08  19:00:00,1.796096
01/08  20:00:00,2.058457
01/08  21:00:00,2.257880
01/08  22:00:00,2.434938
01/08  23:00:00,2.655633
01/08  24:00:00,1.798846
01/09  01:00:00,1.930212
01/09  02:00:00,2.230621
01/09  03:00:00,2.442015
01/09  04:00:00,2.521968
01/09  05:00:00,2.548890
01/09  06:00:00,2.801626
01/09  07:00:00,3.035648
01/09  08:00:00,4.371555
01/09  09:00:00,3.736593
01/09  10:00:00,2.800261
01/09  11:00:00,1.936642
01/09  12:00:00,1.337886
01/09  13:00:00,0.980684
01/09  14:00:00,0.900076
01/09  15:00:00,0.924233
01/09  16:00:00,0.944190
01/09  17:00:00,1.020182
01/09  18:00:00,1.159895
01/09  19:00:00,1.384037
01/09  20:00:00,1.650495
01/09  21:00:00,1.785128
01/09  22:00:00,2.084546
01/09  23:00:00,2.536211
01/09  24:00:00,1.788697
01/10  01:00:00,2.083095
01/10  02:00:00,2.560772
01/10  03:00:00,2.904982
01/10  04:00:00,3.290970
01/10  05:00:00,4.441798
01/10  06:00:00,4.632042
01/10  07:00:00,4.634850
01/10  08:00:00,4.792860
01/10  09:00:00,2.315395
01/10  10:00:00,1.374760
01/10  11:00:00,1.022248
01/10  12:00:00,0.845824
01/10  13:00:00,0.882511
01/10  14:00:00,1.121543
01/10  15:00:00,1.519011
01/10  16:00:00,2.229722
01/10  17:00:00,1.865719
01/10  18:00:00,1.213733
01/10  19:00:00,1.349752
01/10  20:00:00,1.637638
01/10  21:00:00,1.813664
01/10  22:00:00,1.738839
01/10  23:00:00,1.697796
01/10  24:00:00,1.163175
01/11  01:00:00,1.446888
01/11  02:00:00,1.905779
01/11  03:00:00,2.382974
01/11  04:00:00,2.668538
01/11  05:00:00,2.831637
01/11  06:00:00,2.881809
01/11  07:00:00,2.910525
01/11  08:00:00,3.693561
01/11  09:00:00,2.446416
01/11  10:00:00,1.322867
01/11  11:00:00,0.955241
01/11  12:00:00,0.864798
01/11  13:00:00,0.806947
01/11  14:00:00,0.827220
01/11  15:00:00,0.843662
01/11  16:00:00,0.858516
01/11  17:00:00,0.952468
01/11  18:00:00,1.108467
01/11  19:00:00,1.349752
01/11  20:00:00,1.637638
01/11  21:00:00,1.850963
01/11  22:00:00,2.052445
01/11  23:00:00,2.258988
01/11  24:00:00,1.363401
01/12  01:00:00,1.783494
01/12  02:00:00,2.138381
01/12  03:00:00,2.485778
01/12  04:00:00,2.812422
01/12  05:00:00,2.898129
01/12  06:00:00,3.035035
01/12  07:00:00,3.204339
01/12  08:00:00,3.643476
01/12  09:00:00,1.621548
01/12  10:00:00,1.024619
01/12  11:00:00,0.913459
01/12  12:00:00,1.048941
01/12  13:00:00,1.394845
01/12  14:00:00,1.859889
01/12  15:00:00,2.701395
01/12  16:00:00,3.388936
01/12  17:00:00,2.840282
01/12  18:00:00,1.949473
01/12  19:00:00,1.781008
01/12  20:00:00,1.731385
01/12  21:00:00,1.774521
01/12  22:00:00,1.670839
01/12  23:00:00,1.381229
01/12  24:00:00,1.071338
01/13  01:00:00,0.847711
01/13  02:00:00,1.281801
01/13  03:00:00,1.735853
01/13  04:00:00,2.248744
01/13  05:00:00,2.591460
01/13  06:00:00,2.799284
01/13  07:00:00,3.038318
01/13  08:00:00,3.893492
01/13  09:00:00,1.582428
01/13  10:00:00,0.918698
01/13  11:00:00,0.913459
01/13  12:00:00,1.207867
01/13  13:00:00,1.613834
01/13  14:00:00,2.308319
01/13  15:00:00,3.111967
01/13  16:00:00,3.744785
01/13  17:00:00,3.052509
01/13  18:00:00,2.102002
01/13  19:00:00,2.040444
01/13  20:00:00,2.167460
01/13  21:00:00,2.065632
01/13  22:00:00,1.714667
01/13  23:00:00,1.381229
01/13  24:00:00,1.071338
01/14  01:00:00,0.799094
01/14  02:00:00,0.665358
01/14  03:00:00,0.601194
01/14  04:00:00,0.582708
01/14  05:00:00,0.694152
01/14  06:00:00,1.198575
01/14  07:00:00,1.397224
01/14  08:00:00,2.114078
01/14  09:00:00,1.000817
01/14  10:00:00,0.878258
01/14  11:00:00,1.123249
01/14  12:00:00,1.733324
01/14  13:00:00,2.572129
01/14  14:00:00,3.472573
01/14  15:00:00,4.144398
01/14  16:00:00,4.616214
01/14  17:00:00,3.808238
