Date/Time,kW
01/01  01:00:00,6.156399
01/01  02:00:00,6.414592
01/01  03:00:00,6.389458
01/01  04:00:00,6.354459
01/01  05:00:00,6.364965
01/01  06:00:00,6.348951
01/01  07:00:00,6.413813
01/01  08:00:00,5.288118
01/01  09:00:00,3.527372
01/01  10:00:00,3.345353
01/01  11:00:00,2.456629
01/01  12:00:00,1.649891
01/01  13:00:00,1.393171
01/01  14:00:00,1.204144
01/01  15:00:00,1.100143
01/01  16:00:00,0.992529
01/01  17:00:00,2.116551
01/01  18:00:00,3.168994
01/01  19:00:00,3.910437
01/01  20:00:00,4.867419
01/01  21:00:00,5.479012
01/01  22:00:00,5.735616
01/01  23:00:00,5.982856
01/01  24:00:00,6.164228
01/02  01:00:00,6.246851
01/02  02:00:00,6.503009
01/02  03:00:00,6.480933
01/02  04:00:00,6.471879
01/02  05:00:00,6.598875
01/02  06:00:00,6.289472
01/02  07:00:00,6.079218
01/02  08:00:00,5.932187
01/02  09:00:00,5.444223
01/02  10:00:00,5.214493
01/02  11:00:00,5.202774
01/02  12:00:00,5.157221
01/02  13:00:00,5.163190
01/02  14:00:00,5.080364
01/02  15:00:00,4.971159
01/02  16:00:00,4.729265
01/02  17:00:00,5.361393
01/02  18:00:00,6.614904
01/02  19:00:00,6.864888
01/02  20:00:00,7.102643
01/02  21:00:00,7.368161
01/02  22:00:00,7.534807
01/02  23:00:00,7.630736
01/02  24:00:00,7.579666
01/03  01:00:00,7.440658
01/03  02:00:00,7.610986
01/03  03:00:00,7.826818
01/03  04:00:00,7.837057
01/03  05:00:00,7.843585
01/03  06:00:00,7.834110
01/03  07:00:00,7.807544
01/03  08:00:00,6.486901
01/03  09:00:00,4.560253
01/03  10:00:00,4.278382
01/03  11:00:00,4.323901
01/03  12:00:00,3.612695
01/03  13:00:00,3.234324
01/03  14:00:00,2.572117
01/03  15:00:00,1.328226
01/03  16:00:00,0.996827
01/03  17:00:00,2.684245
01/03  18:00:00,4.275876
01/03  19:00:00,4.760589
01/03  20:00:00,5.476768
01/03  21:00:00,6.161401
01/03  22:00:00,6.841140
01/03  23:00:00,7.282815
01/03  24:00:00,7.301115
01/04  01:00:00,7.351661
01/04  02:00:00,7.529601
01/04  03:00:00,7.630353
01/04  04:00:00,7.775706
01/04  05:00:00,7.685773
01/04  06:00:00,7.662372
01/04  07:00:00,7.694746
01/04  08:00:00,6.564779
01/04  09:00:00,4.680866
01/04  10:00:00,3.814504
01/04  11:00:00,2.815101
01/04  12:00:00,1.998177
01/04  13:00:00,1.625519
01/04  14:00:00,1.016284
01/04  15:00:00,0.923662
01/04  16:00:00,0.938516
01/04  17:00:00,1.032469
01/04  18:00:00,1.420492
01/04  19:00:00,2.832616
01/04  20:00:00,4.010680
01/04  21:00:00,5.251301
01/04  22:00:00,6.190370
01/04  23:00:00,6.680703
01/04  24:00:00,6.962191
01/05  01:00:00,7.161709
01/05  02:00:00,7.354511
01/05  03:00:00,7.507892
01/05  04:00:00,7.501832
01/05  05:00:00,7.546092
01/05  06:00:00,7.632428
01/05  07:00:00,7.661111
01/05  08:00:00,6.372480
01/05  09:00:00,4.444934
01/05  10:00:00,4.058421
01/05  11:00:00,3.589880
01/05  12:00:00,2.876668
01/05  13:00:00,2.199839
01/05  14:00:00,1.575040
01/05  15:00:00,1.150019
01/05  16:00:00,1.016515
01/05  17:00:00,1.211106
01/05  18:00:00,2.796302
01/05  19:00:00,3.640494
01/05  20:00:00,4.536327
01/05  21:00:00,5.456649
01/05  22:00:00,6.209089
01/05  23:00:00,6.761718
01/05  24:00:00,7.152995
01/06  01:00:00,7.278807
01/06  02:00:00,7.271847
01/06  03:00:00,7.371745
01/06  04:00:00,7.529676
01/06  05:00:00,7.632114
01/06  06:00:00,7.771660
01/06  07:00:00,7.705371
01/06  08:00:00,7.133581
01/06  09:00:00,4.998385
01/06  10:00:00,4.033363
01/06  11:00:00,2.853445
01/06  12:00:00,1.647325
01/06  13:00:00,1.267774
01/06  14:00:00,0.981862
01/06  15:00:00,1.052761
01/06  16:00:00,1.383375
01/06  17:00:00,1.949330
01/06  18:00:00,2.490944
01/06  19:00:00,3.055949
01/06  20:00:00,3.731926
01/06  21:00:00,4.122572
01/06  22:00:00,4.307309
01/06  23:00:00,4.623224
01/06  24:00:00,4.523918
01/07  01:00:00,4.541889
01/07  02:00:00,4.618879
01/07  03:00:00,4.535240
01/07  04:00:00,5.529874
01/07  05:00:00,6.254638
01/07  06:00:00,6.727463
01/07  07:00:00,8.248398
01/07  08:00:00,7.965359
01/07  09:00:00,6.239166
01/07  10:00:00,4.772021
01/07  11:00:00,3.848365
01/07  12:00:00,2.917336
01/07  13:00:00,2.264348
01/07  14:00:00,1.719028
01/07  15:00:00,0.951806
01/07  16:00:00,0.936515
01/07  17:00:00,1.057952
01/07  18:00:00,1.826747
01/07  19:00:00,2.390998
01/07  20:00:00,2.953819
01/07  21:00:00,3.715859
01/07  22:00:00,5.099929
01/07  23:00:00,5.754975
01/07  24:00:00,5.799048
01/08  01:00:00,5.753375
01/08  02:00:00,5.640376
01/08  03:00:00,5.653765
01/08  04:00:00,5.931038
01/08  05:00:00,5.829103
01/08  06:00:00,6.029489
01/08  07:00:00,6.224513
01/08  08:00:00,5.033831
01/08  09:00:00,2.529690
01/08  10:00:00,1.469516
01/08  11:00:00,1.160572
01/08  12:00:00,0.964384
01/08  13:00:00,0.881517
01/08  14:00:00,0.900076
01/08  15:00:00,0.924233
01/08  16:00:00,0.936515
01/08  17:00:00,1.020182
01/08  18:00:00,1.213228
01/08  19:00:00,1.503315
01/08  20:00:00,2.207094
01/08  21:00:00,2.805534
01/08  22:00:00,3.390706
01/08  23:00:00,3.790010
01/08  24:00:00,4.024941
01/09  01:00:00,4.222007
01/09  02:00:00,4.191266
01/09  03:00:00,3.948196
01/09  04:00:00,3.878509
01/09  05:00:00,3.984648
01/09  06:00:00,4.406033
01/09  07:00:00,5.604890
01/09  08:00:00,4.160071
01/09  09:00:00,2.607762
01/09  10:00:00,1.886640
01/09  11:00:00,1.386657
01/09  12:00:00,1.206492
01/09  13:00:00,1.031154
01/09  14:00:00,0.900076
01/09  15:00:00,0.924233
01/09  16:00:00,0.936515
01/09  17:00:00,1.060182
01/09  18:00:00,1.489603
01/09  19:00:00,2.290705
01/09  20:00:00,2.974732
01/09  21:00:00,4.280135
01/09  22:00:00,5.288303
01/09  23:00:00,5.765145
01/09  24:00:00,6.243558
01/10  01:00:00,6.858293
01/10  02:00:00,7.083925
01/10  03:00:00,7.308760
01/10  04:00:00,7.393717
01/10  05:00:00,7.390254
01/10  06:00:00,7.362498
01/10  07:00:00,7.393972
01/10  08:00:00,6.053249
01/10  09:00:00,3.825109
01/10  10:00:00,2.991552
