Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,1.1411
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,1.1454
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,1.1529
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,1.1795
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,1.1382
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,1.1362
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,1.1351
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,1.1351
CZ01,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,1.1341
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,1.1464
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,1.1508
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,1.1583
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,1.1848
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,1.1435
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,1.1415
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,1.1404
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,1.1404
CZ01,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,1.1394
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,5.7578
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,6.836
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,8.687
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,15.251
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,5.0519
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,4.5539
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,4.2772
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,4.2691
CZ02,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,4.0223
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,5.7578
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,6.8424
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,8.7105
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,15.251
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,5.0478
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,4.549
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,4.2772
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,4.2675
CZ02,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,4.0223
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,3.7695
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,4.3754
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,5.4155
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,9.1039
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,3.3729
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,3.0931
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,2.9376
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,2.933
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,2.7944
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,3.7695
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,4.379
