Hour,LoadShape
1,0.0001649408562
2,0.0001648674075
3,0.0001692945662
4,0.0001749977651
5,0.0001801145931
6,0.0002144054873
7,0.0002326429485
8,0.0002085946364
9,0.0001742340705
10,0.0001341370906
11,0.0001183216753
12,0.0001043194223
13,0.0001001215813
14,0.0001071717122
15,0.000113043327
16,0.000120602787
17,0.0001288353871
18,0.0001289941041
19,0.0001320526318
20,0.0001385385183
21,0.0001446841702
22,0.0001507207605
23,0.0001607487943
24,0.0001926391674
25,0.0001720789714
26,0.000166876264
27,0.0001680362539
28,0.0001794914052
29,0.0002087690346
30,0.0002120326964
31,0.0002074860168
32,0.000187359585
33,0.0001519482033
34,0.0001426588801
35,0.0001607978174
36,0.0001640926071
37,0.0001568713875
38,0.0001284817655
39,0.0001206217099
40,0.0001233776735
41,0.0001452269603
42,0.0001684281001
43,0.0001709336676
44,0.0001561155602
45,0.0001543224403
46,0.0001630884426
47,0.0001794055163
48,0.0001807610013
49,0.0001844601844
50,0.0001894351573
51,0.0002060988091
52,0.0002000489188
53,0.0001971905462
54,0.0001973681359
55,0.0001978210831
56,0.0002002141001
57,0.0001867983508
58,0.0001267598081
59,8.624468725e-05
60,5.126770614e-05
61,4.074854588e-05
62,4.043598338e-05
63,4.123973226e-05
64,4.196581202e-05
65,4.655837236e-05
66,5.809442171e-05
67,6.988884122e-05
68,8.396125103e-05
69,9.061043633e-05
70,0.0001009168723
71,0.0001566939338
72,0.000216932443
73,0.0002563106788
74,0.0002837506572
75,0.000301482265
76,0.0003151047931
77,0.0003150674785
78,0.0003236490178
79,0.0003385859712
80,0.0002882382726
81,0.0002395409007
82,0.0002097523217
83,0.0001171620307
84,6.225621631e-05
85,4.311606799e-05
86,4.043598338e-05
87,4.123973226e-05
88,4.196581202e-05
89,4.655837236e-05
90,5.679090601e-05
91,6.988884122e-05
92,8.396125103e-05
93,9.061043633e-05
94,9.373935618e-05
95,0.0001416578715
96,0.0001974775628
97,0.0002487790797
98,0.0002846252982
99,0.0003034199898
100,0.0003133114835
101,0.0003182449707
102,0.0003247587865
103,0.0003391303223
104,0.0002914846088
105,0.0001479285061
106,8.904197498e-05
107,6.394979476e-05
108,4.829848956e-05
109,4.309015998e-05
110,4.39973171e-05
111,4.517814837e-05
112,4.5778534e-05
113,5.117183352e-05
114,6.060830433e-05
115,7.156476297e-05
116,8.458972169e-05
117,9.065233437e-05
118,0.0001074176114
119,0.0001504865561
120,0.0002092056994
121,0.0002434200534
122,0.0002581845278
123,0.0002697060982
124,0.000289180858
125,0.0003033833402
126,0.0003151544059
127,0.0003245337789
128,0.0003188179291
129,0.0002643632325
130,0.0001585470834
131,9.153117556e-05
132,6.005122949e-05
133,4.753797866e-05
134,4.39973171e-05
135,4.517814837e-05
136,4.5778534e-05
137,4.986831781e-05
138,5.865303078e-05
139,7.156476297e-05
140,8.458972169e-05
141,9.065233437e-05
142,8.558414272e-05
143,0.0001014989152
144,0.00013855038
145,0.0001726492166
146,0.0002207888749
