Hour,LoadShape
1,4.216381977e-05
2,3.767839191e-05
3,3.604817207e-05
4,3.645676479e-05
5,3.616680752e-05
6,4.115227405e-05
7,4.857100197e-05
8,5.764718338e-05
9,5.395708792e-05
10,5.022415599e-05
11,5.078466535e-05
12,4.967871653e-05
13,4.764995721e-05
14,4.795265645e-05
15,4.846415714e-05
16,4.92825223e-05
17,5.386465635e-05
18,6.099860291e-05
19,7.226412022e-05
20,8.588783263e-05
21,9.249251041e-05
22,8.734188471e-05
23,7.375838528e-05
24,5.513102774e-05
25,4.531898412e-05
26,4.010153076e-05
27,3.755730407e-05
28,3.676321509e-05
29,3.520099096e-05
30,3.894677852e-05
31,4.4919886e-05
32,5.44349926e-05
33,5.265298435e-05
34,5.093710105e-05
35,5.093141589e-05
36,4.938396907e-05
37,4.693941625e-05
38,4.532808282e-05
39,4.43305438e-05
40,4.490313972e-05
41,4.896017615e-05
42,5.656324063e-05
43,6.832024922e-05
44,8.247673551e-05
45,9.000242544e-05
46,8.6528642e-05
47,7.434331867e-05
48,5.711387286e-05
49,4.359748248e-05
50,3.932796364e-05
51,3.780891754e-05
52,3.789137464e-05
53,3.762278544e-05
54,4.27857807e-05
55,4.994104835e-05
56,5.804461706e-05
57,5.027941467e-05
58,4.316674109e-05
59,4.169678497e-05
60,3.990422744e-05
61,3.869074753e-05
62,3.966275136e-05
63,4.070098313e-05
64,4.462310834e-05
65,4.566806572e-05
66,5.314775024e-05
67,6.471663245e-05
68,7.856297631e-05
69,8.707899075e-05
70,8.452529055e-05
71,7.315962924e-05
72,5.6010355e-05
73,4.480546011e-05
74,4.07094869e-05
75,3.930940811e-05
76,3.990280722e-05
77,3.959210933e-05
78,4.460045592e-05
79,5.163849433e-05
80,5.898210503e-05
81,5.035590526e-05
82,4.351333717e-05
83,4.216868944e-05
84,4.015623401e-05
85,3.869074753e-05
86,3.966275136e-05
87,4.045113065e-05
88,5.44363822e-05
89,4.89086761e-05
90,5.314775024e-05
91,6.471663245e-05
92,7.867738954e-05
93,8.758289171e-05
94,8.483349867e-05
95,7.348085061e-05
96,5.629484138e-05
97,4.759857262e-05
