Hour,LoadShape
1,6.624443939e-05
2,5.951640776e-05
3,5.648984893e-05
4,5.607422797e-05
5,5.543968916e-05
6,6.217892724e-05
7,7.2081069e-05
8,7.259201954e-05
9,6.420950089e-05
10,6.154896327e-05
11,6.013178392e-05
12,5.679995976e-05
13,5.435056399e-05
14,5.486718898e-05
15,5.551544754e-05
16,5.59395146e-05
17,6.588018055e-05
18,7.900211362e-05
19,9.624600114e-05
20,0.0001169176483
21,0.0001273283862
22,0.0001212109457
23,0.0001035365345
24,8.45244194e-05
25,7.021709754e-05
26,6.244649682e-05
27,5.879089209e-05
28,5.792131092e-05
29,5.608749806e-05
30,6.077823671e-05
31,6.866488094e-05
32,7.518886682e-05
33,7.399458368e-05
34,7.293409073e-05
35,7.510223665e-05
36,7.460432101e-05
37,7.267451359e-05
38,7.342811659e-05
39,7.391792696e-05
40,7.270525162e-05
41,7.918029207e-05
42,9.144708586e-05
43,0.000105987157
44,0.0001233066525
45,0.0001317402109
46,0.0001258688996
47,0.0001084325836
48,8.91115601e-05
49,6.850764649e-05
50,6.154099712e-05
51,5.885610549e-05
52,5.860876398e-05
53,5.790355043e-05
54,6.449283338e-05
55,7.387149675e-05
56,7.429261025e-05
57,6.593028469e-05
58,6.303054344e-05
59,6.482585499e-05
60,6.224245517e-05
61,5.981952186e-05
62,5.902369066e-05
63,5.609284093e-05
64,5.592789273e-05
65,6.671573559e-05
66,8.090735442e-05
67,9.744939639e-05
68,0.0001174728546
69,0.0001280592815
70,0.0001231933406
71,0.000106327167
72,8.678430427e-05
73,6.907687065e-05
74,6.218423137e-05
75,5.938114786e-05
76,5.935393824e-05
77,5.867203104e-05
78,6.535775271e-05
79,7.470545657e-05
80,7.536277254e-05
81,6.663168931e-05
82,6.163231595e-05
83,6.036962704e-05
84,5.732656658e-05
85,5.465443657e-05
86,5.403696936e-05
87,5.475732996e-05
88,5.572140482e-05
89,6.181931884e-05
90,7.279136877e-05
91,9.164905667e-05
92,0.0001127494313
93,0.0001249198525
94,0.0001209851957
95,0.0001040619705
96,8.525867209e-05
97,7.186213621e-05
98,6.465340826e-05
99,6.116364469e-05
100,6.010398528e-05
101,5.809419616e-05
102,6.338956774e-05
103,7.178092995e-05
104,7.391740323e-05
105,6.772179038e-05
