Date/Time,kW
01/01  01:00:00,7.538434
01/01  02:00:00,7.744722
01/01  03:00:00,8.163104
01/01  04:00:00,9.878655
01/01  05:00:00,11.607632
01/01  06:00:00,13.044041
01/01  07:00:00,13.075532
01/01  08:00:00,11.892802
01/01  09:00:00,9.492116
01/01  10:00:00,7.926787
01/01  11:00:00,7.557973
01/01  12:00:00,6.624856
01/01  13:00:00,6.575363
01/01  14:00:00,6.685880
01/01  15:00:00,6.782019
01/01  16:00:00,7.446404
01/01  17:00:00,10.497113
01/01  18:00:00,12.679861
01/01  19:00:00,14.550943
01/01  20:00:00,15.287431
01/01  21:00:00,15.344023
01/01  22:00:00,13.849168
01/01  23:00:00,11.073809
01/01  24:00:00,9.187490
01/02  01:00:00,8.046542
01/02  02:00:00,8.391529
01/02  03:00:00,9.799225
01/02  04:00:00,12.174945
01/02  05:00:00,11.132079
01/02  06:00:00,12.700058
01/02  07:00:00,12.681057
01/02  08:00:00,13.247756
01/02  09:00:00,10.474377
01/02  10:00:00,8.506769
01/02  11:00:00,6.799202
01/02  12:00:00,6.591197
01/02  13:00:00,6.916152
01/02  14:00:00,6.989150
01/02  15:00:00,7.525049
01/02  16:00:00,9.376358
01/02  17:00:00,10.557776
01/02  18:00:00,12.619525
01/02  19:00:00,14.470555
01/02  20:00:00,15.198864
01/02  21:00:00,15.262069
01/02  22:00:00,13.796303
01/02  23:00:00,12.000439
01/02  24:00:00,10.911024
01/03  01:00:00,12.210418
01/03  02:00:00,13.514919
01/03  03:00:00,14.798707
01/03  04:00:00,17.483633
01/03  05:00:00,19.920235
01/03  06:00:00,22.014284
01/03  07:00:00,22.970564
01/03  08:00:00,19.177688
01/03  09:00:00,11.931506
01/03  10:00:00,8.969384
01/03  11:00:00,7.873319
01/03  12:00:00,7.735082
01/03  13:00:00,7.013539
01/03  14:00:00,8.257242
01/03  15:00:00,9.532054
01/03  16:00:00,10.611115
01/03  17:00:00,11.223887
01/03  18:00:00,12.679861
01/03  19:00:00,14.573683
01/03  20:00:00,15.720113
01/03  21:00:00,16.103664
01/03  22:00:00,14.874475
01/03  23:00:00,12.783048
01/03  24:00:00,13.640114
01/04  01:00:00,16.006961
01/04  02:00:00,17.354748
01/04  03:00:00,18.162022
01/04  04:00:00,19.423628
01/04  05:00:00,21.143384
01/04  06:00:00,23.287790
01/04  07:00:00,24.881741
01/04  08:00:00,21.175013
01/04  09:00:00,15.096675
01/04  10:00:00,10.822350
01/04  11:00:00,9.163540
01/04  12:00:00,7.899073
01/04  13:00:00,6.575903
01/04  14:00:00,6.685880
01/04  15:00:00,7.742020
01/04  16:00:00,8.433659
01/04  17:00:00,10.543894
01/04  18:00:00,12.679861
01/04  19:00:00,14.550943
01/04  20:00:00,15.287431
01/04  21:00:00,15.344023
01/04  22:00:00,13.867979
01/04  23:00:00,12.656263
01/04  24:00:00,13.714022
01/05  01:00:00,14.694854
01/05  02:00:00,16.401835
01/05  03:00:00,17.334224
01/05  04:00:00,18.714574
01/05  05:00:00,20.533515
01/05  06:00:00,21.676520
01/05  07:00:00,17.917200
01/05  08:00:00,19.027234
01/05  09:00:00,16.371301
01/05  10:00:00,10.720374
01/05  11:00:00,8.409879
01/05  12:00:00,7.776681
01/05  13:00:00,7.566201
01/05  14:00:00,8.020410
01/05  15:00:00,8.010383
01/05  16:00:00,8.561568
01/05  17:00:00,10.712387
01/05  18:00:00,13.060857
01/05  19:00:00,14.761111
01/05  20:00:00,15.835108
01/05  21:00:00,15.973273
01/05  22:00:00,14.624553
01/05  23:00:00,12.959890
01/05  24:00:00,16.669816
01/06  01:00:00,17.990564
01/06  02:00:00,19.570036
01/06  03:00:00,20.527747
01/06  04:00:00,21.253768
01/06  05:00:00,22.786381
01/06  06:00:00,25.057992
01/06  07:00:00,23.157018
01/06  08:00:00,23.518880
01/06  09:00:00,16.230959
01/06  10:00:00,12.619933
01/06  11:00:00,9.769065
01/06  12:00:00,8.508412
