Date/Time,kW
01/01  01:00:00,12.191572
01/01  02:00:00,14.738528
01/01  03:00:00,17.931116
01/01  04:00:00,19.872387
01/01  05:00:00,21.320402
01/01  06:00:00,23.567109
01/01  07:00:00,24.713678
01/01  08:00:00,18.234989
01/01  09:00:00,12.493181
01/01  10:00:00,8.795119
01/01  11:00:00,7.535512
01/01  12:00:00,6.730990
01/01  13:00:00,6.605375
01/01  14:00:00,6.867334
01/01  15:00:00,6.864080
01/01  16:00:00,7.859514
01/01  17:00:00,10.195485
01/01  18:00:00,12.231876
01/01  19:00:00,14.000401
01/01  20:00:00,14.693962
01/01  21:00:00,14.901874
01/01  22:00:00,13.576970
01/01  23:00:00,12.044375
01/01  24:00:00,15.127082
01/02  01:00:00,16.200501
01/02  02:00:00,18.577263
01/02  03:00:00,19.997848
01/02  04:00:00,21.486113
01/02  05:00:00,21.741158
01/02  06:00:00,22.172460
01/02  07:00:00,20.252369
01/02  08:00:00,19.547947
01/02  09:00:00,17.745124
01/02  10:00:00,16.654726
01/02  11:00:00,16.139937
01/02  12:00:00,15.818210
01/02  13:00:00,16.066192
01/02  14:00:00,16.643919
01/02  15:00:00,17.537218
01/02  16:00:00,19.928559
01/02  17:00:00,22.483649
01/02  18:00:00,24.396621
01/02  19:00:00,22.415218
01/02  20:00:00,24.830808
01/02  21:00:00,25.077463
01/02  22:00:00,21.791275
01/02  23:00:00,22.945789
01/02  24:00:00,24.161369
01/03  01:00:00,23.443487
01/03  02:00:00,23.693340
01/03  03:00:00,23.202819
01/03  04:00:00,23.721307
01/03  05:00:00,25.380545
01/03  06:00:00,26.902272
01/03  07:00:00,27.642495
01/03  08:00:00,24.273128
01/03  09:00:00,20.523488
01/03  10:00:00,17.327932
01/03  11:00:00,13.493556
01/03  12:00:00,11.899182
01/03  13:00:00,10.148153
01/03  14:00:00,8.234229
01/03  15:00:00,7.444416
01/03  16:00:00,7.980451
01/03  17:00:00,10.169388
01/03  18:00:00,12.257530
01/03  19:00:00,14.252239
01/03  20:00:00,15.332389
01/03  21:00:00,15.934111
01/03  22:00:00,15.550207
01/03  23:00:00,17.204003
01/03  24:00:00,19.688188
01/04  01:00:00,18.821246
01/04  02:00:00,19.724792
01/04  03:00:00,21.310377
01/04  04:00:00,21.794599
01/04  05:00:00,22.429321
