Date/Time,kW
01/01  01:00:00,15.232565
01/01  02:00:00,17.895698
01/01  03:00:00,19.619711
01/01  04:00:00,20.732600
01/01  05:00:00,22.172366
01/01  06:00:00,23.951359
01/01  07:00:00,24.824173
01/01  08:00:00,18.484010
01/01  09:00:00,13.012783
01/01  10:00:00,9.167288
01/01  11:00:00,7.403137
01/01  12:00:00,6.958187
01/01  13:00:00,7.070009
01/01  14:00:00,7.679447
01/01  15:00:00,8.446244
01/01  16:00:00,9.742606
01/01  17:00:00,10.394971
01/01  18:00:00,12.216042
01/01  19:00:00,14.680302
01/01  20:00:00,16.240714
01/01  21:00:00,16.424346
01/01  22:00:00,15.653940
01/01  23:00:00,16.013078
01/01  24:00:00,18.836356
01/02  01:00:00,19.531775
01/02  02:00:00,20.173370
01/02  03:00:00,20.977736
01/02  04:00:00,21.410185
01/02  05:00:00,22.137407
01/02  06:00:00,22.764002
01/02  07:00:00,20.501854
01/02  08:00:00,20.748371
01/02  09:00:00,17.977566
01/02  10:00:00,15.079002
01/02  11:00:00,12.789246
01/02  12:00:00,11.384689
01/02  13:00:00,11.582077
01/02  14:00:00,12.358586
01/02  15:00:00,14.731026
01/02  16:00:00,16.031227
01/02  17:00:00,17.006219
01/02  18:00:00,20.613888
01/02  19:00:00,19.442834
01/02  20:00:00,20.657161
01/02  21:00:00,21.202777
01/02  22:00:00,20.649657
01/02  23:00:00,21.256397
01/02  24:00:00,22.664624
01/03  01:00:00,22.002322
01/03  02:00:00,21.439364
01/03  03:00:00,21.129870
01/03  04:00:00,21.171264
01/03  05:00:00,21.185620
01/03  06:00:00,21.636404
01/03  07:00:00,21.965081
01/03  08:00:00,19.685073
01/03  09:00:00,17.069536
01/03  10:00:00,14.994599
01/03  11:00:00,12.008082
01/03  12:00:00,10.071649
01/03  13:00:00,8.494148
01/03  14:00:00,7.915092
01/03  15:00:00,7.911307
01/03  16:00:00,8.718632
01/03  17:00:00,11.298607
01/03  18:00:00,12.663417
01/03  19:00:00,14.454601
01/03  20:00:00,15.325255
01/03  21:00:00,15.804190
01/03  22:00:00,15.381508
01/03  23:00:00,16.656983
01/03  24:00:00,18.368696
01/04  01:00:00,19.253467
01/04  02:00:00,19.491698
01/04  03:00:00,19.453397
01/04  04:00:00,19.158281
01/04  05:00:00,20.315414
01/04  06:00:00,22.615327
01/04  07:00:00,23.583974
01/04  08:00:00,17.229826
01/04  09:00:00,10.870981
01/04  10:00:00,7.593622
01/04  11:00:00,6.811287
01/04  12:00:00,6.842114
01/04  13:00:00,7.035088
01/04  14:00:00,7.627301
01/04  15:00:00,9.003994
01/04  16:00:00,10.463430
01/04  17:00:00,11.453410
01/04  18:00:00,11.953007
01/04  19:00:00,14.010409
01/04  20:00:00,14.928281
01/04  21:00:00,15.071764
01/04  22:00:00,13.581663
01/04  23:00:00,11.825827
01/04  24:00:00,13.988854
01/05  01:00:00,14.591178
01/05  02:00:00,17.413519
01/05  03:00:00,18.771983
01/05  04:00:00,19.432227
01/05  05:00:00,21.294343
01/05  06:00:00,20.797168
01/05  07:00:00,16.789614
01/05  08:00:00,16.099260
01/05  09:00:00,10.963467
01/05  10:00:00,7.751837
01/05  11:00:00,6.769052
01/05  12:00:00,6.531042
01/05  13:00:00,6.499788
01/05  14:00:00,6.949657
01/05  15:00:00,7.961203
01/05  16:00:00,9.562857
01/05  17:00:00,10.871480
01/05  18:00:00,11.651652
01/05  19:00:00,13.510554
01/05  20:00:00,14.238864
01/05  21:00:00,14.302068
01/05  22:00:00,12.815887
01/05  23:00:00,10.235866
01/05  24:00:00,8.969944
01/06  01:00:00,10.379679
01/06  02:00:00,12.613429
01/06  03:00:00,14.436370
01/06  04:00:00,16.543942
01/06  05:00:00,18.252068
01/06  06:00:00,20.049994
01/06  07:00:00,19.221361
01/06  08:00:00,18.569545
01/06  09:00:00,11.286747
01/06  10:00:00,7.686010
01/06  11:00:00,6.862536
01/06  12:00:00,6.676428
01/06  13:00:00,6.670207
01/06  14:00:00,7.153886
01/06  15:00:00,6.791973
01/06  16:00:00,8.091922
01/06  17:00:00,10.076538
01/06  18:00:00,12.095997
01/06  19:00:00,13.622136
01/06  20:00:00,14.432506
01/06  21:00:00,14.550941
01/06  22:00:00,13.137542
01/06  23:00:00,10.859768
01/06  24:00:00,10.876550
01/07  01:00:00,10.804543
01/07  02:00:00,11.668128
01/07  03:00:00,13.264454
01/07  04:00:00,14.755514
01/07  05:00:00,17.220258
01/07  06:00:00,19.455050
