Date/Time,kW
01/01  01:00:00,16.030149
01/01  02:00:00,16.644098
01/01  03:00:00,17.293773
01/01  04:00:00,17.881971
01/01  05:00:00,18.671183
01/01  06:00:00,20.476601
01/01  07:00:00,21.946599
01/01  08:00:00,28.292294
01/01  09:00:00,23.038274
01/01  10:00:00,21.273352
01/01  11:00:00,20.727139
01/01  12:00:00,20.044458
01/01  13:00:00,18.845715
01/01  14:00:00,18.147525
01/01  15:00:00,18.039524
01/01  16:00:00,18.969400
01/01  17:00:00,21.079967
01/01  18:00:00,21.342255
01/01  19:00:00,22.860877
01/01  20:00:00,23.787383
01/01  21:00:00,24.233188
01/01  22:00:00,23.031090
01/01  23:00:00,23.431579
01/01  24:00:00,17.514910
01/02  01:00:00,18.402601
01/02  02:00:00,18.859889
01/02  03:00:00,19.225679
01/02  04:00:00,18.951801
01/02  05:00:00,19.637452
01/02  06:00:00,21.026098
01/02  07:00:00,19.430904
01/02  08:00:00,22.197099
01/02  09:00:00,18.213691
01/02  10:00:00,16.170014
01/02  11:00:00,14.532450
01/02  12:00:00,13.257568
01/02  13:00:00,11.784913
01/02  14:00:00,9.701632
01/02  15:00:00,7.701651
01/02  16:00:00,8.020580
01/02  17:00:00,10.601135
01/02  18:00:00,13.765268
01/02  19:00:00,15.072019
01/02  20:00:00,17.848123
01/02  21:00:00,20.112716
01/02  22:00:00,20.084307
01/02  23:00:00,21.434164
01/02  24:00:00,17.089927
01/03  01:00:00,18.908904
01/03  02:00:00,19.994396
01/03  03:00:00,21.066804
01/03  04:00:00,21.372828
01/03  05:00:00,22.441884
01/03  06:00:00,24.399621
01/03  07:00:00,25.285499
01/03  08:00:00,32.284516
01/03  09:00:00,19.025856
01/03  10:00:00,13.520013
01/03  11:00:00,10.638715
01/03  12:00:00,9.239565
01/03  13:00:00,7.969410
01/03  14:00:00,6.876995
01/03  15:00:00,6.782019
01/03  16:00:00,7.446404
01/03  17:00:00,9.825112
01/03  18:00:00,12.679861
01/03  19:00:00,14.840983
01/03  20:00:00,16.424644
01/03  21:00:00,17.237251
01/03  22:00:00,17.438056
01/03  23:00:00,19.293041
01/03  24:00:00,15.941559
01/04  01:00:00,18.857179
01/04  02:00:00,21.034264
01/04  03:00:00,23.458086
01/04  04:00:00,25.470808
01/04  05:00:00,26.525579
01/04  06:00:00,28.151982
01/04  07:00:00,29.046132
01/04  08:00:00,34.258733
01/04  09:00:00,20.072343
01/04  10:00:00,14.379053
01/04  11:00:00,11.665670
01/04  12:00:00,9.904919
01/04  13:00:00,7.859090
01/04  14:00:00,6.913089
01/04  15:00:00,6.782019
01/04  16:00:00,7.446404
01/04  17:00:00,9.537112
01/04  18:00:00,12.691657
01/04  19:00:00,15.364711
01/04  20:00:00,16.795233
01/04  21:00:00,17.694795
01/04  22:00:00,17.840937
01/04  23:00:00,19.849396
01/04  24:00:00,16.664297
01/05  01:00:00,20.231146
01/05  02:00:00,23.260924
01/05  03:00:00,24.939711
01/05  04:00:00,26.023351
01/05  05:00:00,27.885015
01/05  06:00:00,29.431811
01/05  07:00:00,26.133627
01/05  08:00:00,37.112013
01/05  09:00:00,29.412959
01/05  10:00:00,19.760966
01/05  11:00:00,12.810607
01/05  12:00:00,11.002750
01/05  13:00:00,8.704274
01/05  14:00:00,7.533972
01/05  15:00:00,6.885862
01/05  16:00:00,7.382878
01/05  17:00:00,9.602810
01/05  18:00:00,12.698982
01/05  19:00:00,15.136763
01/05  20:00:00,16.830226
01/05  21:00:00,17.911917
01/05  22:00:00,18.091602
01/05  23:00:00,19.094256
01/05  24:00:00,15.910052
01/06  01:00:00,20.570140
01/06  02:00:00,24.257115
01/06  03:00:00,25.388698
01/06  04:00:00,26.427868
01/06  05:00:00,28.054878
01/06  06:00:00,30.110578
01/06  07:00:00,28.080428
01/06  08:00:00,37.842540
01/06  09:00:00,24.044200
01/06  10:00:00,16.273013
01/06  11:00:00,11.725903
01/06  12:00:00,10.242013
01/06  13:00:00,8.492643
01/06  14:00:00,7.257438
01/06  15:00:00,6.872949
01/06  16:00:00,8.174758
01/06  17:00:00,11.324262
01/06  18:00:00,13.821494
01/06  19:00:00,15.984351
01/06  20:00:00,17.642514
01/06  21:00:00,18.690879
01/06  22:00:00,19.452971
01/06  23:00:00,22.284906
01/06  24:00:00,16.945696
01/07  01:00:00,20.715670
01/07  02:00:00,22.285255
01/07  03:00:00,23.534508
01/07  04:00:00,24.836767
01/07  05:00:00,25.652132
