Date/Time,kW
01/01  01:00:00,20.522204
01/01  02:00:00,20.877568
01/01  03:00:00,23.138340
01/01  04:00:00,27.664190
01/01  05:00:00,29.682494
01/01  06:00:00,32.230327
01/01  07:00:00,34.579622
01/01  08:00:00,24.471169
01/01  09:00:00,15.683836
01/01  10:00:00,11.908201
01/01  11:00:00,10.307018
01/01  12:00:00,9.311413
01/01  13:00:00,8.516407
01/01  14:00:00,7.576328
01/01  15:00:00,7.702990
01/01  16:00:00,8.793208
01/01  17:00:00,12.169347
01/01  18:00:00,13.808182
01/01  19:00:00,16.210616
01/01  20:00:00,17.245333
01/01  21:00:00,18.412829
01/01  22:00:00,21.391026
01/01  23:00:00,26.581186
01/01  24:00:00,24.769420
01/02  01:00:00,32.695281
01/02  02:00:00,32.537860
01/02  03:00:00,33.387289
01/02  04:00:00,34.861143
01/02  05:00:00,35.978605
01/02  06:00:00,37.075086
01/02  07:00:00,35.511861
01/02  08:00:00,30.050532
01/02  09:00:00,22.485334
01/02  10:00:00,16.216018
01/02  11:00:00,13.279721
01/02  12:00:00,12.192494
01/02  13:00:00,10.436912
01/02  14:00:00,10.366686
01/02  15:00:00,10.726785
01/02  16:00:00,11.109685
01/02  17:00:00,13.597611
01/02  18:00:00,17.499245
01/02  19:00:00,17.016142
01/02  20:00:00,19.972722
01/02  21:00:00,21.646223
01/02  22:00:00,21.447234
01/02  23:00:00,24.961267
01/02  24:00:00,27.009936
01/03  01:00:00,28.193466
01/03  02:00:00,27.309822
01/03  03:00:00,32.697122
01/03  04:00:00,32.691350
01/03  05:00:00,32.805012
01/03  06:00:00,34.388959
01/03  07:00:00,35.530307
01/03  08:00:00,24.392754
01/03  09:00:00,16.638345
01/03  10:00:00,12.565570
01/03  11:00:00,9.598989
01/03  12:00:00,8.181957
01/03  13:00:00,8.062643
01/03  14:00:00,8.437871
01/03  15:00:00,8.744157
01/03  16:00:00,9.345498
01/03  17:00:00,11.707834
01/03  18:00:00,12.787494
01/03  19:00:00,15.877863
01/03  20:00:00,17.520103
01/03  21:00:00,18.112156
01/03  22:00:00,18.267026
