Date/Time,kW
01/01  01:00:00,19.047470
01/01  02:00:00,21.258019
01/01  03:00:00,24.007054
01/01  04:00:00,25.197923
01/01  05:00:00,25.825848
01/01  06:00:00,26.709840
01/01  07:00:00,26.274585
01/01  08:00:00,22.182052
01/01  09:00:00,15.714719
01/01  10:00:00,13.753958
01/01  11:00:00,15.067300
01/01  12:00:00,17.379275
01/01  13:00:00,18.744393
01/01  14:00:00,19.279672
01/01  15:00:00,17.314903
01/01  16:00:00,14.504692
01/01  17:00:00,18.043923
01/01  18:00:00,20.265708
01/01  19:00:00,22.506918
01/01  20:00:00,23.861720
01/01  21:00:00,24.020375
01/01  22:00:00,22.712497
01/01  23:00:00,24.150335
01/01  24:00:00,25.759560
01/02  01:00:00,23.995019
01/02  02:00:00,24.069963
01/02  03:00:00,24.253725
01/02  04:00:00,23.929189
01/02  05:00:00,24.595308
01/02  06:00:00,25.901041
01/02  07:00:00,23.279369
01/02  08:00:00,23.993722
01/02  09:00:00,20.778321
01/02  10:00:00,18.875177
01/02  11:00:00,17.868647
01/02  12:00:00,16.927904
01/02  13:00:00,15.734685
01/02  14:00:00,15.753258
01/02  15:00:00,15.144806
01/02  16:00:00,14.547872
01/02  17:00:00,17.284444
01/02  18:00:00,21.274537
01/02  19:00:00,19.273771
01/02  20:00:00,20.791100
01/02  21:00:00,21.975245
01/02  22:00:00,22.010466
01/02  23:00:00,24.094279
01/02  24:00:00,26.046920
01/03  01:00:00,24.775163
01/03  02:00:00,24.885430
01/03  03:00:00,25.284708
01/03  04:00:00,25.058156
01/03  05:00:00,25.467743
01/03  06:00:00,26.618754
01/03  07:00:00,27.179922
01/03  08:00:00,23.301237
01/03  09:00:00,15.987315
01/03  10:00:00,13.131552
01/03  11:00:00,11.217568
01/03  12:00:00,10.321171
01/03  13:00:00,9.625152
01/03  14:00:00,9.556609
01/03  15:00:00,9.825735
01/03  16:00:00,11.139846
01/03  17:00:00,13.949497
01/03  18:00:00,15.354079
01/03  19:00:00,17.086630
01/03  20:00:00,17.628185
01/03  21:00:00,17.564426
01/03  22:00:00,16.928257
01/03  23:00:00,19.396543
01/03  24:00:00,20.751820
01/04  01:00:00,19.938514
01/04  02:00:00,21.155354
01/04  03:00:00,22.099725
01/04  04:00:00,22.599772
01/04  05:00:00,23.472165
01/04  06:00:00,25.952115
01/04  07:00:00,27.101926
01/04  08:00:00,22.099350
01/04  09:00:00,14.380851
01/04  10:00:00,12.055400
01/04  11:00:00,11.044864
01/04  12:00:00,10.021704
01/04  13:00:00,9.098027
01/04  14:00:00,9.021481
01/04  15:00:00,9.121059
01/04  16:00:00,10.586418
01/04  17:00:00,12.789285
01/04  18:00:00,14.738346
01/04  19:00:00,16.911375
01/04  20:00:00,17.582698
01/04  21:00:00,17.839070
01/04  22:00:00,16.791002
01/04  23:00:00,17.593594
01/04  24:00:00,19.282824
01/05  01:00:00,20.358997
01/05  02:00:00,20.789846
01/05  03:00:00,19.833433
01/05  04:00:00,19.461068
01/05  05:00:00,19.101807
01/05  06:00:00,20.116102
01/05  07:00:00,19.041863
01/05  08:00:00,18.509239
01/05  09:00:00,12.583349
01/05  10:00:00,10.376575
01/05  11:00:00,9.574651
01/05  12:00:00,8.574379
01/05  13:00:00,8.051366
01/05  14:00:00,8.163607
01/05  15:00:00,8.431647
01/05  16:00:00,9.582709
01/05  17:00:00,11.289017
01/05  18:00:00,13.276606
01/05  19:00:00,14.708859
01/05  20:00:00,15.384211
01/05  21:00:00,15.444444
01/05  22:00:00,14.082438
01/05  23:00:00,11.653599
01/05  24:00:00,10.503995
01/06  01:00:00,10.276396
01/06  02:00:00,10.354114
01/06  03:00:00,10.667389
01/06  04:00:00,11.788138
01/06  05:00:00,12.612479
01/06  06:00:00,13.639820
01/06  07:00:00,12.283531
01/06  08:00:00,12.327121
01/06  09:00:00,9.018935
01/06  10:00:00,7.078221
01/06  11:00:00,6.915463
