Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,11.4618
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,11.4954
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,11.553
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,11.7575
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,11.4398
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,11.4243
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,11.4157
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,11.4154
CZ01,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,11.4077
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,11.4618
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,11.4956
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,11.5538
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,11.7575
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,11.4397
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,11.4241
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,11.4157
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,11.4154
CZ01,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,11.4077
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,24.8944
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,28.0658
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,33.51
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,52.8161
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,22.8183
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,21.3537
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,20.5397
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,20.516
CZ02,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,19.7901
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,24.8944
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,28.0844
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,33.5791
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,52.8161
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,22.8063
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,21.3392
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,20.5397
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,20.5113
CZ02,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,19.7901
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,20.0431
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,22.0557
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,25.5108
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,37.7628
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,18.7256
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,17.7961
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,17.2795
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,17.2645
CZ03,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,16.8038
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,20.0431
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,22.0676
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,25.5546
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,37.7628
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,18.718
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,17.7869
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,17.2795
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,17.2615
CZ03,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,16.8038
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,56.0315
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,66.6542
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,84.8898
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,149.5556
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,49.0777
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,44.1719
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,41.4455
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,41.3662
CZ04,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,38.9348
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,56.0315
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,66.7167
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,85.1209
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,149.5556
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,49.0376
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,44.1234
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,41.4455
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,41.3504
CZ04,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,38.9348
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,20.8792
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,23.0975
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,26.9058
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,40.4102
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,19.427
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,18.4025
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,17.8331
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,17.8166
CZ05,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,17.3088
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,20.8792
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,23.1106
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,26.9541
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,40.4102
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,19.4186
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,18.3923
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,17.8331
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,17.8133
CZ05,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,17.3088
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,18.4762
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,20.1328
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,22.9766
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,33.0611
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,17.3918
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,16.6267
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,16.2015
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,16.1892
CZ06,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,15.81
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,18.4762
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,20.1425
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,23.0126
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,33.0611
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,17.3855
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,16.6191
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,16.2015
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,16.1867
CZ06,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,15.81
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,17.7885
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,19.2869
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,21.8592
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,30.9808
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,16.8076
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,16.1156
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,15.731
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,15.7199
CZ07,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,15.3769
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,17.7885
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,19.2957
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,21.8918
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,30.9808
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,16.802
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,16.1088
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,15.731
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,15.7176
CZ07,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,15.3769
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,29.4286
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,33.6174
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,40.8082
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,66.3077
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,26.6865
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,24.7521
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,23.677
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,23.6457
CZ08,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,22.6869
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,29.4286
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,33.6421
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,40.8994
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,66.3077
