Date/Time,kW
01/01  01:00:00,6.468953
01/01  02:00:00,8.763654
01/01  03:00:00,8.970409
01/01  04:00:00,8.156435
01/01  05:00:00,7.739247
01/01  06:00:00,8.996200
01/01  07:00:00,9.636131
01/01  08:00:00,9.335896
01/01  09:00:00,5.743359
01/01  10:00:00,4.634485
01/01  11:00:00,4.220274
01/01  12:00:00,4.164669
01/01  13:00:00,4.141588
01/01  14:00:00,4.167418
01/01  15:00:00,4.157393
01/01  16:00:00,4.264684
01/01  17:00:00,4.751259
01/01  18:00:00,4.981717
01/01  19:00:00,5.453986
01/01  20:00:00,5.817373
01/01  21:00:00,5.975149
01/01  22:00:00,5.894454
01/01  23:00:00,5.985384
01/01  24:00:00,6.037355
01/02  01:00:00,5.771427
01/02  02:00:00,5.646721
01/02  03:00:00,5.587960
01/02  04:00:00,5.438610
01/02  05:00:00,5.794481
01/02  06:00:00,6.272248
01/02  07:00:00,5.907458
01/02  08:00:00,5.572056
01/02  09:00:00,4.951644
01/02  10:00:00,4.361433
01/02  11:00:00,3.875658
01/02  12:00:00,3.216492
01/02  13:00:00,2.714083
01/02  14:00:00,2.685205
01/02  15:00:00,2.819043
01/02  16:00:00,3.055446
01/02  17:00:00,3.547590
01/02  18:00:00,4.326601
01/02  19:00:00,4.648095
01/02  20:00:00,5.107476
01/02  21:00:00,5.443301
01/02  22:00:00,6.460414
01/02  23:00:00,8.327430
01/02  24:00:00,8.912391
01/03  01:00:00,9.300425
01/03  02:00:00,9.620843
01/03  03:00:00,9.685068
01/03  04:00:00,10.045010
01/03  05:00:00,10.339151
01/03  06:00:00,10.559467
01/03  07:00:00,10.707157
01/03  08:00:00,10.301967
01/03  09:00:00,9.112078
01/03  10:00:00,5.383679
01/03  11:00:00,3.239260
01/03  12:00:00,1.810178
01/03  13:00:00,1.358877
01/03  14:00:00,1.384410
01/03  15:00:00,1.422107
01/03  16:00:00,1.533294
01/03  17:00:00,1.903079
01/03  18:00:00,2.372318
01/03  19:00:00,2.840810
01/03  20:00:00,3.095895
01/03  21:00:00,4.473357
01/03  22:00:00,6.747014
01/03  23:00:00,8.557413
01/03  24:00:00,9.736345
01/04  01:00:00,9.884381
01/04  02:00:00,9.925714
01/04  03:00:00,10.218686
01/04  04:00:00,10.659238
01/04  05:00:00,10.839447
01/04  06:00:00,11.070157
01/04  07:00:00,11.218749
01/04  08:00:00,10.950048
01/04  09:00:00,9.811149
01/04  10:00:00,7.649329
01/04  11:00:00,4.335215
01/04  12:00:00,2.186746
01/04  13:00:00,1.444695
01/04  14:00:00,1.384410
01/04  15:00:00,1.422107
01/04  16:00:00,1.533294
01/04  17:00:00,1.903079
01/04  18:00:00,2.385651
01/04  19:00:00,2.840810
01/04  20:00:00,3.609111
01/04  21:00:00,5.883890
01/04  22:00:00,7.363303
01/04  23:00:00,8.753802
01/04  24:00:00,9.735787
01/05  01:00:00,9.944098
01/05  02:00:00,10.418863
01/05  03:00:00,10.827882
