Date/Time,kW
01/01  01:00:00,3.433825
01/01  02:00:00,3.366693
01/01  03:00:00,3.367690
01/01  04:00:00,3.338063
01/01  05:00:00,3.334751
01/01  06:00:00,3.485038
01/01  07:00:00,3.511667
01/01  08:00:00,3.383615
01/01  09:00:00,3.292519
01/01  10:00:00,3.139314
01/01  11:00:00,2.767488
01/01  12:00:00,2.315208
01/01  13:00:00,2.032912
01/01  14:00:00,1.979254
01/01  15:00:00,1.974024
01/01  16:00:00,2.069988
01/01  17:00:00,2.446116
01/01  18:00:00,2.696181
01/01  19:00:00,3.144280
01/01  20:00:00,3.384954
01/01  21:00:00,3.469130
01/01  22:00:00,3.397554
01/01  23:00:00,3.468209
01/01  24:00:00,3.584587
01/02  01:00:00,3.415451
01/02  02:00:00,3.342278
01/02  03:00:00,3.326089
01/02  04:00:00,3.239693
01/02  05:00:00,3.260467
01/02  06:00:00,3.423342
01/02  07:00:00,3.125209
01/02  08:00:00,3.182296
01/02  09:00:00,3.010413
01/02  10:00:00,2.890986
01/02  11:00:00,2.754792
01/02  12:00:00,2.418321
01/02  13:00:00,2.073864
01/02  14:00:00,1.770959
01/02  15:00:00,1.747680
01/02  16:00:00,1.967868
01/02  17:00:00,2.450330
01/02  18:00:00,2.865121
01/02  19:00:00,2.991979
01/02  20:00:00,3.209003
01/02  21:00:00,3.377524
01/02  22:00:00,3.336316
01/02  23:00:00,3.465797
01/02  24:00:00,3.667224
01/03  01:00:00,3.566130
01/03  02:00:00,3.583654
01/03  03:00:00,3.566756
01/03  04:00:00,3.524271
01/03  05:00:00,3.585515
01/03  06:00:00,3.758572
01/03  07:00:00,3.785073
01/03  08:00:00,3.589745
01/03  09:00:00,3.163024
01/03  10:00:00,2.528949
01/03  11:00:00,1.956021
01/03  12:00:00,1.521484
01/03  13:00:00,1.137893
01/03  14:00:00,0.994407
01/03  15:00:00,0.928506
01/03  16:00:00,0.992778
01/03  17:00:00,1.305761
01/03  18:00:00,1.762598
01/03  19:00:00,2.469644
01/03  20:00:00,2.934580
01/03  21:00:00,3.253912
01/03  22:00:00,3.446840
01/03  23:00:00,3.970386
01/03  24:00:00,4.067048
01/04  01:00:00,4.012447
01/04  02:00:00,4.100265
01/04  03:00:00,4.790557
01/04  04:00:00,4.595604
01/04  05:00:00,5.086560
01/04  06:00:00,5.833095
01/04  07:00:00,5.872610
01/04  08:00:00,5.687846
01/04  09:00:00,4.633399
01/04  10:00:00,3.169276
01/04  11:00:00,2.320638
01/04  12:00:00,1.434006
01/04  13:00:00,1.092287
01/04  14:00:00,0.988955
01/04  15:00:00,0.917700
01/04  16:00:00,0.992778
01/04  17:00:00,1.255180
01/04  18:00:00,1.616126
01/04  19:00:00,2.240529
01/04  20:00:00,2.844745
01/04  21:00:00,3.238785
01/04  22:00:00,3.433374
01/04  23:00:00,3.724934
01/04  24:00:00,3.948978
01/05  01:00:00,4.162015
01/05  02:00:00,5.228549
01/05  03:00:00,5.330540
01/05  04:00:00,5.431281
01/05  05:00:00,5.678245
01/05  06:00:00,6.088802
01/05  07:00:00,5.936753
01/05  08:00:00,6.095874
01/05  09:00:00,4.465700
01/05  10:00:00,3.355223
01/05  11:00:00,2.365289
01/05  12:00:00,1.534949
01/05  13:00:00,1.218935
01/05  14:00:00,1.078706
01/05  15:00:00,0.923727
01/05  16:00:00,0.979054
01/05  17:00:00,1.259719
01/05  18:00:00,1.762388
01/05  19:00:00,2.205464
01/05  20:00:00,2.688526
01/05  21:00:00,3.075898
01/05  22:00:00,3.275772
01/05  23:00:00,3.487278
01/05  24:00:00,3.725410
01/06  01:00:00,3.797090
01/06  02:00:00,3.953868
01/06  03:00:00,4.842779
01/06  04:00:00,5.611282
01/06  05:00:00,5.928871
01/06  06:00:00,6.197330
01/06  07:00:00,5.843028
01/06  08:00:00,5.989640
01/06  09:00:00,5.259123
01/06  10:00:00,3.632175
01/06  11:00:00,2.736957
01/06  12:00:00,1.881158
01/06  13:00:00,1.390550
01/06  14:00:00,1.160443
01/06  15:00:00,1.046030
01/06  16:00:00,1.126213
01/06  17:00:00,1.688250
01/06  18:00:00,2.331136
01/06  19:00:00,2.716804
01/06  20:00:00,3.397746
01/06  21:00:00,3.753326
01/06  22:00:00,4.030664
01/06  23:00:00,5.255046
01/06  24:00:00,5.876878
01/07  01:00:00,6.031000
01/07  02:00:00,6.138032
01/07  03:00:00,6.291333
01/07  04:00:00,6.491257
01/07  05:00:00,6.541004
01/07  06:00:00,6.648105
01/07  07:00:00,6.351336
01/07  08:00:00,6.484382
01/07  09:00:00,6.130116
01/07  10:00:00,5.451387
01/07  11:00:00,3.649316
01/07  12:00:00,2.978176
01/07  13:00:00,2.624293
01/07  14:00:00,2.274946
01/07  15:00:00,2.064721
01/07  16:00:00,2.114782
01/07  17:00:00,2.483586
01/07  18:00:00,2.966875
01/07  19:00:00,3.188576
01/07  20:00:00,3.761558
01/07  21:00:00,3.983822
01/07  22:00:00,4.004032
01/07  23:00:00,4.151138
01/07  24:00:00,4.277794
01/08  01:00:00,4.095729
01/08  02:00:00,4.089491
01/08  03:00:00,4.428410
01/08  04:00:00,4.271321
01/08  05:00:00,4.272108
01/08  06:00:00,4.652152
01/08  07:00:00,5.469737
01/08  08:00:00,5.605233
01/08  09:00:00,4.099923
01/08  10:00:00,3.858234
01/08  11:00:00,3.654539
01/08  12:00:00,3.318193
01/08  13:00:00,2.986280
01/08  14:00:00,2.578575
01/08  15:00:00,2.338481
