Date/Time,kW
01/01  01:00:00,7.323747
01/01  02:00:00,7.356702
01/01  03:00:00,7.400827
01/01  04:00:00,7.481550
01/01  05:00:00,7.626294
01/01  06:00:00,9.063098
01/01  07:00:00,9.784974
01/01  08:00:00,8.479091
01/01  09:00:00,6.953795
01/01  10:00:00,5.823260
01/01  11:00:00,4.887609
01/01  12:00:00,4.285880
01/01  13:00:00,4.126022
01/01  14:00:00,4.359977
01/01  15:00:00,4.671307
01/01  16:00:00,5.041921
01/01  17:00:00,5.524635
01/01  18:00:00,5.628610
01/01  19:00:00,6.026020
01/01  20:00:00,6.245304
01/01  21:00:00,6.434566
01/01  22:00:00,6.477713
01/01  23:00:00,6.884199
01/01  24:00:00,7.761533
01/02  01:00:00,7.088308
01/02  02:00:00,6.954322
01/02  03:00:00,6.881993
01/02  04:00:00,7.143825
01/02  05:00:00,7.789467
01/02  06:00:00,7.991897
01/02  07:00:00,7.514513
01/02  08:00:00,6.976708
01/02  09:00:00,5.876219
01/02  10:00:00,5.542656
01/02  11:00:00,6.039058
01/02  12:00:00,6.119036
01/02  13:00:00,5.975125
01/02  14:00:00,5.221086
01/02  15:00:00,5.071724
01/02  16:00:00,5.077376
01/02  17:00:00,5.886863
01/02  18:00:00,6.759300
01/02  19:00:00,6.856946
01/02  20:00:00,6.627520
01/02  21:00:00,6.723373
01/02  22:00:00,6.902391
01/02  23:00:00,7.696404
01/02  24:00:00,7.715645
01/03  01:00:00,7.560301
01/03  02:00:00,7.514170
01/03  03:00:00,8.059772
01/03  04:00:00,7.685291
01/03  05:00:00,7.632415
01/03  06:00:00,7.743423
01/03  07:00:00,7.745860
01/03  08:00:00,8.925129
01/03  09:00:00,8.796384
01/03  10:00:00,5.793450
01/03  11:00:00,4.556582
01/03  12:00:00,2.671032
01/03  13:00:00,1.794163
01/03  14:00:00,1.442071
01/03  15:00:00,1.422107
01/03  16:00:00,1.533294
01/03  17:00:00,1.903079
01/03  18:00:00,2.607578
01/03  19:00:00,4.079441
01/03  20:00:00,5.174221
01/03  21:00:00,6.381169
01/03  22:00:00,8.414034
01/03  23:00:00,9.734925
01/03  24:00:00,10.796293
01/04  01:00:00,11.039960
01/04  02:00:00,11.399949
01/04  03:00:00,11.791304
01/04  04:00:00,12.233902
01/04  05:00:00,12.261995
01/04  06:00:00,12.751333
01/04  07:00:00,13.334922
01/04  08:00:00,12.638652
01/04  09:00:00,11.402976
01/04  10:00:00,10.048524
01/04  11:00:00,7.183047
01/04  12:00:00,3.643126
01/04  13:00:00,2.094733
01/04  14:00:00,1.490596
01/04  15:00:00,1.422107
01/04  16:00:00,1.533294
01/04  17:00:00,1.903079
01/04  18:00:00,2.395459
01/04  19:00:00,3.557007
01/04  20:00:00,4.743571
01/04  21:00:00,6.027542
01/04  22:00:00,7.936363
01/04  23:00:00,9.067507
01/04  24:00:00,10.204658
01/05  01:00:00,10.855043
01/05  02:00:00,11.518943
01/05  03:00:00,11.946804
01/05  04:00:00,12.195982
01/05  05:00:00,12.338165
01/05  06:00:00,12.694877
01/05  07:00:00,12.808954
01/05  08:00:00,13.007225
01/05  09:00:00,11.123647
01/05  10:00:00,7.976503
01/05  11:00:00,4.340346
01/05  12:00:00,2.357230
01/05  13:00:00,1.534711
01/05  14:00:00,1.367655
01/05  15:00:00,1.407518
01/05  16:00:00,1.519571
01/05  17:00:00,1.986128
01/05  18:00:00,3.338933
01/05  19:00:00,4.474294
01/05  20:00:00,5.526603
01/05  21:00:00,6.463074
01/05  22:00:00,6.979868
01/05  23:00:00,8.484700
01/05  24:00:00,10.129201
01/06  01:00:00,10.468696
01/06  02:00:00,10.425092
01/06  03:00:00,10.601899
01/06  04:00:00,11.259250
01/06  05:00:00,11.785523
01/06  06:00:00,12.393612
01/06  07:00:00,12.305192
01/06  08:00:00,12.572923
01/06  09:00:00,11.744428
01/06  10:00:00,9.438784
01/06  11:00:00,6.084966
01/06  12:00:00,3.324342
01/06  13:00:00,2.250439
01/06  14:00:00,1.618808
01/06  15:00:00,1.407518
01/06  16:00:00,1.519571
01/06  17:00:00,1.889167
01/06  18:00:00,2.798189
01/06  19:00:00,3.628427
01/06  20:00:00,4.570541
01/06  21:00:00,5.170885
01/06  22:00:00,5.784936
01/06  23:00:00,6.714137
01/06  24:00:00,7.399356
