Date/Time,kW
01/01  01:00:00,7.218383
01/01  02:00:00,8.078300
01/01  03:00:00,8.764729
01/01  04:00:00,9.214380
01/01  05:00:00,9.611043
01/01  06:00:00,9.938810
01/01  07:00:00,9.947654
01/01  08:00:00,14.708845
01/01  09:00:00,9.857990
01/01  10:00:00,5.885132
01/01  11:00:00,2.681593
01/01  12:00:00,1.676123
01/01  13:00:00,1.356985
01/01  14:00:00,1.384410
01/01  15:00:00,1.422107
01/01  16:00:00,1.533294
01/01  17:00:00,1.903079
01/01  18:00:00,2.332318
01/01  19:00:00,3.019112
01/01  20:00:00,5.058279
01/01  21:00:00,6.356473
01/01  22:00:00,7.530107
01/01  23:00:00,9.019194
01/01  24:00:00,6.668536
01/02  01:00:00,7.217378
01/02  02:00:00,8.165881
01/02  03:00:00,8.766553
01/02  04:00:00,9.027438
01/02  05:00:00,9.143977
01/02  06:00:00,8.984453
01/02  07:00:00,8.054015
01/02  08:00:00,13.982340
01/02  09:00:00,10.653366
01/02  10:00:00,8.515958
01/02  11:00:00,6.749795
01/02  12:00:00,5.566425
01/02  13:00:00,5.241228
01/02  14:00:00,5.417680
01/02  15:00:00,6.464429
01/02  16:00:00,7.498525
01/02  17:00:00,8.037501
01/02  18:00:00,8.281323
01/02  19:00:00,8.138250
01/02  20:00:00,8.627633
01/02  21:00:00,9.014898
01/02  22:00:00,9.281471
01/02  23:00:00,9.864409
01/02  24:00:00,6.849734
01/03  01:00:00,7.096095
01/03  02:00:00,7.778414
01/03  03:00:00,8.087332
01/03  04:00:00,8.289202
01/03  05:00:00,8.182793
01/03  06:00:00,8.004015
01/03  07:00:00,7.801551
01/03  08:00:00,13.083396
01/03  09:00:00,10.041974
01/03  10:00:00,8.307461
01/03  11:00:00,6.560876
01/03  12:00:00,5.111606
01/03  13:00:00,3.635805
01/03  14:00:00,2.659668
01/03  15:00:00,2.730253
01/03  16:00:00,3.064003
01/03  17:00:00,4.033810
01/03  18:00:00,4.583922
01/03  19:00:00,5.130164
01/03  20:00:00,5.646826
01/03  21:00:00,6.270214
01/03  22:00:00,6.892527
01/03  23:00:00,7.927820
01/03  24:00:00,4.791757
01/04  01:00:00,5.842212
01/04  02:00:00,6.702882
01/04  03:00:00,7.148766
01/04  04:00:00,7.264085
01/04  05:00:00,7.614347
01/04  06:00:00,8.246636
01/04  07:00:00,8.413514
01/04  08:00:00,13.137949
01/04  09:00:00,7.736911
01/04  10:00:00,3.642366
01/04  11:00:00,1.582652
01/04  12:00:00,1.378337
01/04  13:00:00,1.352068
01/04  14:00:00,1.384410
01/04  15:00:00,1.422107
01/04  16:00:00,1.533294
01/04  17:00:00,1.903079
01/04  18:00:00,2.332318
01/04  19:00:00,2.760810
01/04  20:00:00,2.897698
01/04  21:00:00,3.482017
01/04  22:00:00,4.591057
01/04  23:00:00,6.045218
01/04  24:00:00,3.384117
01/05  01:00:00,5.337110
01/05  02:00:00,6.871314
01/05  03:00:00,7.748579
01/05  04:00:00,8.176696
01/05  05:00:00,8.788768
01/05  06:00:00,8.186642
01/05  07:00:00,6.617669
01/05  08:00:00,12.082788
01/05  09:00:00,7.760926
01/05  10:00:00,4.309579
01/05  11:00:00,1.902535
01/05  12:00:00,1.358428
01/05  13:00:00,1.334226
01/05  14:00:00,1.367655
01/05  15:00:00,1.407518
01/05  16:00:00,1.519571
01/05  17:00:00,1.889167
01/05  18:00:00,2.317793
01/05  19:00:00,2.743562
01/05  20:00:00,2.878632
01/05  21:00:00,2.915017
01/05  22:00:00,2.699626
01/05  23:00:00,2.210158
01/05  24:00:00,1.812815
01/06  01:00:00,1.999047
01/06  02:00:00,4.367961
01/06  03:00:00,5.502342
01/06  04:00:00,6.680532
01/06  05:00:00,7.438153
01/06  06:00:00,7.849285
01/06  07:00:00,7.502383
01/06  08:00:00,12.870543
01/06  09:00:00,8.332521
01/06  10:00:00,3.740715
01/06  11:00:00,1.520938
01/06  12:00:00,1.358428
01/06  13:00:00,1.334226
01/06  14:00:00,1.367655
01/06  15:00:00,1.407518
01/06  16:00:00,1.519571
01/06  17:00:00,1.889167
01/06  18:00:00,2.317793
01/06  19:00:00,2.743562
01/06  20:00:00,2.878632
01/06  21:00:00,2.915017
01/06  22:00:00,3.386541
01/06  23:00:00,4.737109
01/06  24:00:00,1.953387
01/07  01:00:00,3.519567
01/07  02:00:00,4.244951
01/07  03:00:00,5.108877
01/07  04:00:00,5.874513
01/07  05:00:00,6.504823
01/07  06:00:00,7.090018
01/07  07:00:00,6.584034
01/07  08:00:00,11.762864
01/07  09:00:00,8.755471
01/07  10:00:00,6.455804
01/07  11:00:00,3.855551
01/07  12:00:00,2.088638
01/07  13:00:00,1.518355
01/07  14:00:00,1.367655
01/07  15:00:00,1.407518
01/07  16:00:00,1.519571
01/07  17:00:00,1.889167
01/07  18:00:00,2.322546
01/07  19:00:00,2.787621
01/07  20:00:00,3.810805
01/07  21:00:00,4.951425
01/07  22:00:00,5.822882
01/07  23:00:00,7.507735
01/07  24:00:00,5.218942
01/08  01:00:00,6.170261
01/08  02:00:00,7.044440
01/08  03:00:00,7.321652
01/08  04:00:00,7.253296
01/08  05:00:00,7.158474
01/08  06:00:00,7.284594
01/08  07:00:00,6.764794
01/08  08:00:00,12.530445
01/08  09:00:00,8.826619
01/08  10:00:00,6.087845
01/08  11:00:00,3.044290
01/08  12:00:00,1.810012
01/08  13:00:00,1.439768
01/08  14:00:00,1.367655
01/08  15:00:00,1.524494
01/08  16:00:00,1.967903
01/08  17:00:00,3.119015
01/08  18:00:00,4.295104
01/08  19:00:00,4.398490
01/08  20:00:00,4.829100
01/08  21:00:00,5.217816
01/08  22:00:00,5.637593
01/08  23:00:00,6.539820
01/08  24:00:00,2.923652
01/09  01:00:00,4.057048
01/09  02:00:00,4.763040
01/09  03:00:00,5.243093
01/09  04:00:00,5.486364
01/09  05:00:00,5.786176
01/09  06:00:00,6.340104
01/09  07:00:00,6.180453
01/09  08:00:00,11.626293
01/09  09:00:00,8.467903
01/09  10:00:00,6.132105
01/09  11:00:00,4.627254
01/09  12:00:00,2.892527
01/09  13:00:00,1.760125
01/09  14:00:00,1.444686
01/09  15:00:00,1.607932
01/09  16:00:00,1.914079
01/09  17:00:00,2.968785
01/09  18:00:00,4.265837
01/09  19:00:00,4.351054
01/09  20:00:00,5.100120
01/09  21:00:00,6.000115
01/09  22:00:00,7.182363
01/09  23:00:00,8.630607
01/09  24:00:00,6.459347
01/10  01:00:00,6.734246
01/10  02:00:00,7.948719
01/10  03:00:00,8.583854
01/10  04:00:00,8.822446
01/10  05:00:00,9.090775
01/10  06:00:00,9.640054
01/10  07:00:00,9.916219
01/10  08:00:00,14.581806
01/10  09:00:00,9.011681
01/10  10:00:00,4.609480
01/10  11:00:00,1.906173
01/10  12:00:00,1.378337
01/10  13:00:00,1.352068
01/10  14:00:00,1.384410
01/10  15:00:00,1.422107
01/10  16:00:00,1.533294
01/10  17:00:00,1.903079
01/10  18:00:00,2.332318
01/10  19:00:00,2.760810
01/10  20:00:00,2.897698
01/10  21:00:00,2.932604
01/10  22:00:00,2.724184
01/10  23:00:00,3.889105
01/10  24:00:00,1.819351
01/11  01:00:00,2.339767
01/11  02:00:00,3.377515
01/11  03:00:00,4.028178
01/11  04:00:00,4.616134
01/11  05:00:00,5.636700
01/11  06:00:00,6.841197
01/11  07:00:00,7.152772
01/11  08:00:00,11.954913
01/11  09:00:00,7.184197
01/11  10:00:00,3.395095
01/11  11:00:00,1.510564
01/11  12:00:00,1.378337
01/11  13:00:00,1.352068
01/11  14:00:00,1.384410
01/11  15:00:00,1.422107
01/11  16:00:00,1.533294
01/11  17:00:00,1.903079
01/11  18:00:00,2.332318
01/11  19:00:00,2.760810
01/11  20:00:00,2.897698
01/11  21:00:00,2.932604
01/11  22:00:00,2.715273
01/11  23:00:00,2.433254
01/11  24:00:00,1.819351
01/12  01:00:00,2.387818
01/12  02:00:00,4.401349
01/12  03:00:00,5.761149
01/12  04:00:00,6.997138
01/12  05:00:00,7.639723
01/12  06:00:00,8.249861
01/12  07:00:00,8.014306
01/12  08:00:00,13.126244
01/12  09:00:00,8.026869
01/12  10:00:00,3.371721
01/12  11:00:00,1.457574
01/12  12:00:00,1.358428
01/12  13:00:00,1.334226
01/12  14:00:00,1.477117
01/12  15:00:00,1.834887
01/12  16:00:00,1.764926
01/12  17:00:00,1.893314
01/12  18:00:00,2.317793
01/12  19:00:00,2.743562
01/12  20:00:00,2.878632
01/12  21:00:00,2.915017
01/12  22:00:00,2.699626
01/12  23:00:00,2.703096
01/12  24:00:00,1.812815
01/13  01:00:00,3.512816
01/13  02:00:00,5.473969
01/13  03:00:00,6.863118
01/13  04:00:00,7.701799
01/13  05:00:00,8.183556
01/13  06:00:00,8.673819
01/13  07:00:00,8.151386
01/13  08:00:00,12.977719
01/13  09:00:00,7.913186
01/13  10:00:00,2.932462
01/13  11:00:00,1.371372
01/13  12:00:00,1.358428
01/13  13:00:00,1.539477
01/13  14:00:00,5.184590
01/13  15:00:00,7.054313
01/13  16:00:00,6.891884
01/13  17:00:00,3.209752
01/13  18:00:00,2.317793
01/13  19:00:00,2.743562
01/13  20:00:00,2.878632
01/13  21:00:00,2.915017
01/13  22:00:00,2.699626
01/13  23:00:00,2.210158
01/13  24:00:00,1.812815
01/14  01:00:00,1.991120
01/14  02:00:00,3.958774
01/14  03:00:00,5.358635
01/14  04:00:00,6.374618
01/14  05:00:00,7.258692
01/14  06:00:00,7.936924
01/14  07:00:00,7.229007
01/14  08:00:00,11.892011
01/14  09:00:00,6.906918
01/14  10:00:00,2.237126
01/14  11:00:00,1.371372
01/14  12:00:00,1.358428
01/14  13:00:00,3.138198
01/14  14:00:00,9.093061
01/14  15:00:00,14.228049
01/14  16:00:00,15.870215
01/14  17:00:00,13.007504
01/14  18:00:00,6.976535
01/14  19:00:00,3.599282
01/14  20:00:00,2.883476
01/14  21:00:00,2.915017
01/14  22:00:00,2.699626
01/14  23:00:00,2.210158
01/14  24:00:00,1.812815
01/15  01:00:00,1.478573
01/15  02:00:00,1.480606
01/15  03:00:00,3.233988
01/15  04:00:00,4.626100
01/15  05:00:00,5.551443
01/15  06:00:00,6.407676
01/15  07:00:00,6.236330
01/15  08:00:00,10.918555
01/15  09:00:00,5.151252
01/15  10:00:00,1.571842
01/15  11:00:00,1.371372
01/15  12:00:00,1.358428
01/15  13:00:00,4.972229
01/15  14:00:00,11.889212
01/15  15:00:00,15.543588
01/15  16:00:00,13.878784
01/15  17:00:00,9.028799
01/15  18:00:00,3.238292
01/15  19:00:00,3.031389
01/15  20:00:00,2.878632
01/15  21:00:00,2.915017
01/15  22:00:00,2.699626
01/15  23:00:00,2.210158
01/15  24:00:00,1.812815
01/16  01:00:00,1.478573
01/16  02:00:00,1.891963
01/16  03:00:00,3.691752
01/16  04:00:00,4.795046
01/16  05:00:00,5.799735
01/16  06:00:00,6.763012
01/16  07:00:00,6.363588
01/16  08:00:00,11.532454
01/16  09:00:00,7.007038
01/16  10:00:00,2.543761
01/16  11:00:00,1.371372
01/16  12:00:00,1.358428
01/16  13:00:00,1.797869
01/16  14:00:00,5.389734
01/16  15:00:00,8.166570
01/16  16:00:00,8.179153
01/16  17:00:00,5.020408
01/16  18:00:00,3.064429
01/16  19:00:00,2.743562
01/16  20:00:00,2.878632
01/16  21:00:00,2.915017
01/16  22:00:00,2.699626
01/16  23:00:00,2.210158
01/16  24:00:00,1.812815
01/17  01:00:00,1.481780
01/17  02:00:00,1.381972
01/17  03:00:00,2.715163
01/17  04:00:00,4.198560
01/17  05:00:00,4.902440
01/17  06:00:00,5.574700
01/17  07:00:00,5.950158
01/17  08:00:00,9.560729
01/17  09:00:00,4.612958
01/17  10:00:00,1.480535
01/17  11:00:00,1.392809
01/17  12:00:00,1.378337
01/17  13:00:00,5.127806
01/17  14:00:00,11.502329
01/17  15:00:00,14.507554
01/17  16:00:00,12.987612
01/17  17:00:00,8.315056
01/17  18:00:00,5.837915
01/17  19:00:00,3.344634
01/17  20:00:00,2.897698
01/17  21:00:00,2.932604
01/17  22:00:00,2.715273
01/17  23:00:00,2.221310
01/17  24:00:00,1.819351
01/18  01:00:00,1.481780
01/18  02:00:00,1.373228
01/18  03:00:00,1.917759
01/18  04:00:00,3.404329
01/18  05:00:00,4.338181
01/18  06:00:00,5.136510
01/18  07:00:00,5.603748
01/18  08:00:00,9.402361
01/18  09:00:00,4.535348
01/18  10:00:00,1.438554
01/18  11:00:00,1.392809
01/18  12:00:00,1.378337
01/18  13:00:00,4.907009
01/18  14:00:00,11.790983
01/18  15:00:00,15.368331
01/18  16:00:00,13.446588
01/18  17:00:00,7.164883
01/18  18:00:00,3.249708
01/18  19:00:00,2.760810
01/18  20:00:00,2.897698
01/18  21:00:00,2.932604
01/18  22:00:00,2.715273
01/18  23:00:00,2.221310
01/18  24:00:00,1.819351
01/19  01:00:00,1.481780
01/19  02:00:00,1.373228
01/19  03:00:00,2.687888
01/19  04:00:00,4.015739
01/19  05:00:00,4.895632
01/19  06:00:00,5.681666
01/19  07:00:00,6.101351
01/19  08:00:00,10.171404
01/19  09:00:00,5.354702
01/19  10:00:00,1.768326
01/19  11:00:00,1.392809
01/19  12:00:00,1.378337
01/19  13:00:00,1.352068
01/19  14:00:00,1.384410
01/19  15:00:00,1.422107
01/19  16:00:00,1.533294
01/19  17:00:00,1.903079
01/19  18:00:00,2.332318
01/19  19:00:00,2.760810
01/19  20:00:00,2.897698
01/19  21:00:00,2.932604
01/19  22:00:00,2.715273
01/19  23:00:00,2.887361
01/19  24:00:00,1.819351
01/20  01:00:00,2.155828
01/20  02:00:00,3.900488
01/20  03:00:00,5.063027
01/20  04:00:00,6.034901
01/20  05:00:00,6.686675
01/20  06:00:00,7.340536
01/20  07:00:00,7.000678
01/20  08:00:00,11.571563
01/20  09:00:00,5.882753
01/20  10:00:00,1.757589
01/20  11:00:00,1.371372
01/20  12:00:00,1.358428
01/20  13:00:00,1.861818
01/20  14:00:00,5.113539
01/20  15:00:00,5.655372
01/20  16:00:00,5.440947
01/20  17:00:00,3.030136
01/20  18:00:00,2.437292
01/20  19:00:00,2.743562
01/20  20:00:00,2.878632
01/20  21:00:00,2.915017
01/20  22:00:00,2.699626
01/20  23:00:00,2.210158
01/20  24:00:00,1.852815
01/21  01:00:00,2.367410
01/21  02:00:00,4.700244
01/21  03:00:00,6.233791
