Date/Time,kW
01/01  01:00:00,1.481780
01/01  02:00:00,1.373228
01/01  03:00:00,1.352250
01/01  04:00:00,1.340710
01/01  05:00:00,1.511047
01/01  06:00:00,1.834695
01/01  07:00:00,1.998555
01/01  08:00:00,2.054365
01/01  09:00:00,1.701409
01/01  10:00:00,1.471790
01/01  11:00:00,1.413747
01/01  12:00:00,1.379217
01/01  13:00:00,1.352068
01/01  14:00:00,1.384410
01/01  15:00:00,1.422107
01/01  16:00:00,1.533294
01/01  17:00:00,1.924289
01/01  18:00:00,2.383382
01/01  19:00:00,2.852083
01/01  20:00:00,3.041314
01/01  21:00:00,3.094149
01/01  22:00:00,2.879994
01/01  23:00:00,2.443914
01/01  24:00:00,2.100507
01/02  01:00:00,1.775628
01/02  02:00:00,1.691368
01/02  03:00:00,1.679978
01/02  04:00:00,1.672514
01/02  05:00:00,1.727143
01/02  06:00:00,1.963385
01/02  07:00:00,2.048713
01/02  08:00:00,2.134205
01/02  09:00:00,1.812965
01/02  10:00:00,1.616585
01/02  11:00:00,1.643612
01/02  12:00:00,1.640567
01/02  13:00:00,1.611907
01/02  14:00:00,1.643647
01/02  15:00:00,1.700815
01/02  16:00:00,1.839996
01/02  17:00:00,2.226072
01/02  18:00:00,2.666826
01/02  19:00:00,3.059879
01/02  20:00:00,3.195611
01/02  21:00:00,3.233857
01/02  22:00:00,3.034166
01/02  23:00:00,2.592521
01/02  24:00:00,2.215799
01/03  01:00:00,1.882974
01/03  02:00:00,1.795793
01/03  03:00:00,1.789213
01/03  04:00:00,1.773108
01/03  05:00:00,1.819009
01/03  06:00:00,2.072745
01/03  07:00:00,2.192212
01/03  08:00:00,2.228354
01/03  09:00:00,1.875464
01/03  10:00:00,1.654509
01/03  11:00:00,1.631488
01/03  12:00:00,1.567532
01/03  13:00:00,1.528962
01/03  14:00:00,1.533756
01/03  15:00:00,1.556166
01/03  16:00:00,1.701234
01/03  17:00:00,2.124985
01/03  18:00:00,2.557690
01/03  19:00:00,2.983256
01/03  20:00:00,3.138813
01/03  21:00:00,3.199053
01/03  22:00:00,3.036183
01/03  23:00:00,2.616552
01/03  24:00:00,2.246773
01/04  01:00:00,1.927729
01/04  02:00:00,1.837951
01/04  03:00:00,1.830234
01/04  04:00:00,1.815834
01/04  05:00:00,1.862532
01/04  06:00:00,2.117078
01/04  07:00:00,2.227984
01/04  08:00:00,2.261852
01/04  09:00:00,1.908860
01/04  10:00:00,1.668124
01/04  11:00:00,1.576733
01/04  12:00:00,1.525930
01/04  13:00:00,1.460750
01/04  14:00:00,1.446202
01/04  15:00:00,1.501004
01/04  16:00:00,1.631499
01/04  17:00:00,2.042893
01/04  18:00:00,2.494580
01/04  19:00:00,2.945108
01/04  20:00:00,3.119394
01/04  21:00:00,3.197335
01/04  22:00:00,3.021572
01/04  23:00:00,2.580283
01/04  24:00:00,2.228242
01/05  01:00:00,1.922125
01/05  02:00:00,1.843416
01/05  03:00:00,1.836650
01/05  04:00:00,1.821411
01/05  05:00:00,1.871542
01/05  06:00:00,2.128565
01/05  07:00:00,2.226455
01/05  08:00:00,2.290136
01/05  09:00:00,1.909338
01/05  10:00:00,1.670717
01/05  11:00:00,1.630031
01/05  12:00:00,1.572953
01/05  13:00:00,1.504374
01/05  14:00:00,1.511898
01/05  15:00:00,1.537965
01/05  16:00:00,1.657454
01/05  17:00:00,2.084960
01/05  18:00:00,2.563360
01/05  19:00:00,2.970984
01/05  20:00:00,3.125473
01/05  21:00:00,3.184746
01/05  22:00:00,3.009155
01/05  23:00:00,2.590945
01/05  24:00:00,2.265321
01/06  01:00:00,1.954116
01/06  02:00:00,1.844719
01/06  03:00:00,1.836763
01/06  04:00:00,1.817248
01/06  05:00:00,1.862550
01/06  06:00:00,2.133732
01/06  07:00:00,2.221187
01/06  08:00:00,2.284546
01/06  09:00:00,1.922509
01/06  10:00:00,1.664314
01/06  11:00:00,1.575021
01/06  12:00:00,1.482010
01/06  13:00:00,1.409435
01/06  14:00:00,1.426568
01/06  15:00:00,1.524163
01/06  16:00:00,1.657152
01/06  17:00:00,2.040394
01/06  18:00:00,2.485518
01/06  19:00:00,2.908691
01/06  20:00:00,3.076088
01/06  21:00:00,3.122183
01/06  22:00:00,2.918833
01/06  23:00:00,2.480637
01/06  24:00:00,2.129406
01/07  01:00:00,1.814310
01/07  02:00:00,1.724600
01/07  03:00:00,1.697304
01/07  04:00:00,1.684427
01/07  05:00:00,1.739327
01/07  06:00:00,2.041058
01/07  07:00:00,2.265355
01/07  08:00:00,2.352016
01/07  09:00:00,1.996185
01/07  10:00:00,1.755441
01/07  11:00:00,1.611642
01/07  12:00:00,1.521493
01/07  13:00:00,1.460709
01/07  14:00:00,1.463580
01/07  15:00:00,1.478491
01/07  16:00:00,1.602987
01/07  17:00:00,2.002454
01/07  18:00:00,2.471831
01/07  19:00:00,2.894071
01/07  20:00:00,3.052314
01/07  21:00:00,3.134143
01/07  22:00:00,2.985577
01/07  23:00:00,2.563141
01/07  24:00:00,2.206108
01/08  01:00:00,1.879877
01/08  02:00:00,1.765700
01/08  03:00:00,1.750541
01/08  04:00:00,1.750267
01/08  05:00:00,1.780174
01/08  06:00:00,2.049542
01/08  07:00:00,2.166203
01/08  08:00:00,2.228354
01/08  09:00:00,1.818227
01/08  10:00:00,1.499322
01/08  11:00:00,1.419963
01/08  12:00:00,1.383494
01/08  13:00:00,1.352684
01/08  14:00:00,1.376510
01/08  15:00:00,1.413815
01/08  16:00:00,1.556186
01/08  17:00:00,1.997498
01/08  18:00:00,2.478567
01/08  19:00:00,2.877179
01/08  20:00:00,3.016490
01/08  21:00:00,3.073707
01/08  22:00:00,2.897876
01/08  23:00:00,2.469394
01/08  24:00:00,2.125165
01/09  01:00:00,1.826448
01/09  02:00:00,1.701845
01/09  03:00:00,1.645428
01/09  04:00:00,1.618553
01/09  05:00:00,1.687399
01/09  06:00:00,1.978103
01/09  07:00:00,2.098903
01/09  08:00:00,2.154470
01/09  09:00:00,1.768849
01/09  10:00:00,1.528251
01/09  11:00:00,1.475703
01/09  12:00:00,1.433603
01/09  13:00:00,1.388012
01/09  14:00:00,1.413105
01/09  15:00:00,1.479091
01/09  16:00:00,1.636768
01/09  17:00:00,2.054923
01/09  18:00:00,2.523103
01/09  19:00:00,2.933317
01/09  20:00:00,3.086710
01/09  21:00:00,3.169216
01/09  22:00:00,3.017200
01/09  23:00:00,2.580092
01/09  24:00:00,2.258996
01/10  01:00:00,1.997196
01/10  02:00:00,1.909723
01/10  03:00:00,1.919119
01/10  04:00:00,1.911602
01/10  05:00:00,1.951776
01/10  06:00:00,2.192055
01/10  07:00:00,2.309144
01/10  08:00:00,2.348092
01/10  09:00:00,1.956202
01/10  10:00:00,1.686634
01/10  11:00:00,1.598743
01/10  12:00:00,1.528184
01/10  13:00:00,1.463482
01/10  14:00:00,1.475588
01/10  15:00:00,1.532490
01/10  16:00:00,1.683977
01/10  17:00:00,2.113118
01/10  18:00:00,2.594270
01/10  19:00:00,3.079011
01/10  20:00:00,3.234348
01/10  21:00:00,3.293966
01/10  22:00:00,3.103404
01/10  23:00:00,2.669851
01/10  24:00:00,2.345569
01/11  01:00:00,2.027625
01/11  02:00:00,1.898411
01/11  03:00:00,1.866783
01/11  04:00:00,1.832939
01/11  05:00:00,1.867458
01/11  06:00:00,2.136867
01/11  07:00:00,2.280925
01/11  08:00:00,2.328036
01/11  09:00:00,1.949560
01/11  10:00:00,1.704383
01/11  11:00:00,1.666208
01/11  12:00:00,1.619917
01/11  13:00:00,1.547514
01/11  14:00:00,1.549495
01/11  15:00:00,1.601864
01/11  16:00:00,1.743019
01/11  17:00:00,2.139210
01/11  18:00:00,2.557593
01/11  19:00:00,3.002408
01/11  20:00:00,3.155703
01/11  21:00:00,3.188078
01/11  22:00:00,2.993206
01/11  23:00:00,2.545729
01/11  24:00:00,2.180492
01/12  01:00:00,1.878473
01/12  02:00:00,1.826532
01/12  03:00:00,1.833177
01/12  04:00:00,1.813518
01/12  05:00:00,1.869560
01/12  06:00:00,2.155314
01/12  07:00:00,2.258267
01/12  08:00:00,2.310428
01/12  09:00:00,1.907897
01/12  10:00:00,1.621070
01/12  11:00:00,1.552483
01/12  12:00:00,1.488719
01/12  13:00:00,1.427214
01/12  14:00:00,1.442849
01/12  15:00:00,1.493876
01/12  16:00:00,1.625461
01/12  17:00:00,2.040476
01/12  18:00:00,2.529182
01/12  19:00:00,2.967337
01/12  20:00:00,3.110360
01/12  21:00:00,3.202945
01/12  22:00:00,3.082332
01/12  23:00:00,2.651189
01/12  24:00:00,2.286253
01/13  01:00:00,1.982040
01/13  02:00:00,1.880021
01/13  03:00:00,1.886216
01/13  04:00:00,1.907722
01/13  05:00:00,1.949891
01/13  06:00:00,2.222884
01/13  07:00:00,2.304937
01/13  08:00:00,2.330814
01/13  09:00:00,1.917711
01/13  10:00:00,1.619855
01/13  11:00:00,1.536411
01/13  12:00:00,1.459696
01/13  13:00:00,1.394772
01/13  14:00:00,1.398013
01/13  15:00:00,1.423803
01/13  16:00:00,1.542244
01/13  17:00:00,1.951914
01/13  18:00:00,2.427432
01/13  19:00:00,2.853428
01/13  20:00:00,3.034217
01/13  21:00:00,3.126172
01/13  22:00:00,2.936982
01/13  23:00:00,2.511449
01/13  24:00:00,2.180144
01/14  01:00:00,1.879281
01/14  02:00:00,1.819088
01/14  03:00:00,1.825643
01/14  04:00:00,1.790332
01/14  05:00:00,1.834583
01/14  06:00:00,2.126215
01/14  07:00:00,2.242771
01/14  08:00:00,2.313146
01/14  09:00:00,1.903121
01/14  10:00:00,1.595717
01/14  11:00:00,1.508189
01/14  12:00:00,1.426134
01/14  13:00:00,1.354738
01/14  14:00:00,1.368428
01/14  15:00:00,1.407518
01/14  16:00:00,1.519571
01/14  17:00:00,1.935390
01/14  18:00:00,2.463815
01/14  19:00:00,2.924867
01/14  20:00:00,3.082870
01/14  21:00:00,3.125845
01/14  22:00:00,2.946541
01/14  23:00:00,2.518060
01/14  24:00:00,2.164165
01/15  01:00:00,1.835364
01/15  02:00:00,1.750820
01/15  03:00:00,1.780622
01/15  04:00:00,1.778321
01/15  05:00:00,1.806783
01/15  06:00:00,2.096023
01/15  07:00:00,2.225419
01/15  08:00:00,2.259911
01/15  09:00:00,1.839009
01/15  10:00:00,1.560977
01/15  11:00:00,1.473389
01/15  12:00:00,1.393348
01/15  13:00:00,1.345048
01/15  14:00:00,1.367655
01/15  15:00:00,1.407518
01/15  16:00:00,1.519571
01/15  17:00:00,1.889167
01/15  18:00:00,2.327057
01/15  19:00:00,2.800611
01/15  20:00:00,3.012481
01/15  21:00:00,3.091118
01/15  22:00:00,2.926223
01/15  23:00:00,2.501560
01/15  24:00:00,2.163326
01/16  01:00:00,1.868166
01/16  02:00:00,1.781816
01/16  03:00:00,1.773405
01/16  04:00:00,1.773224
01/16  05:00:00,1.826270
01/16  06:00:00,2.072229
01/16  07:00:00,2.154472
01/16  08:00:00,2.233006
01/16  09:00:00,1.849545
01/16  10:00:00,1.566645
01/16  11:00:00,1.504400
01/16  12:00:00,1.404257
01/16  13:00:00,1.339233
01/16  14:00:00,1.367655
01/16  15:00:00,1.407518
01/16  16:00:00,1.519571
01/16  17:00:00,1.893606
01/16  18:00:00,2.343491
01/16  19:00:00,2.789028
01/16  20:00:00,2.966564
01/16  21:00:00,3.047360
01/16  22:00:00,2.875332
01/16  23:00:00,2.443815
01/16  24:00:00,2.108984
01/17  01:00:00,1.822142
01/17  02:00:00,1.725303
01/17  03:00:00,1.704739
01/17  04:00:00,1.700396
01/17  05:00:00,1.763566
01/17  06:00:00,2.041681
01/17  07:00:00,2.165694
01/17  08:00:00,2.179816
01/17  09:00:00,1.760901
01/17  10:00:00,1.451756
01/17  11:00:00,1.397131
01/17  12:00:00,1.378337
01/17  13:00:00,1.352068
01/17  14:00:00,1.384410
01/17  15:00:00,1.422107
01/17  16:00:00,1.533294
01/17  17:00:00,1.903079
01/17  18:00:00,2.332318
01/17  19:00:00,2.760810
01/17  20:00:00,2.897698
01/17  21:00:00,2.989159
01/17  22:00:00,2.855026
01/17  23:00:00,2.436858
01/17  24:00:00,2.087322
01/18  01:00:00,1.784020
01/18  02:00:00,1.700751
01/18  03:00:00,1.693808
01/18  04:00:00,1.686360
01/18  05:00:00,1.740430
01/18  06:00:00,2.018798
01/18  07:00:00,2.166339
01/18  08:00:00,2.188431
01/18  09:00:00,1.761162
01/18  10:00:00,1.475580
01/18  11:00:00,1.423664
01/18  12:00:00,1.386039
01/18  13:00:00,1.352068
01/18  14:00:00,1.384410
01/18  15:00:00,1.422107
01/18  16:00:00,1.533294
01/18  17:00:00,1.903079
01/18  18:00:00,2.332318
01/18  19:00:00,2.760810
01/18  20:00:00,2.947209
01/18  21:00:00,3.018580
01/18  22:00:00,2.871318
01/18  23:00:00,2.479808
01/18  24:00:00,2.138089
01/19  01:00:00,1.831049
01/19  02:00:00,1.735867
01/19  03:00:00,1.732027
01/19  04:00:00,1.698624
01/19  05:00:00,1.725475
01/19  06:00:00,2.007362
01/19  07:00:00,2.081054
01/19  08:00:00,2.069636
01/19  09:00:00,1.665732
