Date/Time,kW
01/01  01:00:00,1.561780
01/01  02:00:00,2.206001
01/01  03:00:00,5.345978
01/01  04:00:00,7.727349
01/01  05:00:00,8.571800
01/01  06:00:00,9.306427
01/01  07:00:00,9.988013
01/01  08:00:00,13.134282
01/01  09:00:00,7.276831
01/01  10:00:00,4.544417
01/01  11:00:00,2.817509
01/01  12:00:00,2.284535
01/01  13:00:00,2.044195
01/01  14:00:00,1.922461
01/01  15:00:00,2.122242
01/01  16:00:00,2.900590
01/01  17:00:00,4.128369
01/01  18:00:00,4.787335
01/01  19:00:00,5.848148
01/01  20:00:00,6.303151
01/01  21:00:00,6.794251
01/01  22:00:00,8.276305
01/01  23:00:00,9.901919
01/01  24:00:00,19.128992
01/02  01:00:00,8.984035
01/02  02:00:00,9.402257
01/02  03:00:00,9.781932
01/02  04:00:00,10.364799
01/02  05:00:00,10.661939
01/02  06:00:00,10.835865
01/02  07:00:00,10.706331
01/02  08:00:00,16.137472
01/02  09:00:00,9.215190
01/02  10:00:00,6.238513
01/02  11:00:00,4.468317
01/02  12:00:00,4.063520
01/02  13:00:00,3.604975
01/02  14:00:00,3.689574
01/02  15:00:00,4.174643
01/02  16:00:00,4.537377
01/02  17:00:00,5.066084
01/02  18:00:00,5.667719
01/02  19:00:00,5.920227
01/02  20:00:00,6.837820
01/02  21:00:00,7.344130
01/02  22:00:00,7.436708
01/02  23:00:00,8.638341
01/02  24:00:00,11.531112
01/03  01:00:00,7.328166
01/03  02:00:00,7.772456
01/03  03:00:00,9.501742
01/03  04:00:00,9.672481
01/03  05:00:00,9.682281
01/03  06:00:00,10.053555
01/03  07:00:00,10.265280
01/03  08:00:00,10.885452
01/03  09:00:00,7.556813
01/03  10:00:00,5.348842
01/03  11:00:00,3.861588
01/03  12:00:00,3.085195
01/03  13:00:00,3.132055
01/03  14:00:00,3.378683
01/03  15:00:00,3.738776
01/03  16:00:00,4.059182
01/03  17:00:00,4.735082
01/03  18:00:00,5.022669
01/03  19:00:00,5.610086
