Date/Time,kW
01/01  01:00:00,1.561780
01/01  02:00:00,1.968620
01/01  03:00:00,4.112460
01/01  04:00:00,5.882651
01/01  05:00:00,6.440957
01/01  06:00:00,7.037055
01/01  07:00:00,7.571908
01/01  08:00:00,9.742480
01/01  09:00:00,5.497553
01/01  10:00:00,3.567334
01/01  11:00:00,2.391055
01/01  12:00:00,2.022253
01/01  13:00:00,1.845480
01/01  14:00:00,1.751821
01/01  15:00:00,1.900328
01/01  16:00:00,2.467174
01/01  17:00:00,3.447367
01/01  18:00:00,4.034031
01/01  19:00:00,4.894873
01/01  20:00:00,5.249478
01/01  21:00:00,5.596560
01/01  22:00:00,6.621215
01/01  23:00:00,7.658065
01/01  24:00:00,15.242079
01/02  01:00:00,6.806595
01/02  02:00:00,7.098609
01/02  03:00:00,7.351013
01/02  04:00:00,7.764182
01/02  05:00:00,7.996469
01/02  06:00:00,8.194023
01/02  07:00:00,8.170542
01/02  08:00:00,12.421372
01/02  09:00:00,6.872157
01/02  10:00:00,4.716753
01/02  11:00:00,3.511185
01/02  12:00:00,3.226355
01/02  13:00:00,2.885325
01/02  14:00:00,2.953611
01/02  15:00:00,3.297434
01/02  16:00:00,3.580712
01/02  17:00:00,4.059187
01/02  18:00:00,4.630404
01/02  19:00:00,4.938625
01/02  20:00:00,5.608756
01/02  21:00:00,5.966562
01/02  22:00:00,5.961887
01/02  23:00:00,6.692726
01/02  24:00:00,9.281258
01/03  01:00:00,5.503030
01/03  02:00:00,5.839441
01/03  03:00:00,7.360797
01/03  04:00:00,7.480663
01/03  05:00:00,7.462227
01/03  06:00:00,7.838062
01/03  07:00:00,8.070752
01/03  08:00:00,8.050448
01/03  09:00:00,5.681458
01/03  10:00:00,4.112258
01/03  11:00:00,3.080084
01/03  12:00:00,2.544807
01/03  13:00:00,2.568364
01/03  14:00:00,2.747080
01/03  15:00:00,3.005007
01/03  16:00:00,3.258827
01/03  17:00:00,3.837632
01/03  18:00:00,4.170695
01/03  19:00:00,4.732231
01/03  20:00:00,5.126255
01/03  21:00:00,5.269443
01/03  22:00:00,5.401713
01/03  23:00:00,5.762364
01/03  24:00:00,5.544656
01/04  01:00:00,4.846054
01/04  02:00:00,4.971457
01/04  03:00:00,5.151426
01/04  04:00:00,5.374052
01/04  05:00:00,5.358128
01/04  06:00:00,6.430752
01/04  07:00:00,6.927806
01/04  08:00:00,7.343852
01/04  09:00:00,4.767562
01/04  10:00:00,2.751606
01/04  11:00:00,1.725747
01/04  12:00:00,1.473874
01/04  13:00:00,1.352068
01/04  14:00:00,1.384410
01/04  15:00:00,1.422107
01/04  16:00:00,1.533294
01/04  17:00:00,1.903079
01/04  18:00:00,2.332318
01/04  19:00:00,3.039400
01/04  20:00:00,3.939445
01/04  21:00:00,4.596777
01/04  22:00:00,4.767567
01/04  23:00:00,5.354920
01/04  24:00:00,4.765419
01/05  01:00:00,4.614140
01/05  02:00:00,4.845464
01/05  03:00:00,5.075385
01/05  04:00:00,5.308915
01/05  05:00:00,5.168041
01/05  06:00:00,5.664145
01/05  07:00:00,5.403373
01/05  08:00:00,7.642684
01/05  09:00:00,5.324024
01/05  10:00:00,2.965888
01/05  11:00:00,1.700269
01/05  12:00:00,1.437149
01/05  13:00:00,1.334226
01/05  14:00:00,1.367655
01/05  15:00:00,1.407518
01/05  16:00:00,1.519571
01/05  17:00:00,1.889167
01/05  18:00:00,2.473811
01/05  19:00:00,2.878883
01/05  20:00:00,3.552657
01/05  21:00:00,4.348777
01/05  22:00:00,4.892830
01/05  23:00:00,5.241282
01/05  24:00:00,4.611242
01/06  01:00:00,4.854910
01/06  02:00:00,4.991783
01/06  03:00:00,5.044178
01/06  04:00:00,5.166124
01/06  05:00:00,5.378103
01/06  06:00:00,5.632360
01/06  07:00:00,5.287248
01/06  08:00:00,7.450119
01/06  09:00:00,5.187593
01/06  10:00:00,2.900326
01/06  11:00:00,1.708957
01/06  12:00:00,1.411327
01/06  13:00:00,1.334226
01/06  14:00:00,1.367655
01/06  15:00:00,1.407518
01/06  16:00:00,1.519571
01/06  17:00:00,1.889167
01/06  18:00:00,2.317793
01/06  19:00:00,2.743562
01/06  20:00:00,2.888820
01/06  21:00:00,3.207386
01/06  22:00:00,3.599132
01/06  23:00:00,3.895840
01/06  24:00:00,2.693326
01/07  01:00:00,3.460477
01/07  02:00:00,3.644515
01/07  03:00:00,3.750385
01/07  04:00:00,3.892920
01/07  05:00:00,3.978298
01/07  06:00:00,4.401711
01/07  07:00:00,4.222374
01/07  08:00:00,5.731959
01/07  09:00:00,3.731352
01/07  10:00:00,2.258588
01/07  11:00:00,1.610224
01/07  12:00:00,1.413556
01/07  13:00:00,1.334226
01/07  14:00:00,1.367655
01/07  15:00:00,1.407518
01/07  16:00:00,1.519571
01/07  17:00:00,1.889167
01/07  18:00:00,2.317793
01/07  19:00:00,2.743562
01/07  20:00:00,2.878632
01/07  21:00:00,2.915017
01/07  22:00:00,3.097149
01/07  23:00:00,4.042583
01/07  24:00:00,3.639988
01/08  01:00:00,3.341854
01/08  02:00:00,3.422168
01/08  03:00:00,3.513646
01/08  04:00:00,4.201052
01/08  05:00:00,4.609792
01/08  06:00:00,5.109502
01/08  07:00:00,5.036970
01/08  08:00:00,6.844097
01/08  09:00:00,3.970075
01/08  10:00:00,2.370386
01/08  11:00:00,1.583450
01/08  12:00:00,1.363619
01/08  13:00:00,1.334226
01/08  14:00:00,1.367655
01/08  15:00:00,1.407518
01/08  16:00:00,1.519571
01/08  17:00:00,1.889167
01/08  18:00:00,2.467393
01/08  19:00:00,2.925383
01/08  20:00:00,3.290191
01/08  21:00:00,3.560720
01/08  22:00:00,3.821941
01/08  23:00:00,4.050117
01/08  24:00:00,3.650158
01/09  01:00:00,4.064883
01/09  02:00:00,3.431384
01/09  03:00:00,3.896744
01/09  04:00:00,4.296736
01/09  05:00:00,4.602311
01/09  06:00:00,4.890325
01/09  07:00:00,4.609573
01/09  08:00:00,6.432699
01/09  09:00:00,4.180545
01/09  10:00:00,2.711866
01/09  11:00:00,1.815125
01/09  12:00:00,1.511551
01/09  13:00:00,1.375045
01/09  14:00:00,1.367655
01/09  15:00:00,1.407518
01/09  16:00:00,1.519571
01/09  17:00:00,2.091371
01/09  18:00:00,2.911128
01/09  19:00:00,3.109523
01/09  20:00:00,3.754019
01/09  21:00:00,4.373245
01/09  22:00:00,4.616442
01/09  23:00:00,4.994777
01/09  24:00:00,5.788314
01/10  01:00:00,5.621422
01/10  02:00:00,4.626778
01/10  03:00:00,4.603199
01/10  04:00:00,4.356278
01/10  05:00:00,4.219920
01/10  06:00:00,4.443365
01/10  07:00:00,4.615380
01/10  08:00:00,5.927965
01/10  09:00:00,3.445961
01/10  10:00:00,1.988547
01/10  11:00:00,1.515885
01/10  12:00:00,1.381402
01/10  13:00:00,1.352068
01/10  14:00:00,1.384410
01/10  15:00:00,1.422107
01/10  16:00:00,1.533294
01/10  17:00:00,1.903079
01/10  18:00:00,2.332318
01/10  19:00:00,2.927598
01/10  20:00:00,3.585497
01/10  21:00:00,4.284453
01/10  22:00:00,4.628827
01/10  23:00:00,5.064721
01/10  24:00:00,4.252483
01/11  01:00:00,4.202210
01/11  02:00:00,4.327790
01/11  03:00:00,4.284457
01/11  04:00:00,4.640994
01/11  05:00:00,5.062778
01/11  06:00:00,5.506147
01/11  07:00:00,5.753881
01/11  08:00:00,7.108263
01/11  09:00:00,4.743893
01/11  10:00:00,2.872385
01/11  11:00:00,1.780846
01/11  12:00:00,1.545852
01/11  13:00:00,1.402459
01/11  14:00:00,1.385982
01/11  15:00:00,1.422107
01/11  16:00:00,1.606566
01/11  17:00:00,2.208838
01/11  18:00:00,2.740375
01/11  19:00:00,3.384517
01/11  20:00:00,3.834317
01/11  21:00:00,4.311397
01/11  22:00:00,4.336500
01/11  23:00:00,4.474596
01/11  24:00:00,3.640038
01/12  01:00:00,3.810131
01/12  02:00:00,4.350213
01/12  03:00:00,4.720748
01/12  04:00:00,4.987254
01/12  05:00:00,5.441626
01/12  06:00:00,5.785488
01/12  07:00:00,5.305299
01/12  08:00:00,7.324729
01/12  09:00:00,4.453748
01/12  10:00:00,2.496779
01/12  11:00:00,1.570069
01/12  12:00:00,1.363130
01/12  13:00:00,1.334226
01/12  14:00:00,1.367655
01/12  15:00:00,1.407518
