Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,4.3784
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,5.0541
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,6.214
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,10.3272
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,3.9361
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,3.6241
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,3.4506
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,3.4456
CZ10,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,3.2909
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,4.3784
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,5.0581
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,6.2287
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,10.3272
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,3.9336
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,3.621
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,3.4506
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,3.4446
CZ10,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,3.2909
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,10.1216
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,11.9717
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,15.1477
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,26.4101
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,8.9105
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,8.0561
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,7.5813
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,7.5675
CZ10,SFm&2&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,7.144
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,10.1216
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,11.9826
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,15.1879
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,26.41
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,8.9035
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,8.0477
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,7.5813
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,7.5647
CZ10,SFm&2&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,7.144
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,7.0011
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,8.3101
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,10.5571
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,18.5256
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,6.1442
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,5.5397
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,5.2037
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,5.194
CZ11,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,4.8943
CZ11,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,7.0011
CZ11,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,8.3178
