Hour,LoadShape
1,4.985492376e-05
2,4.6625087e-05
3,4.588114779e-05
4,4.514277179e-05
5,4.755688101e-05
6,5.66967323e-05
7,5.891964515e-05
8,6.194140071e-05
9,5.328913127e-05
10,4.860995354e-05
11,4.605891306e-05
12,4.405298663e-05
13,4.315521306e-05
14,4.396249395e-05
15,4.450668725e-05
16,4.824203714e-05
17,6.066329134e-05
18,7.6983763e-05
19,9.516393963e-05
20,0.0001001993902
21,0.0001004840068
22,9.17525718e-05
23,7.44855979e-05
24,6.051265168e-05
25,4.969908796e-05
26,4.889338018e-05
27,6.879972893e-05
28,9.098740116e-05
29,0.0001110945321
30,0.0001118505619
31,8.226105153e-05
32,9.840531106e-05
33,7.160843274e-05
34,4.766753206e-05
35,4.436933752e-05
36,4.308555682e-05
37,4.228823037e-05
38,4.314834221e-05
39,4.379780852e-05
40,4.757516206e-05
41,6.322680077e-05
42,7.757377504e-05
43,9.432579505e-05
44,9.927291894e-05
45,9.962942236e-05
46,9.099225468e-05
47,7.394369606e-05
48,8.722546502e-05
49,9.169923638e-05
50,9.695727103e-05
51,0.000101139859
52,0.000102024966
53,0.0001019169675
54,0.0001086869636
55,0.0001104708931
56,9.432938242e-05
57,7.370670089e-05
58,6.730666522e-05
59,6.162842954e-05
60,5.921157933e-05
61,5.101119103e-05
62,4.590621422e-05
63,4.450668725e-05
64,4.824203714e-05
65,6.066329134e-05
66,7.827957651e-05
67,9.516393963e-05
68,0.0001001993902
69,0.0001004840068
70,9.17525718e-05
71,9.870132025e-05
72,0.0001098118798
73,0.000107035281
74,0.0001115767732
75,0.0001169183248
76,0.0001365876299
77,0.0001544380933
78,0.0001681529814
79,0.0001753965909
80,0.0001454615782
81,7.747974835e-05
82,4.620733967e-05
83,4.476309955e-05
84,4.405298663e-05
85,4.315521306e-05
86,4.396249395e-05
87,4.450668725e-05
88,4.824203714e-05
89,6.066329134e-05
90,7.439213597e-05
91,9.127649909e-05
92,9.63119497e-05
93,9.659656624e-05
94,8.786513126e-05
95,7.059815736e-05
96,7.013456249e-05
97,8.415434609e-05
98,9.405522996e-05
99,0.0001091853229
100,0.0001068707895
101,0.000120684702
102,0.0001373671021
103,0.0001190287877
104,0.0001136033443
105,7.1309101e-05
106,4.497548493e-05
107,4.372143076e-05
108,4.308555682e-05
109,4.228823037e-05
110,4.314834221e-05
111,4.379780852e-05
112,4.757516206e-05
113,5.998726698e-05
114,7.36863345e-05
115,9.043835451e-05
116,9.53854784e-05
117,9.574198182e-05
118,8.710481414e-05
119,7.005625552e-05
120,5.644618237e-05
121,7.102705364e-05
122,8.940249147e-05
123,8.323873696e-05
124,7.846499671e-05
125,9.27799014e-05
126,9.558369386e-05
127,6.847726623e-05
128,6.279287279e-05
129,4.854549177e-05
130,4.36791435e-05
131,4.372143076e-05
132,4.308555682e-05
133,4.228823037e-05
134,4.314834221e-05
135,4.379780852e-05
136,4.757516206e-05
137,5.998726698e-05
138,7.36863345e-05
139,9.043835451e-05
140,9.53854784e-05
141,9.574198182e-05
142,8.710481414e-05
143,7.005625552e-05
144,5.630762411e-05
145,5.997750525e-05
146,7.383852872e-05
147,7.791087552e-05
148,8.051794516e-05
149,8.81483742e-05
150,0.0001090772311
151,9.624953919e-05
152,0.0001013677707
153,8.502195632e-05
154,5.897498985e-05
155,4.550822414e-05
156,4.308555682e-05
157,4.228823037e-05
158,4.314834221e-05
159,4.379780852e-05
