Hour,LoadShape
1,2.008990952e-05
2,1.913974427e-05
3,2.108979553e-05
4,2.182132837e-05
5,2.293464045e-05
6,2.673727489e-05
7,2.88009542e-05
8,3.233210194e-05
9,2.485993613e-05
10,2.083898482e-05
11,1.980103373e-05
12,1.924910916e-05
13,1.875309696e-05
14,1.913259514e-05
15,1.976125518e-05
16,2.17098782e-05
17,2.724882043e-05
18,3.322813669e-05
19,3.947248556e-05
20,4.154826924e-05
21,4.23407667e-05
22,4.020238706e-05
23,3.461138712e-05
24,2.899911958e-05
25,2.427711757e-05
26,2.325613504e-05
27,2.328590957e-05
28,2.335386247e-05
29,2.403768704e-05
30,2.745062409e-05
31,2.892771633e-05
32,3.197311451e-05
33,2.575059052e-05
34,2.167413688e-05
35,2.061741065e-05
36,2.018936019e-05
37,1.960877101e-05
38,2.009744614e-05
39,2.093834257e-05
40,2.262885357e-05
41,2.774571337e-05
42,3.362978809e-05
43,3.92908632e-05
44,4.166506442e-05
45,4.248611694e-05
46,3.978353091e-05
47,3.412881238e-05
48,2.874097962e-05
49,2.408725277e-05
50,2.282011426e-05
51,2.273807971e-05
52,2.253062987e-05
53,2.314152066e-05
54,2.661974725e-05
55,2.832328221e-05
56,3.108281152e-05
57,2.517156584e-05
58,2.135173395e-05
59,2.053885961e-05
60,1.982975625e-05
61,1.952415771e-05
62,2.010823616e-05
63,2.083775526e-05
64,2.248444391e-05
65,2.770291058e-05
66,3.34292496e-05
67,3.930347635e-05
68,4.142067885e-05
69,4.200517717e-05
70,3.941634065e-05
71,3.358487394e-05
72,2.72981272e-05
73,2.343319487e-05
74,2.219957674e-05
75,2.212095538e-05
76,2.20711017e-05
77,2.256968933e-05
78,2.642692793e-05
79,2.830801982e-05
80,3.114450763e-05
81,2.42669247e-05
82,2.006840469e-05
83,1.920677045e-05
84,1.877834795e-05
85,1.833128574e-05
86,1.876977369e-05
87,1.928086495e-05
88,2.078834595e-05
89,2.58018664e-05
90,3.162147301e-05
91,3.770292522e-05
92,4.031139628e-05
93,4.132774401e-05
94,3.876902991e-05
95,3.316069269e-05
96,2.702422356e-05
97,2.314340331e-05
98,2.203216028e-05
99,2.201792972e-05
100,2.198165256e-05
101,2.234664054e-05
102,2.606622999e-05
103,2.737202692e-05
104,3.051021391e-05
105,2.46170732e-05
106,2.001551969e-05
107,1.89127036e-05
108,1.849302925e-05
109,1.808938825e-05
110,1.85426166e-05
111,1.908308016e-05
112,2.060228063e-05
113,2.561324833e-05
114,3.157866016e-05
115,3.732815128e-05
116,3.968720998e-05
117,4.093613132e-05
118,3.869908482e-05
119,3.290203855e-05
120,2.702514481e-05
121,2.338529213e-05
