Hour,LoadShape
1,3.931870356e-05
2,3.745910007e-05
3,4.127561736e-05
4,4.27073273e-05
5,4.488623147e-05
6,5.232850771e-05
7,5.636741067e-05
8,6.327835026e-05
9,4.865429872e-05
10,4.078474648e-05
11,3.875333407e-05
12,3.767314214e-05
13,3.670237834e-05
14,3.744510825e-05
15,3.867548202e-05
16,4.248920406e-05
17,5.332967236e-05
18,6.503201294e-05
19,7.725305864e-05
20,8.131565151e-05
21,8.286667754e-05
22,7.868157582e-05
23,6.773922343e-05
24,5.675524746e-05
25,4.751364299e-05
26,4.55154404e-05
27,4.557371322e-05
28,4.570670636e-05
29,4.704504466e-05
30,5.372462975e-05
31,5.661550152e-05
32,6.257576272e-05
33,5.039743131e-05
34,4.24192534e-05
35,4.035109548e-05
36,3.951334212e-05
37,3.837704962e-05
38,3.933345375e-05
39,4.097920319e-05
40,4.428776467e-05
41,5.430215989e-05
42,6.581809973e-05
43,7.689759882e-05
44,8.154423567e-05
45,8.315114786e-05
46,7.786181697e-05
47,6.67947586e-05
48,5.62500322e-05
49,4.714205159e-05
50,4.466208803e-05
51,4.450153519e-05
52,4.409552745e-05
53,4.529112437e-05
54,5.209849002e-05
55,5.543254119e-05
56,6.083331787e-05
57,4.926420073e-05
58,4.178826672e-05
59,4.019736035e-05
60,3.880954798e-05
61,3.821144981e-05
62,3.93545713e-05
63,4.078234006e-05
64,4.40051352e-05
65,5.421838897e-05
66,6.542561845e-05
67,7.692228448e-05
68,8.106593965e-05
69,8.220988287e-05
70,7.714317536e-05
71,6.57301966e-05
72,5.342617247e-05
73,4.586197073e-05
74,4.344761114e-05
75,4.329373838e-05
76,4.319616791e-05
77,4.417197216e-05
78,5.172111621e-05
79,5.540267059e-05
80,6.09540656e-05
81,4.749369416e-05
82,3.927661566e-05
83,3.759027948e-05
84,3.675179798e-05
85,3.587683604e-05
86,3.673501699e-05
87,3.773529255e-05
88,4.068563927e-05
89,5.049778522e-05
90,6.188755214e-05
91,7.378978677e-05
92,7.889492178e-05
93,8.088405345e-05
94,7.587629961e-05
95,6.49000158e-05
96,5.289010555e-05
97,4.529480896e-05
98,4.311995422e-05
99,4.309210305e-05
100,4.302110369e-05
101,4.373543514e-05
102,5.101518096e-05
103,5.357080434e-05
104,5.971266595e-05
105,4.817898271e-05
106,3.917311248e-05
107,3.701475039e-05
108,3.619339023e-05
109,3.540340952e-05
110,3.629043946e-05
111,3.734820064e-05
112,4.032148396e-05
113,5.012863384e-05
114,6.180376154e-05
115,7.305630287e-05
116,7.767330372e-05
117,8.011761378e-05
118,7.57394075e-05
119,6.439379424e-05
120,5.289190856e-05
121,4.57682185e-05
122,4.340915029e-05
123,4.30157127e-05
124,4.272942749e-05
125,4.415242311e-05
126,5.093818573e-05
127,5.333300428e-05
128,5.972591308e-05
129,4.788673842e-05
130,3.902513212e-05
131,3.703074176e-05
132,3.61444161e-05
133,3.540340952e-05
134,3.629043946e-05
135,3.734820064e-05
136,4.032148396e-05
137,5.012863384e-05
138,6.150214061e-05
139,7.279981591e-05
140,7.640279246e-05
141,7.791059524e-05
142,7.336859562e-05
143,6.191596644e-05
144,4.982468565e-05
145,4.315065609e-05
146,4.088264986e-05
147,4.05995676e-05
148,4.035246031e-05
149,4.152327148e-05
150,4.857651217e-05
151,5.125373789e-05
152,5.668760951e-05
153,4.517909822e-05
154,3.780699567e-05
155,3.684689379e-05
156,3.615047304e-05
157,3.540340952e-05
158,3.629043946e-05
159,3.734820064e-05
160,4.032148396e-05
161,5.012863384e-05
162,6.150214061e-05
163,7.279981591e-05
164,7.638389221e-05
165,7.734935665e-05
166,7.24099916e-05
167,6.221030352e-05
168,5.010901735e-05
169,4.2924058e-05
170,4.044640681e-05
171,4.013570475e-05
172,4.08582264e-05
173,4.264894184e-05
174,4.99280749e-05
