File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,35.66,75.49,27424.65,58063.99
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,35.13,73.81,27016.56,56771.56
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,36.41,77.87,28002.85,59895.12
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,35.93,76.35,27633.75,58726.20
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,35.36,74.57,27199.59,57351.21
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,37.06,79.94,28504.37,61483.47
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,38.01,82.95,29234.96,63797.22
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,39.57,87.89,30434.52,67596.22
CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,44.73,104.22,34400.45,80156.34
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,45.96,110.51,40956.55,98479.34
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,44.53,106.00,39686.49,94457.06
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,48.04,117.10,42810.34,104350.29
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,46.71,112.89,41626.05,100599.63
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,45.19,108.08,40273.48,96316.06
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,49.85,122.83,44423.84,109460.23
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,52.50,131.21,46780.93,116925.14
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,56.85,145.00,50662.66,129218.60
CZ10/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,71.31,190.79,63544.62,170015.76
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,38.16,74.30,29350.64,57149.56
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,37.97,73.70,29203.60,56683.90
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,38.37,74.96,29510.31,57655.23
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,38.16,74.29,29346.00,57134.86
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,38.74,76.15,29797.60,58565.10
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,39.27,77.82,30204.84,59854.81
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,40.08,80.38,30826.93,61824.99
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,41.47,84.78,31894.86,65207.12
CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,46.39,100.37,35681.89,77200.63
