Base TechID,Measure TechID,System Type,Building Type,Building Location,kW_base,kW_meas
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ01,1.2795,1.2775
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ02,3.8497,3.4541
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ03,2.6727,2.4622
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ04,6.825,5.951
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ05,2.9998,2.7386
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ06,2.6728,2.4617
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ07,3.0012,2.7408
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ08,3.9461,3.5414
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ09,4.4396,3.9577
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ10,5.6509,4.9679
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ11,8.4161,7.2815
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ12,6.0926,5.3411
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ13,8.0013,6.9364
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ14,6.5647,5.7293
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ15,9.7472,8.3891
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ16,4.1658,3.73
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ01,1.2795,1.2775
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ02,3.8497,3.4541
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ03,2.6727,2.4622
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ04,6.825,5.951
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ05,2.9998,2.7386
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ06,2.6728,2.4617
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ07,3.0012,2.7408
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-Correct-7.5%UC-AOE,rDXGF,DMo,CZ08,3.9461,3.5414
