Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,NormUnit,Type (Whole Building or End Use),Source Year,TechGroup,TechType,TechID,UEC kWh,UEC kW (peak),UEC Therms
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,8976.49,1.2807,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,9056.45,1.2827,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,9169.79,1.2855,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,9342.93,1.2899,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30%UC-AOE,9640.15,1.2974,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,10694.14,1.3239,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,8932.06,1.2795,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,8976.49,1.2807,835.2011
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,8891.13,1.2785,835.2011
Res,Dmo,New,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NC,8976.49,1.2807,835.2011
