Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,NormUnit,Type (Whole Building or End Use),Source Year,TechGroup,TechType,TechID,Measure TechID,Savings kWh,Savings kW,Savings Therms
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,44.43,0.0012,0.0
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,124.39,0.0032,0.0
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,237.73,0.006,0.0
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,410.87,0.0104,0.0
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,708.09,0.0179,0.0
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,1762.08,0.0444,0.0
Res,Dmo,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,85.36,0.0022,0.0
Res,Dmo,New,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NC,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,85.36,0.0022,0.0
Res,Dmo,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,115.98,0.0011,0.0
Res,Dmo,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,308.59,0.0031,0.0
Res,Dmo,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,549.85,0.006,0.0
Res,Dmo,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,869.16,0.0104,0.0
Res,Dmo,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,1337.82,0.0179,0.0
Res,Dmo,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,2655.32,0.0444,0.0
