Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,NormUnit,Type (Whole Building or End Use),Source Year,TechGroup,TechType,TechID,UEC kWh,UEC kW (peak),UEC Therms
Res,MFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,88590.53,12.8694,5606.7546
Res,MFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,88471.57,12.861,5606.7546
Res,MFm,New,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,88471.57,12.861,5606.7546
Res,MFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,89347.43,12.8694,5606.7546
Res,MFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,87555.13,12.861,5606.7546
Res,MFm,New,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,87555.13,12.861,5606.7546
Res,MFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,102446.77,21.1324,5483.3755
Res,MFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,101821.52,20.4482,5483.3755
Res,MFm,New,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,101821.52,20.4482,5483.3755
Res,MFm,Ex,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,103876.64,21.1324,5483.3755
Res,MFm,Ex,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,100090.26,20.4482,5483.3755
Res,MFm,New,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,100090.26,20.4482,5483.3755
Res,MFm,Ex,rDXGF,3,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,103663.5,17.7388,5502.7395
Res,MFm,Ex,rDXGF,3,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,102852.17,17.3367,5502.7395
