Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,NormUnit,Type (Whole Building or End Use),Source Year,TechGroup,TechType,TechID,Measure TechID,Savings kWh,Savings kW,Savings Therms
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,10.8184,0.0,0.0
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,30.2904,0.0,0.0
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,57.886,0.0,0.0
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,100.0452,0.0,0.0
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,172.4112,0.0,0.0
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,429.0476,0.0,0.0
Res,SFm,Ex,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,20.7876,0.0,0.0
Res,SFm,New,rDXGF,1,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NC,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,20.7876,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,161.4916,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,415.6368,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,708.7628,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,1053.728,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,1478.198,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,2289.5728,0.0,0.0
Res,SFm,Ex,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,129.5288,0.0,0.0
Res,SFm,New,rDXHP,1,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,129.5288,0.0,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,156.144,0.1781,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,437.0892,0.4987,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,835.3236,0.9531,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,1443.6692,1.6472,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,2488.002,2.8388,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,6191.3388,7.0643,0.0
Res,SFm,Ex,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NR,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,299.932,0.3421,0.0
Res,SFm,New,rDXGF,2,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0%UC-NC,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,299.932,0.3421,0.0
Res,SFm,Ex,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,464.5584,0.175,0.0
Res,SFm,Ex,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,1230.0176,0.4961,0.0
Res,SFm,Ex,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,2177.9656,0.9531,0.0
Res,SFm,Ex,rDXHP,2,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,3414.0252,1.6513,0.0
