TechID,System Type,Building Type,Building Location,UEC_ThermMeas__heat,UEC_ThermMeas__cool,UEC_ThermMeas__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,0.0,0.0,0.0
