TechID,System Type,Building Type,Building Location,UEC_kWhMeas__heat,UEC_kWhMeas__cool,UEC_kWhMeas__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,rDXGF,MFm,CZ01,11630.18,1097.78,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,rDXGF,MFm,CZ01,11630.18,1097.78,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,rDXGF,MFm,CZ01,11630.18,1216.73,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,12387.08,1216.73,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,MFm,CZ01,12387.08,1216.73,1325.04
