TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ01,11630.18,1578.33,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ02,18449.64,8296.01,3183.17
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ03,17131.37,10764.95,3814.86
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ04,28453.42,20431.55,6017.97
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ05,18772.44,9645.59,3751.19
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ06,9220.05,12634.34,3283.2
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ07,7456.81,10078.15,2621.08
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ08,8625.55,27589.65,5488.12
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ09,16449.9,27253.69,6172.68
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ10,8438.01,27811.24,5134.45
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ11,16163.39,38726.99,7319.75
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ12,16033.4,16980.0,4236.27
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ13,23924.83,49866.28,9924.5
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ14,23244.1,29580.97,6892.28
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ15,6085.72,88200.22,12945.49
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ16,28509.02,11099.15,5175.49
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ01,11630.18,1578.33,1325.04
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ02,18449.64,8296.01,3183.17
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ03,17131.37,10764.95,3814.86
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ04,28453.42,20431.55,6017.97
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ05,18772.44,9645.59,3751.19
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ06,9220.05,12634.34,3283.2
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ07,7456.81,10078.15,2621.08
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,MFm,CZ08,8625.55,27589.65,5488.12
