TechID,System Type,Building Type,Building Location,UEC_YrkW__base,UEC_YrkW__meas
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ01,2.1121559999999997,2.1121559999999997
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ02,4.637016,4.138268
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ03,2.9328959999999995,2.773776
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ04,9.379,7.916772
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ05,3.5339039999999997,3.256208
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ06,2.58035,2.50082
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ07,2.70538,2.601615
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ08,4.29584,3.88165
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ09,4.500528,4.007702
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ10,5.55747,4.860005999999999
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ11,7.832147,6.630989
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ12,4.973936,4.360239
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ13,8.877044,7.468688
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ14,5.226472000000001,4.538108000000001
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ15,9.938152000000002,8.280536000000001
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ16,3.3490529999999996,3.081157
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ01,2.1121559999999997,2.1121559999999997
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ02,4.637016,4.138268
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ03,2.9328959999999995,2.773776
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ04,9.379,7.916772
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ05,3.5339039999999997,3.256208
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ06,2.58035,2.50082
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ07,2.70538,2.601615
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ08,4.29584,3.88165
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ09,4.500528,4.007702
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ10,5.55747,4.860005999999999
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ11,7.832147,6.630989
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ12,4.973936,4.360239
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ13,8.877044,7.468688
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ14,5.226472000000001,4.538108000000001
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ15,9.938152000000002,8.280536000000001
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ16,3.3490529999999996,3.081157
