TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ01,0.0,132.2056,296.5316
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ02,0.0,1907.8252,833.4944
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ03,0.0,1734.852,716.5156
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ04,0.0,4802.5652,1229.1316
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ05,0.0,1584.236,700.64
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ06,0.0,2290.732,635.51
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ07,0.0,1625.0265,488.438
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ08,0.0,4913.7615,1003.2085
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ09,0.0,4767.1553,1071.0941
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ10,0.0,3802.174,721.3876
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ11,0.0,5006.8121,1019.4018
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ12,0.0,2486.6213,686.9441
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ13,0.0,6953.148,1331.7493
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ14,0.0,3387.032,873.4784
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ15,0.0,11655.1856,1690.8196
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ16,0.0,683.3791,333.7631
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ01,0.0,132.2056,296.5316
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ02,0.0,1907.8252,833.4944
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,rDXGF,SFm,CZ03,0.0,1734.852,716.5156
