Bldg,CZ,Kind,TechID,MappedRun,srcCool,fileCool,MATCH
DMo,1,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,542.97,542.97,Y
DMo,1,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,418.58,418.58,Y
DMo,2,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,2481.25,2481.25,Y
DMo,2,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,1912.79,1912.79,Y
DMo,3,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,2865.01,2865.01,Y
DMo,3,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,2208.63,2208.63,Y
DMo,4,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,5282.43,5282.43,Y
DMo,4,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,4072.21,4072.21,Y
DMo,5,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,2361.57,2361.57,Y
DMo,5,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,1820.53,1820.53,Y
DMo,6,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,4153.44,4153.44,Y
DMo,6,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,3201.88,3201.88,Y
DMo,7,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,3537.56,3537.56,Y
DMo,7,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,2727.1,2727.1,Y
DMo,8,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,6653.92,6653.92,Y
DMo,8,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,5129.49,5129.49,Y
DMo,9,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,7187.44,7187.44,Y
DMo,9,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,5540.78,5540.78,Y
DMo,10,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,6210.88,6210.88,Y
DMo,10,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,4787.95,4787.95,Y
DMo,11,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,9048.17,9048.17,Y
DMo,11,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,6975.21,6975.21,Y
DMo,12,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,5684.06,5684.06,Y
DMo,12,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,4381.83,4381.83,Y
DMo,13,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,9688.04,9688.04,Y
DMo,13,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,7468.49,7468.49,Y
DMo,14,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,7264.38,7264.38,Y
DMo,14,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,5600.1,5600.1,Y
DMo,15,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,17981.5,17981.5,Y
DMo,15,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,13861.9,13861.9,Y
DMo,16,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,2897.13,2897.13,Y
DMo,16,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,2233.39,2233.39,Y
DMo,1,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,542.97,542.97,Y
DMo,1,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,418.58,418.58,Y
DMo,2,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,2481.25,2481.25,Y
DMo,2,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,1912.79,1912.79,Y
DMo,3,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,2865.01,2865.01,Y
DMo,3,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,2208.63,2208.63,Y
DMo,4,base,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5%UC-AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,5282.43,5282.43,Y
DMo,4,meas,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,LRM AOE R22 R410a rDXGF Measure,4072.21,4072.21,Y
