skip,case_name,:vfd_curve_name,:supplyfan_total_eff,:motor_eff,:cooling_coil_cop,:cooling_coil_cop2,:coil_type,:hvac_type,:heating_coil_cop
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15%UC-AOE,,0.12,0.24,2.371318528,,,unitary_system,1.781324593
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,,0.12,0.24,2.159240439,,,unitary_system,1.699053669
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,,0.12,0.24,1.981982491,,,unitary_system,1.624046665
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40%UC-AOE,,0.12,0.24,1.786443757,,,unitary_system,1.533766429
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,,0.12,0.24,2.629594219,,,unitary_system,1.871968324
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,,0.12,0.24,2.951007609,,,unitary_system,1.972331556
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,,0.12,0.24,3.23,,,unitary_system,2.05
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NR,,0.12,0.24,3.270776236,,,unitary_system,2.482251421
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,,0.12,0.24,3.58,,,unitary_system,2.58
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-NC,,0.12,0.24,3.270776236,,,unitary_system,2.482251421
,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,,0.12,0.24,3.58,,,unitary_system,2.58
