File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh)
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-30 gal-0.59 EF/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-30 gal-0.59 EF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.04 16:53",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,34.37,0.0,0.04,687.53,457.71,4132.7,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4458.29,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-30 gal-0.60 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-30 gal-0.60 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.04 16:53",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,34.69,0.0,0.04,687.53,457.71,4132.7,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4500.95,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-30 gal-0.64 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-30 gal-0.64 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.04 16:53",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,33.86,0.0,0.04,687.53,457.71,4132.7,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4389.4,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-30 gal-0.65 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-30 gal-0.65 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.01 15:10",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,34.69,0.0,0.04,687.53,457.71,4132.7,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4500.95,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-30 gal-0.68 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-30 gal-0.68 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.01 15:10",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,33.7,0.0,0.04,687.53,457.71,4132.7,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4367.02,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-30 gal-0.78 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-30 gal-0.78 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.01 15:10",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,28.67,0.0,0.04,687.53,457.71,4132.7,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3687.63,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.58 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.58 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.04 16:53",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.65,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4630.95,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.60 EF/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.60 EF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.04 16:53",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.57,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4621.13,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.01 15:16",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.87,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4660.73,0.0,0.0
SWWH012-03 Storage Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Stor_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Stor_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.04 16:53",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.22,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4572.78,0.0,0.0
