File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh)
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.87 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.87 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:28",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,27.36,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3512.33,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.60 EF/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.60 EF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:34",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.57,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4621.13,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.81 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.81 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:28",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,29.21,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3761.26,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.87 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.87 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:39",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,26.75,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3429.79,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.92 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.92 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:28",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,26.56,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3403.42,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.81 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.81 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:34",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,29.21,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3761.26,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.96 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.96 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:28",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,25.99,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3327.52,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.58 UEF-MD/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.58 UEF-MD,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:34",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.22,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4572.78,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ01/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-HI/instance-out.sql,CZ01,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Stor_UEF-40 gal-0.64 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:33",CA_EUREKA - USA Custom-725940 WMO#=725940,135.06,0.03,35.87,0.0,0.04,687.53,457.71,4132.7,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.6,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,4660.73,0.0,0.0
SWWH013-04 Tankless Water Heater_DMo_Ex/runs/CZ02/DMo&1&DXGF&Ex&WaterHtg_eq__Instant_UEF/RG-WaterHtg_eq-Instant_UEF-0.81 UEF-HI/instance-out.sql,CZ02,DMo,1,DXGF,Ex,WaterHtg_eq,Instant_UEF,RG-WaterHtg_eq-Instant_UEF-0.81 UEF-HI,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.06.07 23:39",CA_NAPA-CO - USA Custom-724955 WMO#=724955,135.06,1.15,27.95,0.0,122.75,687.53,457.71,4132.7,0.0,32.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.68,0.0,0.0,0.0,1031.93,0.0,0.0,0.0,0.0,0.0,0.0,3600.87,0.0,0.0
