skip,cohort,root
#,SFm&1&rDXGF&Ex&HP_UEF&Stor_UEF,WaterHeaterModels/root.pxt
#,SFm&1&rDXGF&Ex&HP_UEF&HP_UEF,WaterHeaterModels/root.pxt
#,SFm&2&rDXGF&Ex&HP_UEF&Stor_UEF,WaterHeaterModels/root.pxt
#,SFm&2&rDXGF&Ex&HP_UEF&HP_UEF,WaterHeaterModels/root.pxt
,MFm&0&rDXGF&Ex&HP_UEF&Stor_UEF,WaterHeaterModels/root.pxt
,MFm&0&rDXGF&Ex&HP_UEF&HP_UEF,WaterHeaterModels/root.pxt
#,DMo&0&rDXGF&Ex&HP_UEF&Stor_UEF,WaterHeaterModels/root.pxt
#,DMo&0&rDXGF&Ex&HP_UEF&HP_UEF,WaterHeaterModels/root.pxt
#,SFm&1&rDXGF&Ex&HP_UEF&Instant_UEF,WaterHeaterModels/root.pxt
#,SFm&2&rDXGF&Ex&HP_UEF&Instant_UEF,WaterHeaterModels/root.pxt
,MFm&0&rDXGF&Ex&HP_UEF&Instant_UEF,WaterHeaterModels/root.pxt
#,DMo&0&rDXGF&Ex&HP_UEF&Instant_UEF,WaterHeaterModels/root.pxt
