skip,case_name,:use_recirc,:water_heater_type,:water_heater_cap,:heat_element_cap,:thermal_eff,:uef,:tank_size,:draw_pattern,:parasitic_power,:parasitic_fuel,:tank_height,:sch,:override_skin_loss,:tank_skin_loss
,RE-WaterHtg_eq-HP_UEF-40g-LO-2.75UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,2.75,37,LO,,,56['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.31
,RE-WaterHtg_eq-HP_UEF-40g-LO-3.00UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.1,37,LO,,,56['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.31
,RE-WaterHtg_eq-HP_UEF-40g-LO-3.30UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.3,37,LO,,,56['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.31
,RE-WaterHtg_eq-HP_UEF-40g-LO-3.50UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.5,37,LO,,,56['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.31
,RE-WaterHtg_eq-HP_UEF-50g-MD-2.75UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,2.75,46,MD,,,60['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.47
,RE-WaterHtg_eq-HP_UEF-50g-MD-3.00UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.05,46,MD,,,60['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.47
,RE-WaterHtg_eq-HP_UEF-50g-MD-3.30UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.3,46,MD,,,60['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.47
,RE-WaterHtg_eq-HP_UEF-50g-MD-3.50UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.5,46,MD,,,60['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.47
,RE-WaterHtg_eq-HP_UEF-65g-HI-2.75UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,2.75,66,HI,,,63['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.58
,RE-WaterHtg_eq-HP_UEF-65g-HI-3.00UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.2,66,HI,,,63['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.58
,RE-WaterHtg_eq-HP_UEF-65g-HI-3.30UEF-120V,FALSE,120v_hpwh,1230['W'],900['W'],1,3.4,66,HI,,,63['in'],SFm_minute_dhw_demand_fraction.csv,TRUE,0.58
