skip,case_name,:use_recirc,:water_heater_type,:water_heater_cap,:heat_element_cap,:thermal_eff,:uef,:tank_size,:draw_pattern,:parasitic_power,:parasitic_fuel,:tank_height,:sch,:override_skin_loss,:tank_skin_loss
,RE-WaterHtg_eq-HP_UEF-40g-MD-3.30UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.45,36,MD,,,58['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.45
,RE-WaterHtg_eq-HP_UEF-40g-MD-3.50UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.53,36,MD,,,58['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.45
,RE-WaterHtg_eq-HP_UEF-40g-MD-3.75UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.84,36,MD,,,58['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.45
,RE-WaterHtg_eq-HP_UEF-50g-MD-3.30UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.43,46,MD,,,54['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.49
,RE-WaterHtg_eq-HP_UEF-50g-MD-3.50UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.53,46,MD,,,54['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.49
,RE-WaterHtg_eq-HP_UEF-50g-MD-3.75UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.84,46,MD,,,54['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.49
,RE-WaterHtg_eq-HP_UEF-65g-HI-3.30UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.43,67,HI,,,60['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.59
,RE-WaterHtg_eq-HP_UEF-65g-HI-3.50UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.6,67,HI,,,60['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.59
,RE-WaterHtg_eq-HP_UEF-65g-HI-3.75UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.99,67,HI,,,60['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.59
,RE-WaterHtg_eq-HP_UEF-80g-HI-3.30UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.45,82,HI,,,67['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.51
,RE-WaterHtg_eq-HP_UEF-80g-HI-3.50UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.5,82,HI,,,67['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.51
,RE-WaterHtg_eq-HP_UEF-80g-HI-3.75UEF-240V,FALSE,hpwh,1230['W'],4500['W'],1,3.97,82,HI,,,67['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.51
,RE-WaterHtg_eq-Stor_UEF-30g-LO-0.92UEF-240V,FALSE,elec,4900['W'],,1,0.92,30,LO,,,38['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.65
,RE-WaterHtg_eq-Stor_UEF-40g-MD-0.92UEF-240V,FALSE,elec,4900['W'],,1,0.92,40,MD,,,41['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.78
,RE-WaterHtg_eq-Stor_UEF-50g-MD-0.92UEF-240V,FALSE,elec,4900['W'],,1,0.93,51,MD,,,49['in'],MFm_minute_dhw_demand_fraction.csv,TRUE,0.56
