Time stamp,DHW Recirculation Varying Flow Fraction
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
16:00,0.00236
17:00,0.00246
18:00,0.00256
19:00,0.00276
20:00,0.00314
21:00,0.00353
22:00,0.00377
23:00,0.00412
0:00,0.00472
1:00,0.00547
2:00,0.00602
3:00,0.00591
4:00,0.00547
5:00,0.00465
6:00,0.00412
7:00,0.00363
8:00,0.00311
9:00,0.00301
10:00,0.00283
11:00,0.00269
12:00,0.00256
13:00,0.00251
14:00,0.00231
15:00,0.00229
