skip,case_name,:water_heater_type,:water_heater_cap,:heat_element_cap,:thermal_eff,:uef,:tank_size,:draw_pattern,:parasitic_power,:parasitic_fuel,:tank_height
,Stor_UEF-Gas-030gal-0.60UEF,gas,41000['BTUH'],,0.751,,33,HI,350 ['BTUH'],NaturalGas,49['in']
,Stor_UEF-Gas-040gal-0.64UEF,gas,41000['BTUH'],,0.759,,39,HI,350 ['BTUH'],NaturalGas,45['in']
,Stor_UEF-Gas-050gal-0.63UEF,gas,41000['BTUH'],,0.764,,49,HI,350 ['BTUH'],NaturalGas,54['in']
,Stor_UEF-Gas-060gal-0.61UEF,gas,41000['BTUH'],,0.8,,58,HI,350 ['BTUH'],NaturalGas,57['in']
,Stor_UEF-Gas-075gal-0.59UEF,gas,41000['BTUH'],,0.71,,75,HI,350 ['BTUH'],NaturalGas,59['in']
,Stor_UEF-Elec-030gal-0.92UEF,elec,4900['W'],,0.98,,33,MD,,,49['in']
,Stor_UEF-Elec-040gal-0.92UEF,elec,4900['W'],,0.98,,39,MD,,,45['in']
,Stor_UEF-Elec-050gal-0.92UEF,elec,4900['W'],,0.98,,49,MD,,,54['in']
,Inst_UEF-Gas_lt200kBtuh-HI-0.81UEF,gas_tankless,190000['BTUH'],,0.84,,,,50 ['W'],Electricity,
,Stor_UEF-ElecHP-065gal-2.91UEF,hpwh,1230['W'],4500['W'],,2.91,66,MD-HI,,,50['in']
,Stor_UEF-ElecHP-080gal-3.00UEF,hpwh,1230['W'],4500['W'],,3,82,MD-HI,,,55['in']
,Stor_UEF-120vHP-040gal-2.75UEF,120v_hpwh,1230['W'],900['W'],,2.75,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-2.91UEF,120v_hpwh,1230['W'],900['W'],,2.91,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-3.00UEF,120v_hpwh,1230['W'],900['W'],,3,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-3.30UEF,120v_hpwh,1230['W'],900['W'],,3.3,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-3.50UEF,120v_hpwh,1230['W'],900['W'],,3.5,36,MD,,,45['in']
,Stor_UEF-120vHP-050gal-2.75UEF,120v_hpwh,1230['W'],900['W'],,2.75,46,MD,,,47['in']
,Stor_UEF-120vHP-050gal-2.91UEF,120v_hpwh,1230['W'],900['W'],,2.91,46,MD,,,47['in']
,Stor_UEF-120vHP-050gal-3.00UEF,120v_hpwh,1230['W'],900['W'],,3,46,MD,,,47['in']
,Stor_UEF-120vHP-050gal-3.30UEF,120v_hpwh,1230['W'],900['W'],,3.3,46,MD,,,47['in']
,Stor_UEF-120vHP-050gal-3.50UEF,120v_hpwh,1230['W'],900['W'],,3.5,46,MD,,,47['in']
,Stor_UEF-120vHP-065gal-2.75UEF,120v_hpwh,1230['W'],900['W'],,2.75,66,MD-HI,,,50['in']
,Stor_UEF-120vHP-065gal-2.91UEF,120v_hpwh,1230['W'],900['W'],,2.91,66,MD-HI,,,50['in']
,Stor_UEF-120vHP-065gal-3.00UEF,120v_hpwh,1230['W'],900['W'],,3,66,MD-HI,,,50['in']
,Stor_UEF-120vHP-065gal-3.30UEF,120v_hpwh,1230['W'],900['W'],,3.3,66,MD-HI,,,50['in']
,Stor_UEF-120vHP-065gal-3.50UEF,120v_hpwh,1230['W'],900['W'],,3.5,66,MD-HI,,,50['in']
,Stor_UEF-120vHP-080gal-2.75UEF,120v_hpwh,1230['W'],900['W'],,2.75,82,HI,,,55['in']
,Stor_UEF-120vHP-080gal-2.91UEF,120v_hpwh,1230['W'],900['W'],,2.91,82,HI,,,55['in']
,Stor_UEF-120vHP-080gal-3.00UEF,120v_hpwh,1230['W'],900['W'],,3,82,HI,,,55['in']
,Stor_UEF-120vHP-080gal-3.30UEF,120v_hpwh,1230['W'],900['W'],,3.3,82,HI,,,55['in']
,Stor_UEF-120vHP-080gal-3.50UEF,120v_hpwh,1230['W'],900['W'],,3.5,82,HI,,,55['in']
,Stor_UEF-120vHP-040gal-2.75UEF_no-ER,120v_hpwh,1230['W'],,,2.75,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-2.91UEF_no-ER,120v_hpwh,1230['W'],,,2.91,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-3.00UEF_no-ER,120v_hpwh,1230['W'],,,3,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-3.30UEF_no-ER,120v_hpwh,1230['W'],,,3.3,36,MD,,,45['in']
,Stor_UEF-120vHP-040gal-3.50UEF_no-ER,120v_hpwh,1230['W'],,,3.5,36,MD,,,45['in']
,Stor_UEF-120vHP-050gal-2.75UEF_no-ER,120v_hpwh,1230['W'],,,2.75,50,MD,,,47['in']
,Stor_UEF-120vHP-050gal-2.91UEF_no-ER,120v_hpwh,1230['W'],,,2.91,50,MD,,,47['in']
,Stor_UEF-120vHP-050gal-3.00UEF_no-ER,120v_hpwh,1230['W'],,,3,50,MD,,,47['in']
,Stor_UEF-120vHP-050gal-3.30UEF_no-ER,120v_hpwh,1230['W'],,,3.3,50,MD,,,47['in']
,Stor_UEF-120vHP-050gal-3.50UEF_no-ER,120v_hpwh,1230['W'],,,3.5,50,MD,,,47['in']
