TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ01,cDXGF,0,Area-ft2-BA,100002.1,100002.1,339794.27999999997,139099.3,0,145958.35,0.0,5934.77,0,0,48000.23,0,0,0,0,0,0,9528.56757679181,0.0,9528.56757679181,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ02,cDXGF,0,Area-ft2-BA,100002.1,100002.1,428661.48,139099.3,0,145958.35,0.0,81396.81,0,0,61658.46,0,0,0,0,0,0,5892.198293515358,0.0,5892.198293515358,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ03,cDXGF,0,Area-ft2-BA,100002.1,100002.1,395397.24999999994,139099.3,0,145958.35,0.0,47962.34,0,0,62017.29,0,0,0,0,0,0,3899.7187713310577,0.0,3899.7187713310577,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ04,cDXGF,0,Area-ft2-BA,100002.1,100002.1,449610.00999999995,139099.3,0,145958.35,0.0,96582.19,0,0,67495.23,0,0,0,0,0,0,4524.495904436861,0.0,4524.495904436861,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ05,cDXGF,0,Area-ft2-BA,100002.1,100002.1,406713.54000000004,139099.3,0,145958.35,0.0,56447.24,0,0,64872.95,0,0,0,0,0,0,3967.2720136518774,0.0,3967.2720136518774,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ06,cDXGF,0,Area-ft2-BA,100002.1,100002.1,462824.46,139099.3,0,145958.35,0.0,99332.7,0,0,78039.91,0,0,0,0,0,0,2256.3457337883956,0.0,2256.3457337883956,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ07,cDXGF,0,Area-ft2-BA,100002.1,100002.1,467233.17,139099.3,0,145958.35,0.0,105152.83,0,0,76595.89,0,0,0,0,0,0,2138.2191126279863,0.0,2138.2191126279863,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ08,cDXGF,0,Area-ft2-BA,100002.1,100002.1,489998.36,139099.3,0,145958.35,0.0,129064.01,0,0,75335.46,0,0,0,0,0,0,3226.958361774744,0.0,3226.958361774744,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ09,cDXGF,0,Area-ft2-BA,100002.1,100002.1,510052.19000000006,139099.3,0,145958.35,0.0,144817.94,0,0,79595.32,0,0,0,0,0,0,3318.4863481228667,0.0,3318.4863481228667,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,Asm,1975,CZ10,cDXGF,0,Area-ft2-BA,100002.1,100002.1,562412.43,139099.3,0,145958.35,0.0,196268.57,0,0,80373.54,0,0,0,0,0,0,5304.869624573378,0.0,5304.869624573378,0.0,1,1,2024-02-07 21:46:14.214415
